,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,961.81,1128,1272,1122,1009,1021,998.85,1294,981.06,1225,Upgrade
1,Revenue Growth (YoY),-24.41%,0.50%,26.15%,9.86%,0.98%,-21.09%,1.81%,5.69%,-42.73%,-43.70%,Upgrade
2,Cost of Revenue,535.71,596.09,706.13,601.25,533.42,525.27,548.02,698.4,601.17,748.88,Upgrade
3,Gross Profit,426.1,531.67,566.24,520.91,475.2,496.21,450.83,596.04,379.89,475.91,Upgrade
4,"Selling, General & Admin",271.67,394.14,329.23,359.29,270,386.29,267.76,170.73,284.22,845.71,Upgrade
5,Other Operating Expenses,14.45,16.74,15.61,4.53,11.27,23.05,15.87,6.57,13.17,0.82,Upgrade
6,Operating Expenses,286.11,410.88,344.84,363.81,281.27,409.34,283.62,177.29,297.38,846.53,Upgrade
7,Operating Income,139.98,120.79,221.4,157.1,193.93,86.87,167.21,418.75,82.5,-370.62,Upgrade
8,Interest Expense,-22.78,-31.74,-34.8,-31.31,-19.4,-13.89,-13.22,-14.52,-17.8,-23.47,Upgrade
9,Interest & Investment Income,45.72,48.46,46.35,38.29,14.5,3.23,4.41,6.98,12.8,23.4,Upgrade
10,Currency Exchange Gain (Loss),-26.48,-3.17,-8.7,5.87,3.88,21.28,2.31,11.14,-1.62,-17.21,Upgrade
11,EBT Excluding Unusual Items,136.45,134.34,224.25,169.95,192.91,97.49,160.72,422.35,75.89,-387.91,Upgrade
12,Gain (Loss) on Sale of Investments,1.3,-1.66,-2.54,-73.99,-14.44,-1.29,-8.87,-22.22,47.49,910.52,Upgrade
13,Gain (Loss) on Sale of Assets,-0.01,0.98,-,-0.06,-,-0.01,-0.32,-0.05,-0.04,0.1,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,-,10,2.06,Upgrade
15,Pretax Income,137.74,133.67,221.71,95.9,178.48,96.19,151.53,400.08,133.33,524.77,Upgrade
16,Income Tax Expense,6.15,2.62,1.98,-1.42,23.16,30.55,16.23,71.71,-0.12,-2.05,Upgrade
17,Net Income,131.59,131.04,219.72,97.33,155.31,65.64,135.3,328.37,133.45,526.81,Upgrade
18,Net Income to Common,131.59,131.04,219.72,97.33,155.31,65.64,135.3,328.37,133.45,526.81,Upgrade
19,Net Income Growth,-40.11%,34.64%,41.47%,48.26%,14.80%,-80.01%,1.39%,-37.67%,12.13%,89.61%,Upgrade
20,Shares Outstanding (Basic),394,394,394,394,394,394,394,394,394,394,Upgrade
21,Shares Outstanding (Diluted),394,394,394,394,394,394,394,394,394,394,Upgrade
22,Shares Change (YoY),-,-,-,-,-,-,-,-0.00%,-1.16%,-2.30%,Upgrade
23,EPS (Basic),0.33,0.33,0.56,0.25,0.39,0.17,0.34,0.83,0.34,1.34,Upgrade
24,EPS (Diluted),0.33,0.33,0.56,0.25,0.39,0.17,0.34,0.83,0.34,1.34,Upgrade
25,EPS Growth,-40.11%,34.64%,41.47%,48.26%,14.80%,-80.01%,1.39%,-37.67%,13.45%,94.07%,Upgrade
26,Free Cash Flow,114.97,224.23,136.99,286.11,162.03,464.18,278.54,148.01,418.84,-54.31,Upgrade
27,Free Cash Flow Per Share,0.29,0.57,0.35,0.73,0.41,1.18,0.71,0.38,1.06,-0.14,Upgrade
28,Dividend Per Share,0.100,0.350,0.100,0.270,0.080,0.270,0.080,0.270,0.080,0.270,Upgrade
29,Dividend Growth,0%,29.63%,25.00%,0%,0%,0%,0%,0%,0%,0%,Upgrade
30,Operating Margin,14.55%,10.71%,17.40%,14.00%,19.23%,8.50%,16.74%,32.35%,8.41%,-30.26%,Upgrade
31,Profit Margin,13.68%,11.62%,17.27%,8.67%,15.40%,6.43%,13.55%,25.37%,13.60%,43.01%,Upgrade
32,Free Cash Flow Margin,11.95%,19.88%,10.77%,25.50%,16.06%,45.44%,27.89%,11.43%,42.69%,-4.43%,Upgrade
33,EBITDA,155.22,138.45,235.27,172.26,206.04,97.69,176.24,427.48,94.57,-360.7,Upgrade
34,D&A For EBITDA,15.23,17.67,13.87,15.16,12.11,10.82,9.04,8.73,12.07,9.92,Upgrade
35,EBIT,139.98,120.79,221.4,157.1,193.93,86.87,167.21,418.75,82.5,-370.62,Upgrade
