,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q1 2018,Q3 2017,Q1 2017,Q3 2016,Q1 2016,Q3 2014,Q3 2013
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '18 Mar 31, 2018","Sep '17 Sep 30, 2017","Mar '17 Mar 31, 2017","Sep '16 Sep 30, 2016","Mar '16 Mar 31, 2016","Sep '14 Sep 30, 2014","Sep '13 Sep 30, 2013"
0,Interest and Dividend Income,1590,134.99,319.72,145.16,335.33,-,-,1290,645.18,239.84,1284,641.89,-,2316,903.49,722.11,565.38,436.72,-,-
1,Total Interest Expense,-,-,9.15,55.16,1221,3211,3329,5249,5254,5132,6863,5254,6588,340.74,376.84,985.63,926.3,907.89,-,-
2,Net Interest Income,1590,134.99,310.57,90,-885.79,-3211,-3329,-3958,-4609,-4892,-5579,-4612,-6588,1976,526.64,-263.52,-360.92,-471.17,-,-
3,Brokerage Commission,341.92,215.61,509.48,2727,3115,6339,8821,8623,15306,31024,27159,26008,13925,4962,4027,6177,4710,4554,407.43,235.28
4,Trading & Principal Transactions,286.94,-219.29,-145.1,-91.01,-124.02,-239.69,-,-,-186.5,-1595,-,-,-,-,-,-,-,-,-,-
5,Underwriting & Investment Banking Fee,-,-,-,-,-,68.18,-,175,87.5,-,30,137.5,150,105,-,-,4160,3178,-,-
6,Gain on Sale of Investments (Rev),-9025,54760,41390,7046,5232,347.73,-3820,603.52,10308,6183,85912,70484,4538,0.16,0.18,342.14,0.19,-,-,-
7,Other Revenue,168.56,667.21,1097,7404,10399,19616,13766,16048,25345,24989,23377,24065,20800,733.79,339.15,285.8,195.57,174.66,2852,2242
8,Revenue,-6638,55558,43161,17176,17735,22920,15437,21490,46251,55709,130898,116083,32825,7776,4893,6542,8704,7435,3259,2477
9,Revenue Growth (YoY),-,142.40%,179.59%,-20.08%,-61.65%,-58.86%,-88.21%,-81.49%,40.90%,616.41%,2575.34%,1674.51%,277.11%,4.59%,50.13%,164.12%,-,-,-,-
10,Cost of Services Provided,5252,7622,8050,12342,12172,24430,19372,20480,21862,18534,18694,15450,10771,5150,3462,2742,2990,3080,1765,2235
11,Other Operating Expenses,-1209,-,-,-,-,-,-,-,-,-,-,-,-,23.81,34.24,71.9,61.38,87.7,-,-
12,Total Operating Expenses,4042,7622,8050,12342,12172,24430,19372,20480,21862,18534,18694,15450,10771,5173,3496,2814,3051,3167,1765,2235
13,Operating Income,-10680,47936,35112,4834,5563,-1511,-3935,1010,24389,37176,112204,100633,22054,2603,1397,3728,5653,4268,1494,241.45
14,Other Non-Operating Income (Expenses),-152.3,694.26,316.29,94.8,128.48,126.47,466.75,434.31,845.63,21236,-6670,13.95,6278,2252,3004,1281,10.31,23.03,597.34,-104.65
15,EBT Excluding Unusual Items,-10832,48630,35428,4929,5692,-1384,-3468,1444,25234,58412,105534,100647,28333,4855,4401,5009,5664,4291,2092,136.8
16,Gain (Loss) on Sale of Investments,-8907,-7756,-2453,3204,-772.96,-355157,-8067,-851.46,-586.58,-10103,1630,1187,-5793,-,-,-,-,-,-,-
17,Pretax Income,-19739,40874,32975,8133,4919,-356541,-11535,593.01,24648,48309,107164,101833,22540,4855,4401,5009,5664,4291,2092,136.8
18,Income Tax Expense,-33454,6378,5213,1585,1123,-4481,-5379,-868.01,4481,9621,21192,20246,4457,972.89,882.79,1002,116.55,-,-,-
19,Net Income,13716,34496,27762,6548,3795,-352060,-6156,1461,20167,38688,85972,81587,18082,3882,3518,4008,5547,4291,2092,136.8
20,Net Income to Common,13716,34496,27762,6548,3795,-352060,-6156,1461,20167,38688,85972,81587,18082,3882,3518,4008,5547,4291,2092,136.8
