,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Cash & Equivalents,28449,45801,34230,30389,68059,-,32763,24681,63912,53469,21284,-,-,-,-,11587,2170
1,Short-Term Investments,4995,5046,51.1,10036,9985,-,30539,30494,10276,292.44,10093,-,-,-,-,327.83,327.83
2,Trading Asset Securities,51.1,-,-,-,51.1,-,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,33495,50847,34281,40425,78095,-,63302,55174,74187,53761,31377,-,-,-,-,11915,2497
4,Cash Growth,-57.11%,-,-45.85%,-26.73%,5.27%,-,101.75%,-,-,-,-,-,-,-,-,-,-
5,Accounts Receivable,35993,32823,37415,39983,39016,-,33978,40107,43880,44128,38607,-,-,-,-,35262,42558
6,Other Receivables,1009,594.91,2417,7520,3179,-,1545,4644,1822,1508,2236,-,-,-,-,3823,2308
7,Receivables,37002,33417,39832,47503,42195,-,35523,44751,45702,45636,40843,-,-,-,-,39085,44865
8,Inventory,8565,7412,9492,9610,7754,-,8518,8377,7655,7463,8628,-,-,-,-,10796,10459
9,Prepaid Expenses,1333,800.67,1509,1953,909.35,-,1902,2033,2720,1403,1906,-,-,-,-,2689,1891
10,Other Current Assets,2723,1566,2640,3606,1515,-,4170,3051,1320,2001,580.59,-,-,-,-,163.11,4421
11,Total Current Assets,83118,94044,87754,103097,130469,-,113415,113387,131584,110264,83335,-,-,-,-,64649,64134
12,"Property, Plant & Equipment",142785,124343,124665,102580,76160,-,93339,102293,80873,88828,98426,-,-,-,-,196038,195504
13,Long-Term Investments,1122,1234,1234,1234,1234,-,1152,1111,1111,1139,1124,-,-,-,-,1385,1385
