,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,305308,285434,307308,292683,313072,294316,289212,305592,357008,307807,302047,231229,168894,193037,194794,244330,304514
1,Revenue Growth (YoY),-2.48%,-3.02%,6.26%,-4.22%,-12.31%,-4.38%,-4.25%,32.16%,111.38%,59.45%,55.06%,-5.36%,-44.54%,-,-,-,-
2,Cost of Revenue,268643,255948,279077,266383,281023,269158,254266,284552,328923,287769,284132,213931,157109,179418,179436,223874,284928
3,Gross Profit,36665,29486,28230,26300,32049,25158,34946,21040,28085,20037,17915,17299,11785,13619,15358,20456,19586
4,"Selling, General & Admin",27243,23183,19705,19629,20151,19481,31186,12980,12558,16561,11436,10914,7358,7793,9431,12167,8732
5,Operating Expenses,27243,23183,19705,19629,20151,19481,31186,12980,12558,16561,11436,10914,7358,7793,9431,12167,8732
6,Operating Income,9422,6303,8525,6670,11897,5677,3760,8060,15527,3476,6479,6385,4427,5825,5927,8289,10853
7,Interest Expense,-4.62,-,-138.06,-,-15.25,-,-,-,-,-,-,-,-201.79,-392.69,-470.86,-1209,-435.73
8,Interest & Investment Income,154.12,92.63,60.46,333.42,559.15,570.9,462.13,571.95,583.22,194.35,9.88,7.3,4.62,3.87,4.04,6.57,5.48
9,Other Non Operating Income (Expenses),2065,-192.14,1.83,59.11,8453,-252.59,-183.07,-125.95,-1069,-138.76,-81.32,-94.44,-186.59,515.86,224.18,285.22,341.11
10,EBT Excluding Unusual Items,11637,6203,8449,7063,20895,5995,4039,8506,15041,3532,6407,6298,4043,5952,5684,7372,10764
11,Gain (Loss) on Sale of Investments,-112.27,-,-,-,191.7,-,-,-,-,-,-,-,-,-,-,-,-
12,Gain (Loss) on Sale of Assets,394.44,-,-,-,186.36,-,-,-,-,-,-,-,-,-,-,-,-
13,Pretax Income,11919,6203,8449,7063,21273,5995,4039,8506,15041,3532,6407,6298,4043,5952,5684,7372,10764
14,Income Tax Expense,2681,1342,1617,1519,4284,1218,828.59,1752,3129,731.94,1309,1312,828.36,1250,1167,1506,2147
15,Net Income,9238,4861,6832,5544,16989,4777,3211,6754,11912,2800,5099,4985,3215,4702,4518,5866,8617
16,Preferred Dividends & Other Adjustments,-,-,-,-,2938,-,-,-,-,-,-,-,-,-,-,-,-
17,Net Income to Common,9238,4861,6832,5544,14051,4777,3211,6754,11912,2800,5099,4985,3215,4702,4518,5866,8617
18,Net Income Growth,-45.62%,1.77%,112.78%,-17.90%,42.63%,70.62%,-37.03%,35.48%,270.52%,-40.46%,12.87%,-15.01%,-62.69%,-,-,-,-
19,Shares Outstanding (Basic),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
20,Shares Outstanding (Diluted),7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
21,Shares Change (YoY),0.10%,0.08%,0.35%,-0.10%,0.15%,-0.56%,0.18%,0.13%,0.02%,0.29%,-0.84%,24.98%,24.65%,-,-,-,-
22,EPS (Basic),1261.00,663.00,933.00,756.00,1919.80,652.00,440.00,920.00,1630.00,380.00,700.00,680.00,440.00,640.00,615.00,1000.00,1470.00
23,EPS (Diluted),1261.00,663.00,933.00,756.00,1919.80,652.00,440.00,920.00,1630.00,380.00,700.00,680.00,440.00,640.00,615.00,1000.00,1470.00
24,EPS Growth,-34.32%,1.69%,112.05%,-17.83%,17.78%,71.58%,-37.14%,35.29%,270.45%,-40.62%,13.82%,-32.00%,-70.07%,-,-,-,-
25,Free Cash Flow,-12180,12502,8874,-33512,-6604,67703,-33044,-15390,-,31934,-,6845,11018,10434,10434,-,-
26,Free Cash Flow Per Share,-1662.55,1705.10,1211.96,-4569.50,-902.37,9240.93,-4528.54,-2096.48,-,4334.27,-,933.69,1507.94,1420.17,1420.39,-,-
27,Dividend Per Share,1500.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Gross Margin,12.01%,10.33%,9.19%,8.99%,10.24%,8.55%,12.08%,6.88%,7.87%,6.51%,5.93%,7.48%,6.98%,7.05%,7.88%,8.37%,6.43%
29,Operating Margin,3.09%,2.21%,2.77%,2.28%,3.80%,1.93%,1.30%,2.64%,4.35%,1.13%,2.14%,2.76%,2.62%,3.02%,3.04%,3.39%,3.56%
30,Profit Margin,3.03%,1.70%,2.22%,1.89%,4.49%,1.62%,1.11%,2.21%,3.34%,0.91%,1.69%,2.16%,1.90%,2.44%,2.32%,2.40%,2.83%
31,Free Cash Flow Margin,-3.99%,4.38%,2.89%,-11.45%,-2.11%,23.00%,-11.43%,-5.04%,-,10.37%,-,2.96%,6.52%,5.41%,5.36%,-,-
32,EBITDA,16658,14507,16284,13006,19404,14347,12716,16115,23128,11077,17371,16191,15638,17282,17384,19454,-
33,EBITDA Margin,5.46%,5.08%,5.30%,4.44%,6.20%,4.87%,4.40%,5.27%,6.48%,3.60%,5.75%,7.00%,9.26%,8.95%,8.92%,7.96%,-
34,D&A For EBITDA,7236,8204,7759,6336,7507,8670,8956,8055,7601,7601,10892,9806,11211,11457,11457,11165,-
35,EBIT,9422,6303,8525,6670,11897,5677,3760,8060,15527,3476,6479,6385,4427,5825,5927,8289,10853
36,EBIT Margin,3.09%,2.21%,2.77%,2.28%,3.80%,1.93%,1.30%,2.64%,4.35%,1.13%,2.14%,2.76%,2.62%,3.02%,3.04%,3.39%,3.56%
37,Effective Tax Rate,22.49%,21.63%,19.14%,21.50%,20.14%,20.32%,20.51%,20.60%,20.80%,20.72%,20.42%,20.84%,20.49%,21.01%,20.53%,20.43%,19.95%
38,Revenue as Reported,305308,285434,307308,292683,313072,294316,289212,305592,357008,307807,-,231229,168894,-,-,244330,304514
