,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q4 2018
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,205152,197825,205152,197093,194162,182439,175845,150201,190498,185370,168518,198558,178043,154597,143606,161191,-,-
1,Market Cap Growth,8.43%,8.43%,16.67%,31.22%,1.92%,-1.58%,4.35%,-24.35%,7.00%,19.91%,17.35%,23.18%,-,-,-,-,-,-
2,Enterprise Value,171657,146978,170871,156667,116067,97526,112542,95026,136737,131609,137141,268888,248373,224927,213937,231521,-,-
3,Last Close Price,28000.00,25672.13,26622.95,25577.05,23846.90,21104.35,20341.54,17375.06,22036.67,20156.77,18324.34,21590.85,19360.06,15785.55,14663.36,16458.87,19121.31,20147.77
4,PE Ratio,7.75,7.47,6.56,6.32,7.04,6.34,6.60,6.09,7.17,7.48,10.47,11.03,10.22,8.45,6.06,8.48,-,-
5,PS Ratio,0.17,0.17,0.17,0.16,0.16,0.15,0.14,0.12,0.15,0.15,0.17,0.22,0.23,0.19,0.15,0.22,-,-
6,PB Ratio,1.33,1.28,1.42,1.41,1.23,1.20,-,1.15,1.31,1.34,1.33,1.60,-,-,-,-,-,-
7,P/TBV Ratio,1.34,1.34,1.48,1.48,1.28,1.25,-,1.19,1.35,1.38,1.38,1.67,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-10.95,5.41,-,-,9.13,-,-,-,3.38,-,4.60,4.85,6.88,15.45,-,-
9,P/OCF Ratio,2.74,2.74,4.18,2.02,-,-,3.58,-,5.18,-,3.25,-,4.41,4.85,6.88,15.45,-,-
10,EV/Sales Ratio,0.14,0.12,0.14,0.13,0.10,0.08,0.09,0.08,0.11,0.11,0.14,0.30,0.32,0.28,0.23,0.31,-,-
11,EV/EBITDA Ratio,2.84,2.43,2.70,2.49,1.95,1.56,1.70,1.51,2.02,1.94,2.28,4.04,3.74,3.22,3.95,6.28,-,-
12,EV/EBIT Ratio,5.55,4.75,5.12,4.78,4.14,3.32,3.41,3.08,4.08,4.13,6.60,11.63,11.01,9.19,6.92,9.24,-,-
13,EV/FCF Ratio,-7.06,-,-9.12,4.30,-,-,5.84,-,-,-,2.75,-,6.41,7.05,10.25,22.19,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.73,0.33
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.06,-
16,Asset Turnover,4.94,4.76,5.26,5.09,-,-,5.16,-,6.46,6.01,-,-,-,-,-,-,-,
17,Inventory Turnover,130.92,134.51,121.13,116.88,122.91,-,-,120.39,-,174.06,143.07,-,-,-,-,-,-,-
18,Quick Ratio,0.86,0.86,1.03,0.91,1.52,1.86,-,1.33,1.41,1.59,1.37,1.25,-,-,-,-,0.47,0.32
19,Current Ratio,1.01,1.01,1.14,1.08,1.78,2.02,-,1.53,1.60,1.74,1.52,1.45,-,-,-,-,0.59,0.43
20,Return on Equity (ROE),24.71%,13.64%,18.32%,14.33%,-,-,9.30%,-,35.92%,8.94%,-,-,-,-,-,-,-,
21,Return on Assets (ROA),9.52%,6.56%,9.12%,7.24%,-,-,4.19%,-,17.55%,4.24%,-,-,-,-,-,-,-,
22,Return on Capital (ROIC),15.75%,11.06%,14.29%,10.77%,-,-,6.81%,-,29.26%,6.94%,-,-,-,-,-,-,-,
23,Return on Capital Employed (ROCE),18.23%,18.23%,20.79%,21.03%,16.27%,17.58%,-,21.24%,21.12%,20.84%,14.71%,16.68%,-,-,-,-,11.48%,8.79%
24,Earnings Yield,12.90%,13.38%,16.68%,17.32%,15.72%,17.39%,15.16%,16.43%,13.94%,13.38%,9.55%,9.07%,9.78%,11.84%,16.50%,11.79%,-,-
25,FCF Yield,-11.85%,-12.29%,-9.13%,18.50%,-2.81%,6.94%,10.96%,-10.99%,8.68%,-,29.55%,-,21.75%,20.62%,14.53%,6.47%,-,-
26,Dividend Yield,5.36%,5.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,81.75%,63.00%,123.97%,74.57%,84.60%,0.76%,134.69%,-,64.85%,-,1.96%,-,1.76%,0.51%,116.67%,121.43%,-,-
28,Buyback Yield / Dilution,-0.10%,-0.08%,-0.35%,0.10%,-0.15%,0.56%,-0.18%,-0.13%,-0.02%,-0.29%,0.84%,-24.98%,-24.65%,-,-,-,-,
29,Total Shareholder Return,5.36%,5.74%,-0.08%,-0.35%,0.10%,-0.15%,0.56%,-0.18%,-0.13%,-0.02%,-0.29%,0.84%,-24.98%,-24.65%,-,-,-,-
