,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest and Dividend Income,458.31,6.32,172.76,3.55,409.65,19.24,8.74,407.46,10.51,15.79,1622,303.82,6.14,3.41,1719,1079,172.53,299.52,1536,1467,Upgrade
1,Total Interest Expense,24466,26080,21965,19972,6865,8641,13380,14747,21270,20016,19853,26798,20367,17533,12961,10585,9538,8173,7534,7321,Upgrade
2,Net Interest Income,-24008,-26074,-21792,-19968,-6456,-8621,-13372,-14339,-21260,-20000,-18231,-26494,-20361,-17530,-11242,-9506,-9365,-7874,-5998,-5854,Upgrade
3,Brokerage Commission,13476,8472,13398,14195,11167,14542,9743,8176,13773,14367,16455,24720,37754,31497,40052,29408,13623,8620,8081,3296,Upgrade
4,Trading & Principal Transactions,-1167,-262.5,-429.76,-598.61,-708.56,-213.98,-5042,-11162,-26149,-18322,-3988,-13165,-6712,-37048,-43497,-22259,-3260,-251.74,-271.48,-288.11,Upgrade
5,Asset Management Fee,1994,4075,864.88,962.16,1776,2034,1891,1712,2039,2948,1042,1517,2171,1210,1680,1765,1600,1555,1841,1622,Upgrade
6,Underwriting & Investment Banking Fee,4149,677.73,1381,4522,1959,2877,1821,2826,3617,10725,7130,12520,14642,6250,4287,4498,1495,3774,6574,3627,Upgrade
7,Gain on Sale of Investments (Rev),18872,31860,31105,34055,23484,29082,25969,44475,76477,63436,30612,37185,18521,70335,55856,31476,11594,5061,6753,7093,Upgrade
8,Other Revenue,40543,38786,39664,38644,33770,29946,25573,25951,36887,41827,41368,41293,44233,37736,31283,26274,20548,16695,15669,14786,Upgrade
