,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,466762,454794,448810,478730,556524,526603,574476,502667,335111,329127,466762,412905,933524,1190842,754000,598413,442826,365032,215429,131651,119683,Upgrade
1,Market Cap Growth,-13.64%,-13.64%,-21.88%,-4.76%,66.07%,60.00%,23.08%,21.74%,-64.10%,-72.36%,-38.10%,-31.00%,110.81%,226.23%,250.00%,354.55%,270.00%,205.00%,28.57%,-18.52%,-37.50%,Upgrade
2,Last Close Price,7800.00,7600.00,7500.00,8000.00,9300.00,8800.00,9600.00,8400.00,5600.00,5500.00,7800.00,6900.00,15600.00,19900.00,12600.00,10000.00,7400.00,6100.00,3600.00,2200.00,2000.00,Upgrade
3,PE Ratio,17.57,17.12,20.21,18.07,19.23,18.20,16.69,14.44,9.72,8.29,12.38,9.04,20.06,31.12,20.81,28.39,31.50,53.45,40.50,20.06,8.09,Upgrade
4,PS Ratio,1.89,1.84,1.74,1.77,2.20,2.20,2.22,1.77,1.07,0.99,1.38,1.23,2.76,3.69,2.81,2.93,2.80,3.02,1.97,1.21,1.13,Upgrade
5,PB Ratio,0.66,0.64,0.64,0.68,0.80,0.77,0.84,0.74,0.50,0.50,0.71,0.61,-,-,1.19,0.95,0.71,0.58,0.35,0.21,0.19,Upgrade
6,P/FCF Ratio,-,-,-0.91,-,-,-,3.59,157.83,-,-,-,-,-2.53,-,-,-,-,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-0.93,-,-,-,3.57,122.51,-,-,-,-,-2.55,-,-,-,-,-,-,-,-,Upgrade
8,Debt / Equity Ratio,2.31,2.31,2.23,2.73,2.12,2.22,0.91,1.01,1.28,1.59,1.83,1.46,-,-,1.59,1.12,0.76,0.76,0.70,0.54,0.54,Upgrade
9,Debt / FCF Ratio,-,-,-3.18,-,-,-,3.92,214.61,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Asset Turnover,0.08,0.08,0.10,0.12,0.12,0.15,0.10,0.12,0.15,0.17,-,-,-,0.20,-,-,0.12,-,-,-,Upgrade,
11,Quick Ratio,0.91,0.91,0.81,0.78,0.84,0.88,0.90,0.87,0.88,0.88,0.85,0.96,-,-,0.82,1.13,-,1.10,1.28,-,1.45,Upgrade
12,Current Ratio,0.96,0.96,0.88,0.84,0.91,0.92,0.90,0.87,0.88,0.89,0.86,0.97,-,-,0.84,1.14,-,1.14,1.29,-,1.46,Upgrade
13,Return on Equity (ROE),2.55%,2.43%,4.26%,6.02%,0.08%,5.01%,5.86%,6.24%,3.43%,5.38%,-,-,-,10.66%,6.63%,4.68%,1.02%,-,2.20%,-,Upgrade,
14,Return on Assets (ROA),0.69%,0.62%,1.13%,1.78%,0.03%,1.81%,2.16%,2.12%,1.01%,1.57%,-,-,-,3.68%,-,-,0.53%,-,-,-,Upgrade,
15,Earnings Yield,5.69%,5.84%,4.95%,5.53%,5.20%,5.49%,5.99%,6.92%,10.29%,12.06%,8.08%,11.06%,4.99%,3.21%,4.81%,3.52%,3.17%,1.87%,2.47%,4.99%,12.36%,Upgrade
16,FCF Yield,-24.21%,-24.85%,-109.87%,-151.44%,-96.68%,-77.16%,27.85%,0.63%,-49.85%,-,-10.33%,-,-39.50%,-,-76.93%,-45.32%,-39.11%,-47.32%,-,-118.62%,-160.20%,Upgrade
17,Buyback Yield / Dilution,-0.00%,-,-,-,-,-,-,-,-,-,0.17%,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Total Shareholder Return,-0.00%,-,-,-,-,-,-,-,-,-,0.17%,-,-,-,-,-,-,-,-,-,-,Upgrade
