,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,476645,593032,645540,224830,353655,24664,23117,22915,281269,162186,50145,-,-,15656,25297,-,13531,19567,-,22199,Upgrade
1,Trading Asset Securities,181884,96434,118120,167458,116056,193903,105709,165536,198029,115949,287014,-,-,75905,55612,-,14177,16451,-,47885,Upgrade
2,Other Receivables,1055478,860682,930975,1040546,910660,965035,822377,883102,716988,1243541,1041703,-,-,1039295,1091977,-,687413,627089,-,519126,Upgrade
3,"Property, Plant & Equipment",8890,9683,2169,2830,3514,4209,4908,5610,6311,7012,7493,-,-,8735,11733,-,10150,9402,-,10339,Upgrade
4,Other Intangible Assets,2429,2985,3874,4982,5186,6213,7331,7717,8777,9000,9993,-,-,9199,7473,-,7500,8011,-,8934,Upgrade
5,Investments in Debt & Equity Securities,742619,882115,996594,796594,780594,780594,780594,774552,774552,874547,682593,-,-,823942,453259,-,499083,437387,-,392016,Upgrade
6,Other Current Assets,99888,139991,134916,126746,63711,3930,4306,6501,6237,12685,12965,-,-,15641,4927,-,21256,5102,-,5460,Upgrade
7,Other Long-Term Assets,31159,32239,33850,37317,25543,24527,24684,24708,23568,23503,24358,-,-,20224,20513,-,20596,20350,-,20578,Upgrade
8,Total Assets,2598992,2617161,2866037,2401303,2258919,2003074,1773027,1890641,2015731,2448424,2116264,-,-,2008597,1670790,-,1273706,1143360,-,1026537,Upgrade
