,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,1762,1751,1619,837.4,1084,700.15,618.37,454.34,828.51,644.86,571.74,437.88,646.67,795.49,706.62,540.55
1,Revenue Growth (YoY),62.45%,150.04%,161.90%,84.31%,30.90%,8.58%,8.16%,3.76%,28.12%,-18.94%,-19.09%,-18.99%,-,-,-,-
2,Cost of Revenue,-3284,1318,1307,659.34,936.03,528.92,555,364.42,768.06,500.29,399.32,323.46,478.97,542.14,495.23,397.44
3,Gross Profit,5045,432.9,312.94,178.06,148.44,171.23,63.38,89.92,60.45,144.56,172.41,114.42,167.7,253.34,211.39,143.1
4,"Selling, General & Admin",-142.71,54.64,44.68,43.39,52.91,34.14,38.16,39.37,39.13,48.82,32.81,32.03,33.66,31.18,30.88,23.57
5,Research & Development,-321.17,122.5,108.84,89.84,72.19,73.14,66.09,74.73,83.89,98.1,62.07,63.19,71.54,51.75,45.72,36.25
6,Other Operating Expenses,5549,-2.85,4.04,0.04,1.86,0.04,0.81,-0.1,18.41,-9.04,0.2,-4.7,3.37,-0.14,0.23,0.21
7,Operating Expenses,5091,173.67,152.75,132.34,131.29,108.44,106.27,111.82,143.41,140.57,96.2,90.33,102.51,83.01,85.52,59.84
8,Operating Income,-45.73,259.23,160.19,45.72,17.15,62.79,-42.9,-21.9,-82.96,3.99,76.22,24.09,65.19,170.33,125.87,83.26
9,Interest Expense,-7.84,-22.39,-19.53,-18.63,-12.94,-12.07,-16.08,-16.63,-23.23,-14.79,-10.87,-8.98,-4.17,-1.96,-1.61,-1.39
10,Interest & Investment Income,60.48,-,5.46,2.45,2.61,2.83,6.97,2.15,9.92,16.13,2.03,0.46,6.59,7.06,5.81,5.48
11,Currency Exchange Gain (Loss),-,13.09,-13.09,-,-4.31,5.36,-5.36,-,-157.2,76.67,-76.67,-,-0.7,3.49,3.21,-6.7
12,Other Non Operating Income (Expenses),14.51,-18.91,7.92,-9.12,4.11,-4.55,-8.96,7.6,151.36,-151.54,-3.34,1.67,7.59,-6.78,-1.04,-0.1
13,EBT Excluding Unusual Items,21.42,231.02,140.95,20.42,6.61,54.35,-66.33,-28.77,-102.11,-69.54,-12.63,17.25,74.5,172.13,132.25,80.55
14,Gain (Loss) on Sale of Investments,36.92,-32.71,4.63,-8.84,2.31,-4.55,-2.37,-1.48,-13.08,13.66,-,-,0.27,0.12,-0.2,0.64
15,Gain (Loss) on Sale of Assets,-0.27,0.04,0.23,-,-0.01,0.01,-0.01,-0.65,0.03,-,-,-,-0.49,-0,0.04,-
16,Asset Writedown,63.11,-63.11,2.05,-2.05,59.79,-59.79,5.11,-5.11,15.62,-15.62,0.08,-0.08,6.16,-6.16,-,-
17,Other Unusual Items,5.59,-4.18,-0.88,-0.53,18.74,-0.21,0.21,-,21.74,-,-,-,5.84,-,-0.07,0.07
18,Pretax Income,126.78,131.05,146.97,9.01,87.44,-10.19,-63.4,-36,-77.8,-71.5,-12.56,17.17,86.28,166.09,132.01,81.26
19,Income Tax Expense,8.83,7.62,11.2,-5.01,7.75,-11.05,-22.74,-10.32,-36.71,-24.87,-3.42,3.06,8.4,25.35,20.92,12.63
20,Net Income,117.95,123.44,135.78,14.03,79.69,0.86,-40.66,-25.68,-41.09,-46.63,-9.14,14.11,77.88,140.74,111.09,68.63
21,Net Income to Common,117.95,123.44,135.78,14.03,79.69,0.86,-40.66,-25.68,-41.09,-46.63,-9.14,14.11,77.88,140.74,111.09,68.63
22,Net Income Growth,48.01%,14181.64%,-,-,-,-,-,-,-,-,-,-79.44%,-,-,-,-
23,Shares Outstanding (Basic),391,396,459,351,194,447,352,428,368,141,642,353,360,361,359,360
24,Shares Outstanding (Diluted),391,396,459,351,194,447,352,428,368,141,642,353,360,361,359,360
25,Shares Change (YoY),101.76%,-11.51%,30.26%,-18.07%,-47.36%,217.15%,-45.13%,21.33%,2.38%,-60.98%,79.00%,-2.01%,-,-,-,-
26,EPS (Basic),0.30,0.31,0.30,0.04,0.41,0.00,-0.12,-0.06,-0.11,-0.33,-0.01,0.04,0.22,0.39,0.31,0.19
27,EPS (Diluted),0.30,0.31,0.30,0.04,0.41,0.00,-0.12,-0.06,-0.11,-0.33,-0.01,0.04,0.22,0.39,0.31,0.19
28,EPS Growth,-26.64%,16045.19%,-,-,-,-,-,-,-,-,-,-78.95%,-,-,-,-
29,Free Cash Flow,-,-457.58,-70.64,-515.91,-337.07,130.01,253.45,172.81,126.73,-680.87,-686.45,-402.38,-1020,-75.02,-473.76,-521.9
30,Free Cash Flow Per Share,-,-1.16,-0.15,-1.47,-1.74,0.29,0.72,0.40,0.34,-4.83,-1.07,-1.14,-2.84,-0.21,-1.32,-1.45
31,Dividend Per Share,-,-,-,-,0.165,-,-,-,-,-,-,-,-,-,-,-
32,Gross Margin,286.39%,24.73%,19.32%,21.26%,13.69%,24.46%,10.25%,19.79%,7.30%,22.42%,30.16%,26.13%,25.93%,31.85%,29.92%,26.47%
33,Operating Margin,-2.60%,14.81%,9.89%,5.46%,1.58%,8.97%,-6.94%,-4.82%,-10.01%,0.62%,13.33%,5.50%,10.08%,21.41%,17.81%,15.40%
34,Profit Margin,6.69%,7.05%,8.38%,1.67%,7.35%,0.12%,-6.57%,-5.65%,-4.96%,-7.23%,-1.60%,3.22%,12.04%,17.69%,15.72%,12.70%
35,Free Cash Flow Margin,-,-26.14%,-4.36%,-61.61%,-31.08%,18.57%,40.99%,38.04%,15.30%,-105.58%,-120.06%,-91.89%,-157.79%,-9.43%,-67.05%,-96.55%
36,EBITDA,-29.53,275.44,181.29,61.93,33.36,79.43,-25.81,-5.25,-66.31,13.04,93.05,33.14,71.42,178.3,134.45,89.16
37,EBITDA Margin,-1.68%,15.73%,11.19%,7.40%,3.08%,11.34%,-4.17%,-1.16%,-8.00%,2.02%,16.27%,7.57%,11.04%,22.41%,19.03%,16.49%
38,D&A For EBITDA,16.21,16.21,21.1,16.21,16.21,16.65,17.09,16.65,16.65,9.04,16.83,9.04,6.23,7.97,8.58,5.89
39,EBIT,-45.73,259.23,160.19,45.72,17.15,62.79,-42.9,-21.9,-82.96,3.99,76.22,24.09,65.19,170.33,125.87,83.26
