,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,39930,31047,23054,19374,19952,22225,17880,20457,19720,15520,16000,22925,-,-,-,-,-
1,Market Cap Growth,39.70%,39.70%,28.93%,-5.29%,1.18%,43.20%,11.75%,-10.77%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,42029,33147,24615,20896,20509,22781,18552,21355,20903,16703,16415,23358,-,-,-,-,-
3,Last Close Price,99.50,77.72,57.71,48.35,49.72,55.38,44.56,50.98,49.14,38.68,39.87,57.13,-,-,-,-,-
4,PE Ratio,101.53,79.37,65.32,84.11,370.02,1563.41,-167.79,-,-,-,-,-,-,-,-,-,-
5,Forward PE,47.04,44.77,42.28,53.64,67.59,97.68,70.95,61.25,36.61,33.14,29.74,46.88,-,-,-,-,-
6,PS Ratio,6.65,5.20,4.36,4.57,6.16,7.78,6.87,8.03,7.89,6.25,6.95,9.35,-,-,-,-,-
7,PB Ratio,9.83,7.68,5.70,4.98,5.27,5.94,4.85,5.55,5.32,4.16,4.23,5.98,-,-,-,-,-
8,P/TBV Ratio,8.19,8.19,6.08,5.28,5.60,6.32,5.15,5.90,5.36,4.19,4.26,6.02,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,26.18,-159.96,-18.47,-9.45,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-80.64,-,-,17.74,111.27,-25.77,-10.18,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.04,5.55,4.65,4.93,6.33,7.97,7.13,8.39,8.36,6.73,7.13,9.53,-,-,-,-,-
12,EV/EBITDA Ratio,86.80,-,44.59,58.70,137.73,278.74,-1034.01,-,-,-,77.93,62.14,-,-,-,-,-
13,EV/EBIT Ratio,100.21,-,51.04,73.10,247.81,1504.77,-218.33,-,-,-,96.84,69.55,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,27.16,-166.99,-19.58,-10.17,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.74,0.74,0.74,0.65,0.62,0.45,0.31,0.42,0.44,0.50,0.63,0.52,0.45,0.45,0.13,0.08,0.08
16,Debt / EBITDA Ratio,6.18,-,2.72,3.41,9.55,11.15,3.61,-,-,-,45.66,5.23,8.92,3.94,0.46,0.35,0.53
17,Debt / FCF Ratio,-,-,-,-,-,-,1.68,-12.06,-1.52,-1.13,-,-,-,-,-,-,-
18,Asset Turnover,-,0.92,0.91,0.51,0.75,0.50,0.43,0.31,0.52,0.40,-,-,0.67,-,-,-,
19,Inventory Turnover,-,-,1.68,1.77,1.03,1.56,0.83,0.84,0.51,1.03,0.74,-,-,1.93,-,-,-
20,Quick Ratio,-,-,0.49,0.59,0.59,0.86,1.02,0.99,0.93,0.92,0.87,1.00,-,0.80,1.37,-,2.57
21,Current Ratio,-,-,1.79,1.89,1.95,2.22,2.95,2.62,2.94,2.77,2.45,2.47,-,2.05,3.08,-,5.08
22,Return on Equity (ROE),11.67%,12.45%,14.15%,1.49%,8.58%,0.09%,-4.40%,-2.76%,-4.37%,-4.89%,-1.13%,2.15%,12.02%,23.22%,19.35%,-,
23,Return on Assets (ROA),-,8.51%,5.66%,1.76%,0.74%,2.83%,-1.87%,-0.93%,-3.27%,0.15%,-,-,4.20%,-,-,-,
24,Return on Capital (ROIC),-1.63%,9.65%,6.38%,1.97%,0.83%,3.12%,-2.03%,-1.00%,-3.53%,0.17%,3.95%,1.58%,4.87%,15.87%,12.66%,-,
25,Return on Capital Employed (ROCE),-,-,10.75%,6.68%,2.00%,0.37%,-2.12%,-,-,-,3.91%,7.70%,-,14.98%,14.66%,-,3.56%
26,Earnings Yield,0.98%,1.26%,1.53%,1.19%,0.27%,0.06%,-0.60%,-0.75%,-0.62%,-0.53%,0.23%,0.98%,-,-,-,-,-
27,FCF Yield,-,-5.99%,-4.10%,-2.35%,0.99%,3.82%,-0.63%,-5.41%,-10.59%,-17.44%,-9.53%,-,-,-,-,-,
28,Dividend Yield,0.16%,-,-,-,-,0.30%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,69.63%,13.94%,135.26%,20.38%,1265.62%,-,-,-,-,-,48.65%,4.04%,1.37%,1.38%,1.78%
30,Buyback Yield / Dilution,-12.32%,-101.76%,11.51%,-30.26%,18.07%,47.36%,-217.15%,45.13%,-21.33%,-2.38%,60.98%,-79.00%,2.01%,-,-,-,-
31,Total Shareholder Return,-12.16%,-101.76%,11.51%,-30.26%,18.07%,47.66%,-217.15%,45.13%,-21.33%,-2.38%,60.98%,-79.00%,2.01%,-,-,-,-
