,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,849.76,910.9,807.53,717.58,548.53,823.32,720.07,793.42,1185,1579,-,749.61,804.2,-,1130
1,Trading Asset Securities,-,44.08,39.71,35.44,43.43,42.98,47.92,-,-,13.66,-,-,-,-,-,100.51
2,Cash & Short-Term Investments,893.84,893.84,950.61,842.97,761.01,591.51,871.25,720.07,793.42,1199,1579,749.61,749.61,804.2,1231,1231
3,Cash Growth,17.45%,51.11%,9.11%,17.07%,-4.09%,-50.65%,-44.83%,-3.94%,5.84%,49.04%,28.33%,-39.08%,-,-,-,-
4,Accounts Receivable,-,775.38,838.23,712.56,1026,814.45,794.32,694.87,874.82,765.75,483.73,-,383.98,278.25,-,104.6
5,Other Receivables,-,7.22,2.2,38.87,3.36,5.43,3.13,6.31,3.31,27.6,3.32,-,8.75,0.88,-,6.39
6,Receivables,-,782.59,840.43,751.43,1029,819.88,797.45,701.18,878.12,793.35,487.05,-,392.72,279.12,-,111
7,Inventory,-,3226,3046,2843,2276,2538,2551,2755,2932,3007,2412,-,1252,734.2,-,508.81
8,Other Current Assets,-,1251,865.99,882.37,580.17,129.94,198.47,326.13,409.27,584.04,637.32,-,525.74,616.81,-,796.74
9,Total Current Assets,-,6154,5703,5320,4646,4079,4418,4503,5013,5583,5116,-,2920,2434,-,2647
10,"Property, Plant & Equipment",-,1151,1003,927.17,864.29,736.97,730.38,910.83,727.87,730.8,732.71,-,743.73,129.11,-,68.41
11,Long-Term Investments,-,21.97,22.09,22.06,22.05,19.44,19.48,19.15,19.24,17.95,17.62,-,17.34,17.15,-,16.79
12,Other Intangible Assets,-,252.9,219.93,226.89,224.04,213.61,218.5,27.96,30.35,28.43,28.08,-,36.76,37.24,-,39.91
13,Long-Term Deferred Tax Assets,-,109.99,117.49,130.84,123.63,131.27,120.33,96.89,86.65,50.7,28.34,-,24.96,17.41,-,14.22
14,Long-Term Deferred Charges,-,205.25,198.12,185.51,177.36,155.59,125.81,115.5,104.25,114.01,112.81,-,96.99,78.3,-,62.83
15,Other Long-Term Assets,-,37.02,33.43,52.32,87.97,58.75,71.76,72.2,72.59,98.6,397.75,-,550.22,665.97,-,10.23
16,Total Assets,-,7933,7297,6865,6146,5395,5705,5745,6054,6623,6433,-,4390,3380,-,2859
17,Accounts Payable,-,376.08,377.54,256.07,270.47,221.41,127.23,118.09,123.64,210.4,333.8,-,299.9,241.92,-,198.52
18,Accrued Expenses,-,61.62,301.29,247.12,221.51,187.5,186.94,158.41,201.28,99.61,132.76,-,136.99,114.02,-,82.82
19,Short-Term Debt,-,2527,2104,1955,1378,826.08,1220,1075,1308,1825,1444,-,823.2,274.11,-,123.13
20,Current Portion of Long-Term Debt,-,62.25,51.91,102.25,46.97,29.62,25.22,56.91,57.24,26.13,27.31,-,26.88,29.57,-,28.23
21,Current Portion of Leases,-,-,3.54,-,4.4,-,4.62,-,4.27,-,4.26,-,3.45,-,-,2.83
22,Current Income Taxes Payable,-,13.92,7.74,13.93,7.76,11.2,7.46,11.4,7.47,19.67,14.14,-,21.73,26.46,-,4.22
23,Current Unearned Revenue,-,65.14,56.34,77.47,91.27,85.13,93.16,92.1,89.54,80.19,87.64,-,65.78,68.76,-,60.01
24,Other Current Liabilities,-,339.37,114.11,73.12,71.44,20.09,23.62,19.38,21.5,21.54,26.4,-,43.62,35.56,-,21.72
25,Total Current Liabilities,-,3445,3017,2725,2091,1381,1688,1531,1813,2283,2070,-,1422,790.41,-,521.49
26,Long-Term Debt,-,382.07,343.68,298.47,258.23,281.48,281.48,473.94,476.23,518.91,507.58,-,320.65,18.85,-,31.83
27,Long-Term Leases,-,22.58,8.55,9.41,10.64,10.81,11.52,12.89,9.29,10.45,10.94,-,8.58,6.75,-,3.73
28,Long-Term Unearned Revenue,-,34.07,31.36,32.9,32.83,34.68,35.57,23.01,23.94,23.91,9.83,-,9.83,9.83,-,5.33
29,Other Long-Term Liabilities,-,7.38,6.25,11.72,11.7,0.23,0.14,0.35,0.35,0.32,0.19,-,0.92,0.98,-,0.75
30,Total Liabilities,-,3891,3407,3077,2405,1708,2017,2041,2323,2837,2598,-,1762,826.81,-,563.14
31,Common Stock,-,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,-,360,360,-,360
32,Additional Paid-In Capital,-,3241,3207,3176,3144,3136,3136,3133,3129,3138,3121,-,1979,1975,-,1966
33,Retained Earnings,-,456.43,332.99,263.13,249.1,169.41,168.55,209.21,234.89,275.98,322.61,-,317.64,239.76,-,-12.07
34,Treasury Stock,-,-30.01,-30.01,-30.01,-30.01,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,-25.85,-19.52,-21.28,-22.14,-18.54,-16.17,-38.12,-32.62,-27.35,-9.18,-,-28.67,-22.55,-,-17.83
36,Shareholders' Equity,4042,4042,3891,3788,3741,3687,3688,3704,3731,3787,3835,2628,2628,2553,2296,2296
37,Total Liabilities & Equity,-,7933,7297,6865,6146,5395,5705,5745,6054,6623,6433,-,4390,3380,-,2859
38,Total Debt,2994,2994,2512,2365,1698,1148,1542,1618,1855,2381,1994,1183,1183,329.27,189.76,189.76
39,Net Cash (Debt),-2100,-2100,-1561,-1522,-936.8,-556.48,-671.15,-898.27,-1061,-1182,-414.55,-433.14,-433.14,474.93,1041,1041
40,Net Cash Per Share,-5.37,-5.31,-3.40,-4.34,-4.83,-1.24,-1.90,-2.10,-2.88,-8.39,-0.65,-1.23,-1.20,1.31,2.90,2.89
41,Filing Date Shares Outstanding,391.21,399.47,399.47,399.47,399.47,400.01,400.01,400.01,400.01,400.01,400.01,352.78,400.01,360,358.87,360
42,Total Common Shares Outstanding,399.47,399.47,399.47,399.47,399.47,400.01,400.01,400.01,400.01,400.01,400.01,352.78,360,360,358.87,360
43,Working Capital,-,2709,2686,2595,2555,2698,2730,2972,3200,3300,3046,-,1498,1644,-,2126
44,Book Value Per Share,10.12,10.12,9.74,9.48,9.36,9.22,9.22,9.26,9.33,9.47,9.59,7.30,7.30,7.09,6.38,6.38
45,Tangible Book Value,3789,3789,3671,3561,3517,3473,3470,3676,3701,3758,3807,2592,2592,2515,2256,2256
46,Tangible Book Value Per Share,9.48,9.48,9.19,8.91,8.80,8.68,8.67,9.19,9.25,9.40,9.52,7.20,7.20,6.99,6.27,6.27
47,Buildings,-,-,622.44,-,619.13,-,618.16,-,618.16,-,617.06,-,617.06,-,-,-
48,Machinery,-,-,441.61,-,312.35,-,190.83,-,160.65,-,139.96,-,129.6,110.72,-,66.79
49,Construction In Progress,-,-,90.82,-,44.26,-,3.46,-,8.07,-,8.77,-,10.6,26.64,-,7.42
