,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1052797,1406831,1153200,1002851,1454468,926118,1336479,1439920,1407880,1495807,1555074,1349583,1420058,527066,1452317,1153315,1300478,1114505,1250877,1019780,Upgrade
1,Revenue Growth (YoY),-27.62%,51.91%,-13.71%,-30.35%,3.31%,-38.09%,-14.06%,6.69%,-0.86%,183.80%,7.08%,17.02%,9.20%,-52.71%,16.10%,13.09%,12.21%,4.19%,6.25%,9.50%,Upgrade
2,Cost of Revenue,600842,800815,647599,577796,863713,527732,763810,885309,933027,1072981,1164158,1030517,1132849,503539,1265604,946846,1008797,759148,896613,774100,Upgrade
3,Gross Profit,451954,606017,505600,425055,590754,398385,572669,554611,474853,422826,390916,319066,287209,23527,186714,206469,291681,355357,354264,245680,Upgrade
4,"Selling, General & Admin",155604,200424,140559,178969,260795,133945,201857,186573,143360,172450,180354,136106,110695,53588,113559,91144,134805,156388,148233,109365,Upgrade
5,Operating Expenses,155604,200424,140559,178969,260795,133945,201857,186573,143360,172450,180354,136106,110695,53588,113559,91144,134805,156388,148233,109365,Upgrade
6,Operating Income,296351,405592,365041,246086,329959,264441,370812,368038,331492,250377,210562,182960,176514,-30061,73155,115325,156876,198968,206031,136315,Upgrade
7,Interest Expense,-30015,-3.74,-32642,-7.03,-9.59,-9.95,-36937,-9.42,-7.61,-7.54,-41441,-36.04,-13.2,-7.44,-10.94,-8,-13.88,-11.39,-16.33,-9.24,Upgrade
8,Interest & Investment Income,22549,20076,17038,18859,28866,32213,33983,22541,16329,13050,12158,11837,12684,10355,16604,18457,19027,20616,20575,17506,Upgrade
9,Earnings From Equity Investments,-196.88,120.8,-144.86,-276.55,-1080,-496.97,-383.35,-170.75,-1108,-3372,-673.36,212.55,-249.26,165.76,732.44,1656,96.46,576.52,1116,-116.21,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-416.49,178.62,-,-,268.25,645.84,-,-,-,-391.2,-,440.7,-,438.87,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),2011,-63777,1120,-26831,-41447,-27458,881.12,-39710,-36934,-40282,1118,-35717,-38744,-12765,-38650,-30897,-34195,-28866,-32668,-25705,Upgrade
12,EBT Excluding Unusual Items,290700,362008,350412,237413,316467,268689,368356,350957,310418,219765,181723,159256,149801,-32312,52271,104534,142230,191283,195037,127990,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,2696,-,-,17.74,180.39,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-6093,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,290700,362008,350412,237413,319164,268689,368356,350974,310599,219765,181723,159256,143708,-32312,52271,104534,142230,191283,195037,127990,Upgrade
16,Income Tax Expense,59744,72378,70111,47538,62301,59898,73748,70229,64158,44627,36479,31809,29166,-6355,10438,20576,31408,38141,38784,25621,Upgrade
17,Net Income,230955,289631,280301,189875,256863,208790,294608,280745,246440,175137,145244,127447,114543,-25958,41833,83958,110822,153142,156253,102369,Upgrade
18,Net Income to Common,230955,289631,280301,189875,256863,208790,294608,280745,246440,175137,145244,127447,114543,-25958,41833,83958,110822,153142,156253,102369,Upgrade
19,Net Income Growth,-10.09%,38.72%,-4.86%,-32.37%,4.23%,19.22%,102.84%,120.28%,115.15%,-,247.20%,51.80%,3.36%,-,-73.23%,-17.98%,17.20%,27.61%,33.41%,12.39%,Upgrade
20,Shares Outstanding (Basic),82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,Upgrade
21,Shares Outstanding (Diluted),82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,Upgrade
22,Shares Change (YoY),0.01%,0.02%,0.01%,-,-,-0.04%,-0.02%,0.01%,-,-0.01%,-0.02%,0.03%,-,0.04%,0.05%,0.00%,-,-0.01%,-0.04%,-0.01%,Upgrade
23,EPS (Basic),2821.00,3538.00,3424.00,2319.48,3137.79,2551.00,3599.00,3429.54,3010.48,2139.00,1774.00,1557.00,1399.24,-317.00,510.84,1026.00,1353.79,1871.00,1909.00,1251.00,Upgrade
24,EPS (Diluted),2821.00,3538.00,3424.00,2319.48,3137.77,2551.00,3599.00,3429.54,3010.48,2139.00,1774.00,1557.00,1399.24,-317.00,510.84,1026.00,1353.79,1871.00,1909.00,1251.00,Upgrade
25,EPS Growth,-10.10%,38.69%,-4.86%,-32.37%,4.23%,19.26%,102.87%,120.27%,115.15%,-,247.27%,51.75%,3.36%,-,-73.24%,-17.99%,17.20%,27.63%,33.47%,12.40%,Upgrade
