,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Market Capitalization,252199,207999,197599,200199,200199,192399,192399,187199,171599,189799,241799,233999,335398,319798,301598,246999,228799,218399,161199,119599,119599,Upgrade
1,Market Cap Growth,8.11%,8.11%,2.70%,6.94%,16.67%,1.37%,-20.43%,-20.00%,-48.84%,-40.65%,-19.83%,-5.26%,46.59%,46.43%,87.10%,106.52%,91.30%,61.54%,3.33%,-30.30%,-26.98%,Upgrade
2,Enterprise Value,106282,112341,162664,175638,196324,232455,430272,472259,369125,387324,735123,577544,678944,547745,529545,474946,456746,446346,466665,315605,315605,Upgrade
3,Last Close Price,9700.00,8000.00,7600.00,7700.00,7700.00,6858.54,6858.54,6673.17,6117.07,6154.48,7840.64,7587.72,10875.73,10369.88,9060.63,7420.34,6873.58,6561.14,4842.75,3228.50,2711.94,Upgrade
4,PE Ratio,10.67,8.80,8.78,8.76,9.05,9.14,11.95,11.71,9.48,-,11.57,14.35,21.50,16.75,10.78,6.88,6.60,7.29,6.10,5.74,6.01,Upgrade
5,PS Ratio,0.11,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.08,0.10,0.13,0.12,0.17,0.15,0.15,0.13,0.12,0.12,0.09,0.07,0.08,Upgrade
6,PB Ratio,0.53,0.43,0.42,0.43,0.41,0.40,0.41,0.40,0.36,0.40,0.51,0.50,0.70,0.67,-,-,0.47,0.45,0.34,0.26,0.25,Upgrade
7,P/TBV Ratio,0.43,0.43,0.42,0.43,0.41,0.40,0.41,0.40,0.36,0.40,0.51,0.50,0.70,0.67,-,-,0.47,0.45,0.34,0.26,0.25,Upgrade
8,P/FCF Ratio,1.47,1.21,1.12,0.65,0.69,1.26,1.29,-,-,0.90,1.46,-,-,-,-2.54,-,-,-,3.24,-,-,Upgrade
9,P/OCF Ratio,1.16,1.16,1.09,0.64,0.68,1.26,1.25,-,-,0.86,1.41,-,-,-,-2.78,-,-,-,2.45,-,-,Upgrade
10,EV/Sales Ratio,0.05,0.05,0.07,0.07,0.09,0.10,0.18,0.22,0.18,0.20,0.40,0.30,0.35,0.26,0.27,0.25,0.24,0.25,0.25,0.19,0.22,Upgrade
11,EV/EBITDA Ratio,2.18,-,2.73,4.36,2.98,3.67,6.24,5.42,4.85,4.23,7.83,6.90,8.06,6.73,6.19,5.29,4.99,4.73,4.60,3.04,2.98,Upgrade
12,EV/EBIT Ratio,5.80,-,5.49,16.85,5.42,-,10.82,8.08,7.86,6.25,11.62,11.14,12.98,11.07,10.13,8.61,8.86,9.06,9.32,7.26,7.91,Upgrade
13,EV/FCF Ratio,0.62,0.65,0.92,0.57,0.67,1.52,2.89,-,-,1.84,4.44,-,-,-,-4.47,-,-,-,9.37,-,-,Upgrade
14,Debt / Equity Ratio,0.06,0.06,0.05,0.23,0.17,0.17,0.42,0.78,0.71,0.71,0.99,1.15,0.76,0.76,-,-,0.64,0.64,0.70,0.75,0.51,Upgrade
