,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Revenue,517013,488861,777162,554097,421607,716603,599936,524000,534894,508672,504316,378606,465318,569358,524454,556637,312203,469823,557685,472872,Upgrade
1,Revenue Growth (YoY),22.63%,-31.78%,29.54%,5.74%,-21.18%,40.88%,18.96%,38.40%,14.95%,-10.66%,-3.84%,-31.98%,49.04%,21.19%,-5.96%,17.71%,-5.46%,49.98%,77.66%,82.62%,Upgrade
2,Cost of Revenue,501754,454545,748657,542363,412842,701864,562416,515230,523546,485780,476971,354540,452358,548084,496318,535489,293279,445517,534460,455175,Upgrade
3,Gross Profit,15259,34316,28505,11734,8765,14739,37520,8771,11348,22892,27345,24066,12960,21273,28135,21148,18924,24305,23225,17697,Upgrade
4,"Selling, General & Admin",30035,9149,24015,8296,12221,8788,7210,7809,8815,-1738,8509,8121,9133,8048,8843,8032,12263,8212,7549,6840,Upgrade
5,Operating Expenses,30035,9149,24015,8296,12221,8788,7210,7809,8815,-1738,8509,8121,9133,8048,8843,8032,12263,8212,7549,6840,Upgrade
6,Operating Income,-14776,25167,4490,3438,-3457,5951,30310,961.54,2533,24630,18836,15945,3827,13226,19292,13116,6661,16093,15676,10857,Upgrade
7,Interest Expense,-440.95,-785.96,-1713,-1286,-3031,-5929,-7049,-6821,-8197,-8918,-7464,-7036,-5671,-6802,-6869,-6720,-5727,-5336,-6394,-5784,Upgrade
8,Interest & Investment Income,59539,45023,46283,35165,112365,32504,25240,24418,44355,10004,6663,6206,8521,8884,10630,11240,8613,7830,11048,9147,Upgrade
9,Currency Exchange Gain (Loss),-,-,-,-,-4192,-,-,-,9438,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-36532,-60699,-38049,-29130,-95787,-23897,-39061,-11705,-47894,-17297,-6702,-6442,-5541,-10387,-13445,-5004,3976,-6945,-12102,-7374,Upgrade
11,Pretax Income,7790,8705,11011,8187,5898,8629,9440,6852,234.62,8419,11334,8673,1136,4920,9607,12632,13523,11642,8228,6845,Upgrade
12,Income Tax Expense,3239,3012,4159,1637,2494,2577,3326,1370,1781,2486,3093,2148,938.53,3578,2073,2620,4437,2391,1936,1499,Upgrade
13,Earnings From Continuing Operations,4551,5693,6852,6549,3404,6051,6114,5482,-1546,5934,8241,6525,197.59,1343,7534,10012,9085,9252,6292,5347,Upgrade
14,Net Income,4551,5693,6852,6549,3404,6051,6114,5482,-1546,5934,8241,6525,197.59,1343,7534,10012,9085,9252,6292,5347,Upgrade
15,Net Income to Common,4551,5693,6852,6549,3404,6051,6114,5482,-1546,5934,8241,6525,197.59,1343,7534,10012,9085,9252,6292,5347,Upgrade
16,Net Income Growth,33.69%,-5.91%,12.06%,19.47%,-,1.98%,-25.80%,-15.99%,-,341.92%,9.38%,-34.83%,-97.83%,-85.49%,19.75%,87.26%,63.74%,153.66%,17.39%,12.83%,Upgrade
17,Shares Outstanding (Basic),26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,Upgrade
18,Shares Outstanding (Diluted),26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,Upgrade
19,Shares Change (YoY),0.07%,0.10%,-0.25%,0.03%,0.19%,-0.21%,0.09%,-0.07%,5.02%,0.79%,0.07%,-0.03%,-5.12%,-0.64%,-0.07%,-0.05%,-0.06%,-0.25%,-0.07%,0.20%,Upgrade
20,EPS (Basic),175.00,219.00,264.00,252.00,130.99,233.00,235.00,211.00,-59.61,228.00,317.00,251.00,8.00,52.00,290.00,385.00,349.00,356.00,242.00,205.50,Upgrade
21,EPS (Diluted),175.00,219.00,264.00,252.00,130.99,233.00,235.00,211.00,-59.61,228.00,317.00,251.00,8.00,52.00,290.00,385.00,349.00,356.00,242.00,205.50,Upgrade
22,EPS Growth,33.60%,-6.01%,12.34%,19.43%,-,2.19%,-25.87%,-15.94%,-,338.46%,9.31%,-34.81%,-97.71%,-85.39%,19.83%,87.35%,63.85%,154.29%,17.48%,12.60%,Upgrade
23,Free Cash Flow,43779,74758,16755,36679,48754,206036,-,-102223,44848,302718,-68518,-68518,-,87288,-92486,-92486,-20872,110333,-46798,-46798,Upgrade
24,Free Cash Flow Per Share,1683.46,2875.63,645.55,1411.29,1876.10,7933.42,-,-3934.57,1729.11,11631.70,-2635.68,-2635.52,-,3380.42,-3559.98,-3556.29,-801.75,4245.55,-1800.02,-1798.65,Upgrade
25,Dividend Per Share,-,-,-,-,600.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Gross Margin,2.95%,7.02%,3.67%,2.12%,2.08%,2.06%,6.25%,1.67%,2.12%,4.50%,5.42%,6.36%,2.79%,3.74%,5.36%,3.80%,6.06%,5.17%,4.16%,3.74%,Upgrade
27,Operating Margin,-2.86%,5.15%,0.58%,0.62%,-0.82%,0.83%,5.05%,0.18%,0.47%,4.84%,3.74%,4.21%,0.82%,2.32%,3.68%,2.36%,2.13%,3.43%,2.81%,2.30%,Upgrade
28,Profit Margin,0.88%,1.16%,0.88%,1.18%,0.81%,0.84%,1.02%,1.05%,-0.29%,1.17%,1.63%,1.72%,0.04%,0.24%,1.44%,1.80%,2.91%,1.97%,1.13%,1.13%,Upgrade
29,Free Cash Flow Margin,8.47%,15.29%,2.16%,6.62%,11.56%,28.75%,-,-19.51%,8.38%,59.51%,-13.59%,-18.10%,-,15.33%,-17.63%,-16.62%,-6.69%,23.48%,-8.39%,-9.90%,Upgrade
30,EBITDA,-6977,32899,12003,10779,3933,13549,37610,8224,9541,31685,26621,23730,11893,21457,27117,20941,16030,25754,28715,23896,Upgrade
31,EBITDA Margin,-1.35%,6.73%,1.54%,1.95%,0.93%,1.89%,6.27%,1.57%,1.78%,6.23%,5.28%,6.27%,2.56%,3.77%,5.17%,3.76%,5.13%,5.48%,5.15%,5.05%,Upgrade
32,D&A For EBITDA,7798,7731,7513,7341,7390,7598,7300,7263,7007,7055,7785,7785,8066,8232,7825,7825,9370,9661,13039,13039,Upgrade
33,EBIT,-14776,25167,4490,3438,-3457,5951,30310,961.54,2533,24630,18836,15945,3827,13226,19292,13116,6661,16093,15676,10857,Upgrade
34,EBIT Margin,-2.86%,5.15%,0.58%,0.62%,-0.82%,0.83%,5.05%,0.18%,0.47%,4.84%,3.74%,4.21%,0.82%,2.32%,3.68%,2.36%,2.13%,3.43%,2.81%,2.30%,Upgrade
35,Effective Tax Rate,41.58%,34.60%,37.77%,20.00%,42.28%,29.87%,35.23%,20.00%,758.93%,29.52%,27.29%,24.76%,82.61%,72.71%,21.58%,20.74%,32.81%,20.53%,23.53%,21.89%,Upgrade
