,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020,Q4 2019,Q2 2019,Q1 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018"
0,Cash & Equivalents,41192,63484,-,-,-,-,-,11936,-,20604,-,-,19460
1,Short-Term Investments,115365,45345,-,-,-,-,-,3000,-,4000,-,-,6000
2,Cash & Short-Term Investments,156557,108830,-,-,-,-,-,14936,24604,24604,-,25460,25460
3,Cash Growth,-,-,-,-,-,-,-,-41.33%,-3.36%,-,-,-,-
4,Accounts Receivable,17356,18384,-,-,-,-,-,45025,-,54375,-,-,55881
5,Other Receivables,4907,10413,-,-,-,-,-,26248,-,25518,-,-,26668
6,Receivables,22263,28797,-,-,-,-,-,71273,-,79893,-,-,82550
7,Inventory,3849,3956,-,-,-,-,-,38675,-,40748,-,-,40098
8,Prepaid Expenses,440.66,349.03,-,-,-,-,-,251.6,-,557.43,-,-,1412
9,Other Current Assets,43743,36562,-,-,-,-,-,5541,-,6084,-,-,5510
10,Total Current Assets,226852,178494,-,-,-,-,-,130677,-,151888,-,-,155030
11,"Property, Plant & Equipment",42311,42598,-,-,-,-,-,34695,-,36297,-,-,40068
12,Long-Term Investments,1200,1200,-,-,-,-,-,32256,-,31267,-,-,12758
13,Other Intangible Assets,633.63,633.63,-,-,-,-,-,633.63,-,633.63,-,-,633.63
14,Other Long-Term Assets,39279,40895,-,-,-,-,-,36278,-,36599,-,-,36090
15,Total Assets,310276,263820,-,-,-,-,-,234540,-,256684,-,-,244580
16,Accounts Payable,9515,9980,-,-,-,-,-,9385,-,12787,-,-,18251
17,Accrued Expenses,11762,7878,-,-,-,-,-,2555,-,3433,-,-,5771
18,Short-Term Debt,491.4,561.6,-,-,-,-,-,19612,-,26336,-,-,26013
19,Current Income Taxes Payable,8340,8621,-,-,-,-,-,2287,-,1745,-,-,2704
20,Current Unearned Revenue,153.57,72,-,-,-,-,-,-,-,-,-,-,-
21,Other Current Liabilities,1353,1358,-,-,-,-,-,22004,-,20992,-,-,3802
22,Total Current Liabilities,31616,28472,-,-,-,-,-,55843,-,65293,-,-,56541
23,Long-Term Debt,12200,7800,-,-,-,-,-,-,-,-,-,-,-
24,Total Liabilities,43816,36272,-,-,-,-,-,55843,-,65293,-,-,56541
25,Common Stock,151397,151397,-,-,-,-,-,151397,-,151397,-,-,151397
26,Retained Earnings,78832,72339,-,-,-,-,-,27920,-,40615,-,-,37263
27,Comprehensive Income & Other,877.65,877.65,-,-,-,-,-,-620.71,-,-620.71,-,-,-620.71
28,Total Common Equity,231107,224614,-,-,-,-,-,178697,191391,191391,-,188040,188040
29,Minority Interest,35353,2934,-,-,-,-,-,-,-,-,-,-,-
30,Shareholders' Equity,266460,227548,-,-,-,-,-,178697,191391,191391,-,188040,188040
31,Total Liabilities & Equity,310276,263820,-,-,-,-,-,234540,-,256684,-,-,244580
32,Total Debt,12691,8362,-,-,-,-,-,19612,26336,26336,-,26013,26013
33,Net Cash (Debt),143865,100468,-,-,-,-,-,-4676,-1732,-1732,-,-552.92,-552.92
34,Net Cash Per Share,9505.15,6637.35,-,-,-,-,-,-,-,-114.49,-,-36.55,-36.48
35,Filing Date Shares Outstanding,15.14,15.14,15.14,-,15.14,-,-,-,-,15.13,15.11,15.13,15.16
36,Total Common Shares Outstanding,15.14,15.14,15.14,-,15.14,-,-,-,-,15.13,15.11,15.13,15.16
37,Working Capital,195237,150022,-,-,-,-,-,74834,-,86595,-,-,98490
38,Book Value Per Share,15264.91,14838.95,-,-,-,-,-,-,12652.26,12652.26,-,12406.79,12406.79
39,Tangible Book Value,230473,223980,-,-,-,-,-,178063,190758,190758,-,187406,187406
40,Tangible Book Value Per Share,15223.06,14797.09,-,-,-,-,-,-,12610.37,12610.37,-,12364.98,12364.98
41,Construction In Progress,9125,9125,-,-,-,-,-,3931,-,3317,-,-,2252
