,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020,Q4 2019,Q2 2019,Q1 2019,Q4 2018
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,348214,310304,342287,290793,215066,152969,154484,130251,75727,74213,-,-,-,-
1,Market Cap Growth,56.40%,102.85%,121.57%,123.26%,184.00%,106.12%,-,-,-,-,-,-,-,-
2,Enterprise Value,239702,212770,251118,295469,219742,157645,159160,134927,77459,75945,-,-,-,-
3,Last Close Price,23000.00,20500.00,22600.00,19200.00,14200.00,9614.42,9709.62,8186.54,4759.62,4664.42,5132.18,5828.07,5151.65,5956.60
4,PE Ratio,7.63,9.23,7.37,5.40,3.64,3.54,6.55,11.80,-,-,-,-,-,-
5,PS Ratio,2.80,2.57,3.40,3.39,2.59,1.92,1.82,1.32,0.66,0.55,-,-,-,-
6,PB Ratio,1.51,1.16,1.50,-,-,-,-,-,0.42,0.39,-,-,-,-
7,P/TBV Ratio,1.35,1.35,1.53,-,-,-,-,-,0.43,0.39,-,-,-,-
8,P/FCF Ratio,5.94,3.47,2.81,-,-,58.44,-,-,5.68,3.99,-,-,-,-
9,P/OCF Ratio,3.89,3.08,2.59,-,-,42.40,-,-,5.46,3.88,-,-,-,-
10,EV/Sales Ratio,1.93,1.76,2.50,3.44,2.65,1.98,1.87,1.37,0.67,0.56,-,-,-,-
11,EV/EBITDA Ratio,-,-,55.58,-,-,12.85,17.63,14.49,8.41,6.49,-,-,-,-
12,EV/EBIT Ratio,-,-,-,50.97,-,18.46,35.00,30.39,-,-,-,-,-,-
13,EV/FCF Ratio,4.09,2.38,2.06,-,-,60.23,-,-,5.81,4.08,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.04,-,-,-,-,-,0.11,0.14,0.14,-,0.14,0.14
15,Debt / EBITDA Ratio,-,-,2.61,-,-,-,-,-,7.30,5.57,1.38,-,2.06,-
16,Debt / FCF Ratio,0.22,0.14,0.07,-,-,-,-,-,1.47,1.42,-,-,3.27,-
17,Asset Turnover,0.57,0.54,-,-,-,-,-,-,-,-,-,-,-,
18,Inventory Turnover,30.79,35.63,29.63,-,-,-,-,-,-,-,-,-,-,-
19,Quick Ratio,5.66,5.66,4.83,-,-,-,-,-,1.54,-,1.60,-,-,1.91
20,Current Ratio,7.18,7.18,6.27,-,-,-,-,-,2.34,-,2.33,-,-,2.74
21,Return on Equity (ROE),8.76%,13.26%,-,-,-,-,-,-1.36%,-0.64%,-,-,6.84%,-,
22,Return on Assets (ROA),-0.63%,-0.96%,-,-,-,-,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),-0.70%,-1.07%,-,-,-,-,-,-0.75%,-0.13%,-,-,2.12%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,5.74%,-,-,2.39%
25,Earnings Yield,13.10%,10.83%,13.57%,18.53%,27.51%,28.25%,15.27%,8.47%,4.91%,10.19%,-,-,-,-
26,FCF Yield,16.84%,28.80%,35.57%,-,-14.32%,1.71%,-34.61%,-18.46%,17.61%,25.05%,-,-,-,-
27,Payout Ratio,0.00%,-,-,-,28.39%,-,-,-,-,-,-,-,-,-
28,Buyback Yield / Dilution,0.02%,0.04%,-,-,-,-,-,-,-,-,-,-,-,-
29,Total Shareholder Return,0.02%,0.04%,-,-,-,-,-,-,-,-,-,-,-,-
