,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,354.24,472.14,645.01,780.23,1791,1213,1105,803.16,1312,1355
1,Short-Term Investments,43.18,78.85,57.94,53.27,49.1,62.02,49.02,36.35,14.38,13.62
2,Accounts Receivable,4206,4405,3913,3878,3226,5174,4633,4335,3505,3132
3,Other Receivables,306.69,333.8,326.01,238.69,122.45,17.18,337.35,382.31,382.75,346.68
4,Restricted Cash,3,11.59,11.89,-,-,-,-,-,-,-
5,Other Current Assets,28.11,11.98,16.28,25.3,11.41,18.49,14.68,14.45,14.32,2.35
6,Total Current Assets,4941,5313,4970,4976,5200,6485,6139,5571,5229,4850
7,"Property, Plant & Equipment",16365,15771,15749,14855,14261,13789,14537,13285,11506,9640
8,Goodwill,273.95,333.52,342.23,359.82,372.89,425.82,445.19,433.18,362.06,330.4
9,Long-Term Investments,0.63,0.72,-,-,-,-,-,-,-,-
10,Long-Term Deferred Tax Assets,59.97,61.4,58.6,55.24,51.27,22.37,20.19,12.89,10.56,8.73
11,Other Long-Term Assets,27.74,24.1,13.54,16.94,55.24,245.43,61.24,26.21,126.65,6.86
12,Total Assets,21669,21504,21134,20263,19940,20968,21202,19328,17234,14836
13,Accrued Expenses,403.13,-,-,-,-,-,-,-,-,-
14,Current Portion of Long-Term Debt,2541,2662,3637,3600,2892,2281,2036,1377,1210,1129
15,Current Portion of Leases,56.96,46.72,47.76,44.46,34.04,38.16,31.68,29.5,18.8,18.64
16,Current Income Taxes Payable,43.12,80.86,49.6,81.3,52.71,98.21,51.23,54.96,59.88,55.01
17,Other Current Liabilities,133.29,715.18,439.55,1246,2119,3180,2585,2639,2487,2164
18,Total Current Liabilities,3178,3505,4173,4971,5099,5598,4704,4101,3775,3367
19,Long-Term Debt,4789,3966,2634,1620,2061,1963,2844,2118,653.29,983.69
20,Long-Term Leases,919.48,735.93,718.9,655,662.13,642.36,692.01,598.4,500.92,424.97
21,Long-Term Deferred Tax Liabilities,262.19,270.37,284.27,283.36,298.67,318.9,335.44,301.81,233.28,208.19
22,Other Long-Term Liabilities,15.38,16.65,15.7,26.95,57.03,48.73,65.74,54.11,60.96,29.29
23,Total Liabilities,9164,8494,7826,7556,8178,8571,8641,7173,5224,5013
24,Common Stock,72.5,82.57,82.57,81.84,74.4,72.98,71.1,71.1,71.1,67.53
25,Additional Paid-In Capital,-,-,7246,-,6379,-,6460,-,7590,-
26,Retained Earnings,6180,6839,7388,6172,6415,5401,5444,4322,4211,3339
27,Comprehensive Income & Other,6252,6078,-1420,6443,-1115,6914,578.14,7756,132.6,6417
28,Total Common Equity,12504,13000,13297,12697,11753,12388,12553,12149,12005,9823
29,Minority Interest,-,10.66,10.51,9.36,9.09,8.24,7.85,6.26,5.01,-
30,Shareholders' Equity,12504,13010,13307,12707,11762,12397,12560,12156,12010,9823
31,Total Liabilities & Equity,21669,21504,21134,20263,19940,20968,21202,19328,17234,14836
32,Total Debt,8307,7411,7037,5919,5650,4925,5604,4122,2383,2556
33,Net Cash (Debt),-7909,-6860,-6334,-5086,-3810,-3650,-4450,-3283,-1056,-1187
34,Net Cash Per Share,-0.95,-0.83,-0.77,-0.67,-0.51,-0.51,-0.63,-0.46,-0.15,-0.18
35,Filing Date Shares Outstanding,8377,8257,8257,8184,7440,7298,7110,7110,7110,6752
36,Total Common Shares Outstanding,8377,8257,8257,8184,7440,7298,7110,7110,7110,6752
37,Working Capital,1763,1808,796.99,4.62,101.13,887.35,1434,1471,1454,1484
38,Book Value Per Share,1.49,1.57,1.61,1.55,1.58,1.70,1.77,1.71,1.69,1.45
39,Tangible Book Value,12231,12666,12955,12337,11380,11962,12107,11716,11643,9493
40,Tangible Book Value Per Share,1.46,1.53,1.57,1.51,1.53,1.64,1.70,1.65,1.64,1.41
41,Buildings,-,191.14,196.48,188.18,195.38,204.59,209.62,205.83,204.18,187.67
42,Machinery,-,18351,18105,16891,16027,15443,15946,14456,12444,10294
