,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,10544,8249,7968,6567,7704,10122,-,-,-,-,-,-,-
1,Market Cap Growth,-18.51%,-18.51%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9132,6837,6537,5135,7468,9886,-,-,-,-,-,-,-
3,Last Close Price,62.76,49.10,47.43,39.02,45.77,60.14,-,-,-,-,-,-,-
4,PE Ratio,68.97,53.69,60.30,54.39,62.63,84.96,-,-,-,-,-,-,-
5,PS Ratio,10.32,8.04,8.75,8.03,9.87,13.64,-,-,-,-,-,-,-
6,PB Ratio,5.14,4.02,3.88,3.28,3.93,5.23,-,-,-,-,-,-,-
7,P/TBV Ratio,4.09,4.09,3.95,3.34,4.00,5.24,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-45.00,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-89.35,-84.41,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.90,6.66,7.18,6.28,9.57,13.32,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,52.95,39.57,62.23,77.89,84.34,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,53.97,40.41,64.44,82.59,87.90,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-35.19,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,-,0.25,0.25,0.25,0.23,0.18,0.18
15,Debt / EBITDA Ratio,0.11,0.13,0.06,0.07,0.13,-,-,0.64,1.00,11.56,10.82,0.48,0.48
16,Debt / FCF Ratio,-,-,-,-0.07,-,-,-,1.48,-,-25.73,-4.36,-,-
17,Asset Turnover,-,0.30,0.36,-,-,-,-,-,0.41,0.46,0.74,-,
18,Inventory Turnover,-,-,0.43,0.68,-,-,-,-,-,0.72,0.63,1.11,-
19,Quick Ratio,-,-,1.12,1.37,1.73,2.11,-,0.86,-,0.75,0.75,1.20,1.20
20,Current Ratio,-,-,2.23,2.51,2.92,3.28,-,1.86,-,1.81,1.81,2.19,2.19
21,Return on Equity (ROE),4.65%,9.88%,10.44%,-,-,-,36.77%,17.63%,5.48%,5.56%,28.53%,-,
22,Return on Assets (ROA),-,5.21%,2.60%,-,-,-,-,-,-0.08%,-0.09%,11.07%,-,
23,Return on Capital (ROIC),4.46%,9.10%,4.18%,-,-,-,19.08%,12.04%,-0.15%,-0.16%,18.62%,-,
24,Return on Capital Employed (ROCE),-,-,4.73%,2.98%,4.16%,-,-,12.42%,-,-,-,15.54%,7.77%
25,Earnings Yield,1.46%,1.86%,1.66%,1.84%,1.60%,1.18%,-,-,-,-,-,-,-
26,FCF Yield,-,-2.02%,-2.22%,-0.15%,0.12%,-,-,-,-,-,-,-,
27,Dividend Yield,0.12%,-,-,-,-,0.12%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,25.20%,-,-,31.13%,0.97%,0.55%,3.46%,11.10%,11.10%,2.04%,2.04%
29,Buyback Yield / Dilution,-30.37%,-20.07%,-33.44%,-39.67%,-29.67%,-11.84%,1.36%,1.48%,-0.33%,-,-,-,-
30,Total Shareholder Return,-30.25%,-20.07%,-33.44%,-39.67%,-29.67%,-11.71%,1.36%,1.48%,-0.33%,-,-,-,-
