,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,826.37,540.77,717.5,1251,-,396.04,-,303.54,303.54,231.66,231.66
1,Trading Asset Securities,-,604.49,901.27,728.03,300.07,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1431,1431,1442,1446,1551,-,396.04,303.54,303.54,303.54,231.66,231.66
3,Cash Growth,-7.72%,-,264.12%,376.22%,410.83%,-,70.96%,31.03%,-,-,-,-
4,Accounts Receivable,-,362.49,321.15,287.25,221.28,-,242.25,-,213.59,213.59,312.09,312.09
5,Other Receivables,-,6.8,5.2,2.02,10.89,-,3.98,-,4.07,4.07,2.83,2.83
6,Receivables,-,369.29,326.35,289.28,232.17,-,246.23,-,217.67,217.67,314.93,314.93
7,Inventory,-,1700,1398,1133,957.35,-,713.88,-,699.14,699.14,421.99,421.99
8,Prepaid Expenses,-,-,-,-,-,-,0.02,-,-,1.22,-,-
9,Other Current Assets,-,94.1,67.23,59.8,39.23,-,32.85,-,26.27,25.05,29.26,29.26
10,Total Current Assets,-,3594,3234,2927,2779,-,1389,-,1247,1247,997.83,997.83
11,"Property, Plant & Equipment",-,57.14,39.21,32.75,30.87,-,25.74,-,29.24,29.24,21.08,21.08
12,Long-Term Investments,-,9.2,9.2,9.2,9.2,-,9.2,-,9.2,9.2,9.2,9.2
13,Other Intangible Assets,-,34.96,33.54,33.87,3.4,-,3.85,-,4.72,4.72,5.26,5.26
14,Long-Term Accounts Receivable,-,0.47,0.47,0.47,0.47,-,-,-,0.02,-,-,-
15,Long-Term Deferred Tax Assets,-,40.85,37.53,32.84,31.23,-,26.64,-,27.79,25.47,18.5,18.5
16,Long-Term Deferred Charges,-,18.69,19.52,7.08,6.25,-,3.29,-,4.11,4.11,5.05,5.05
17,Other Long-Term Assets,-,-,-,-,-,-,-,-,-,0.02,0.02,0.02
18,Total Assets,-,3755,3373,3043,2861,-,1458,-,1322,1319,1057,1057
19,Accounts Payable,-,926.78,548.71,485.15,358.68,-,231.25,-,188.63,195.66,159.52,159.52
20,Accrued Expenses,-,21.53,196.56,20.32,52.43,-,15.01,-,42.43,28.83,14.78,14.78
21,Short-Term Debt,-,-,-,2.5,10.43,-,157.62,-,120,120,89.58,89.58
22,Current Portion of Leases,-,9.86,6.99,7.23,7.57,-,-,-,8.69,-,-,-
23,Current Income Taxes Payable,-,14.93,4.45,15.34,2.76,-,14.39,-,2.34,2.34,11.5,11.5
24,Current Unearned Revenue,-,614.84,502.92,454.4,408.66,-,301,-,319.94,319.94,160.48,160.48
25,Other Current Liabilities,-,23.93,29.05,16.83,5.7,-,27.65,-,8.44,23.7,18.9,18.9
26,Total Current Liabilities,-,1612,1289,1002,846.22,-,746.94,-,690.47,690.47,454.77,454.77
27,Long-Term Leases,-,9.54,3.72,3.96,5.27,-,1.96,-,7.6,7.6,5.26,5.26
28,Long-Term Unearned Revenue,-,5.84,8.69,12.13,16.88,-,23.72,-,25.22,25.22,14.83,14.83
29,Long-Term Deferred Tax Liabilities,-,4.29,2.97,2.76,2.58,-,0.46,-,2.81,0.49,0.08,0.08
30,Other Long-Term Liabilities,-,72.54,68.68,61.23,56.13,-,58.2,-,47.25,47.25,48.64,48.64
31,Total Liabilities,-,1704,1373,1082,927.08,-,831.27,-,773.35,771.03,523.58,523.58
32,Common Stock,-,168,168,168,168,-,126,-,126,126,126,126
33,Additional Paid-In Capital,-,1506,1506,1506,1506,-,281.96,-,281.96,281.96,281.96,281.96
34,Retained Earnings,-,376.02,325.99,286.87,258.83,-,217.85,-,139.69,139.69,124.65,124.65
35,Comprehensive Income & Other,-,0.95,0.4,0.5,0.65,-,0.65,-,0.7,0.7,0.77,0.77
36,Shareholders' Equity,2051,2051,2001,1962,1934,-,626.46,548.35,548.35,548.35,533.38,533.38
37,Total Liabilities & Equity,-,3755,3373,3043,2861,-,1458,-,1322,1319,1057,1057
38,Total Debt,19.4,19.4,10.71,13.7,23.27,-,159.59,136.29,136.29,127.6,94.85,94.85
39,Net Cash (Debt),1411,1411,1431,1432,1527,-,236.45,167.25,167.25,175.94,136.81,136.81
40,Net Cash Growth,-7.59%,-,505.34%,756.09%,813.20%,-,72.83%,22.25%,-,-,-,-
41,Net Cash Per Share,8.32,8.49,8.20,8.68,10.81,-,1.89,1.31,1.32,1.39,1.08,1.08
42,Filing Date Shares Outstanding,168,168,168,168,168,124.59,126,127.22,126,126,126,126
43,Total Common Shares Outstanding,168,168,168,168,168,124.59,126,127.22,126,126,126,126
44,Working Capital,-,1982,1945,1925,1933,-,642.08,-,556.14,556.14,543.07,543.07
45,Book Value Per Share,12.21,12.21,11.91,11.68,11.51,-,4.97,4.35,4.35,4.35,4.23,4.23
46,Tangible Book Value,2016,2016,1967,1928,1930,-,622.61,543.63,543.63,543.63,528.12,528.12
47,Tangible Book Value Per Share,12.00,12.00,11.71,11.47,11.49,-,4.94,4.31,4.31,4.31,4.19,4.19
48,Machinery,-,-,32.35,-,24.63,-,19.79,-,17.05,17.05,12.79,12.79
49,Construction In Progress,-,-,4.91,-,0.18,-,-,-,-,-,-,-
