,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,254.09,267.04,286.32,219.01,138.11,174.06,249.07,181.03,136.04,136.04,190.3,190.3
1,Other Revenue,-,-,-,-,-,-,-,-,0,0,5.53,5.53
2,Revenue,254.09,267.04,286.32,219.01,138.11,174.06,249.07,181.03,136.04,136.04,195.82,195.82
3,Revenue Growth (YoY),83.97%,53.42%,14.95%,20.98%,1.53%,27.95%,27.19%,-7.55%,-,-,-,-
4,Cost of Revenue,333.21,166.02,215.73,142.29,95.35,122.99,181.02,107.25,125.8,88.39,116.84,116.84
5,Gross Profit,-79.12,101.02,70.59,76.72,42.76,51.07,68.06,73.78,10.24,47.64,78.98,78.98
6,"Selling, General & Admin",-79.61,27.36,13.95,38.29,43.35,21.54,9.36,28.57,-2.53,34.87,24.42,24.42
7,Research & Development,-69.54,24.83,22.34,22.37,19.47,14.66,15.56,11.82,15.83,15.83,8.37,8.37
8,Other Operating Expenses,41.79,-28.87,-2.25,-10.68,12.56,-16.8,-9.96,-5.81,-4.75,-4.75,-2.69,-2.69
9,Operating Expenses,-116.03,26.73,37.24,52.06,73.62,16.04,11.93,40.82,10.66,48.06,32.18,32.18
10,Operating Income,36.91,74.3,33.35,24.66,-30.86,35.03,56.13,32.96,-0.42,-0.42,46.8,46.8
11,Interest Expense,-18.99,-0.33,-0.5,-0.4,-4.07,-1.25,-1.18,-1.02,-1,-1,-0.93,-0.93
12,Interest & Investment Income,1.23,6.59,5.28,7.12,6.1,2.21,0.65,0.6,0.15,0.15,0.13,0.13
13,Currency Exchange Gain (Loss),-,0.72,-0.72,-,0.53,-0.29,0.29,-,0.68,0.68,-,-
14,Other Non Operating Income (Expenses),0.43,-1.58,1.14,-0.55,-9.83,9.39,0.7,-0.71,-0.08,-0.08,-0.23,-0.23
15,EBT Excluding Unusual Items,19.57,79.69,38.54,30.83,-38.13,45.08,56.59,31.83,-0.67,-0.67,45.77,45.77
16,Gain (Loss) on Sale of Investments,-5.65,0.38,2.49,2.78,0.07,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.04,-,-,-0.04,-,-,-,-,-,-,-,-
18,Asset Writedown,11.29,-11.29,0.34,-0.34,2.12,-2.12,0.82,-0.82,2.29,2.29,-2.29,-2.29
19,Other Unusual Items,0.26,-13.7,13.45,-0.01,37.82,-,-,-,3.97,3.97,1.42,1.42
20,Pretax Income,25.5,55.09,54.83,33.23,1.87,42.95,57.42,31.01,5.59,5.59,44.91,44.91
21,Income Tax Expense,1.67,5.07,3.1,5.18,-0.48,4.33,3.43,6.83,-1.93,-1.93,6.87,6.87
22,Net Income,23.84,50.03,51.72,28.04,2.35,38.62,53.99,24.17,7.52,7.52,38.04,38.04
23,Net Income to Common,23.84,50.03,51.72,28.04,2.35,38.62,53.99,24.17,7.52,7.52,38.04,38.04
24,Net Income Growth,914.07%,29.53%,-4.20%,16.02%,-68.74%,413.69%,41.93%,-36.46%,-,-,-,-
25,Shares Outstanding (Basic),170,166,174,165,141,125,125,127,126,126,127,127
26,Shares Outstanding (Diluted),170,166,174,165,141,125,125,127,126,126,127,127
27,Shares Change (YoY),20.07%,33.44%,39.67%,29.67%,11.84%,-1.36%,-1.48%,0.33%,-,-,-,-
28,EPS (Basic),0.14,0.30,0.30,0.17,0.02,0.31,0.43,0.19,0.06,0.06,0.30,0.30
29,EPS (Diluted),0.14,0.30,0.30,0.17,0.02,0.31,0.43,0.19,0.06,0.06,0.30,0.30
30,EPS Growth,744.59%,-2.94%,-31.41%,-10.53%,-72.05%,420.78%,44.07%,-36.67%,-,-,-,-
31,Free Cash Flow,-,-9.88,21.24,-118.65,-53.54,5.04,155.46,-95.21,23.96,23.96,-26.61,-26.61
32,Free Cash Flow Per Share,-,-0.06,0.12,-0.72,-0.38,0.04,1.24,-0.75,0.19,0.19,-0.21,-0.21
33,Dividend Per Share,-,-,-,-,0.075,-,-,-,-,-,-,-
34,Gross Margin,-31.14%,37.83%,24.65%,35.03%,30.96%,29.34%,27.32%,40.75%,7.53%,35.02%,40.33%,40.33%
35,Operating Margin,14.52%,27.82%,11.65%,11.26%,-22.34%,20.12%,22.54%,18.21%,-0.31%,-0.31%,23.90%,23.90%
36,Profit Margin,9.38%,18.73%,18.06%,12.80%,1.70%,22.19%,21.68%,13.35%,5.53%,5.53%,19.43%,19.43%
37,Free Cash Flow Margin,-,-3.70%,7.42%,-54.18%,-38.76%,2.89%,62.41%,-52.59%,17.61%,17.61%,-13.59%,-13.59%
38,EBITDA,37.72,75.11,34.51,25.47,-30.05,36,57.12,33.93,0.65,0.65,47.68,47.68
39,EBITDA Margin,14.84%,28.13%,12.05%,11.63%,-21.76%,20.68%,22.93%,18.74%,0.48%,0.48%,24.35%,24.35%
40,D&A For EBITDA,0.81,0.81,1.16,0.81,0.81,0.97,0.99,0.97,1.06,1.06,0.88,0.88
41,EBIT,36.91,74.3,33.35,24.66,-30.86,35.03,56.13,32.96,-0.42,-0.42,46.8,46.8
42,EBIT Margin,14.52%,27.82%,11.65%,11.26%,-22.34%,20.12%,22.54%,18.21%,-0.31%,-0.31%,23.90%,23.90%
43,Effective Tax Rate,6.53%,9.20%,5.66%,15.60%,-,10.08%,5.97%,22.04%,-,-,15.29%,15.29%
44,Revenue as Reported,-,267.04,286.32,219.01,138.11,174.06,249.07,181.03,663.72,-,-,-
