,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,20835,21181,26894,22229,29968,19299,30456,20051,21810,18955,23039,-,13498,-,-,10994,6217,3743,7909,-,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,39.41,39.41,-,39.41,-,-,43.83,43.83,43.83,43.83,-,Upgrade
2,Cash & Short-Term Investments,20835,21181,26894,22229,29968,19299,30456,20051,21810,18994,23078,-,13537,-,11038,11038,6261,3787,7953,-,Upgrade
3,Cash Growth,-30.48%,9.75%,-11.70%,10.86%,37.40%,1.60%,31.97%,-,61.11%,-,109.09%,-,116.23%,-,38.78%,-,-43.66%,-45.50%,20.64%,-,Upgrade
4,Accounts Receivable,92749,97069,85830,135353,165547,79403,83887,74734,89511,61670,77493,-,89032,-,-,52679,132974,55960,55701,-,Upgrade
5,Other Receivables,14649,10905,9723,22583,8261,5715,6225,12562,8281,7559,4541,-,1822,-,-,9795,2977,3745,3289,-,Upgrade
6,Receivables,107398,107974,95553,157936,173808,85118,90112,87296,97792,69229,82035,-,90854,-,-,62474,135951,59706,58991,-,Upgrade
7,Inventory,61793,78698,66041,50403,81517,71029,46220,60553,78225,78247,75557,-,81132,-,-,33436,28875,50858,51278,-,Upgrade
8,Prepaid Expenses,67.42,2590,4207,3431,128.81,3223,3721,4524,4754,2195,2078,-,66.67,-,-,1102,4.89,1140,1011,-,Upgrade
9,Other Current Assets,10599,16842,19787,25074,14644,7949,2718,8994,5010,9790,8146,-,2101,-,-,1512,2288,3737,330.98,-,Upgrade
10,Total Current Assets,200692,227285,212481,259073,300066,186617,173227,181417,207592,178455,190895,-,187691,-,-,109560,173379,119228,119564,-,Upgrade
11,"Property, Plant & Equipment",54478,51996,51931,53445,55635,55692,58071,60581,63019,64896,66156,-,67972,-,-,73282,75655,77697,78818,-,Upgrade
12,Long-Term Investments,24417,23331,20077,18984,22737,21626,19961,18741,18485,17619,20769,-,23486,-,-,20314,24256,23600,21052,-,Upgrade
13,Other Intangible Assets,1212,1224,1236,1247,1259,1271,1282,1294,1306,1317,1329,-,1352,-,-,1387,1399,1410,1422,-,Upgrade
14,Long-Term Deferred Tax Assets,55.99,81.72,66.78,75.83,76.19,70.3,92.38,-,121.79,127.35,130.13,-,136.7,-,-,117.59,38.53,122.41,48.85,-,Upgrade
15,Other Long-Term Assets,47025,40561,40860,41260,41659,41052,42123,41440,42825,43176,43527,-,44099,-,-,45229,45671,46086,46627,-,Upgrade
16,Total Assets,327881,344479,326652,374086,421433,306328,294756,303473,333348,305592,322806,-,324736,-,-,249889,320398,268143,267532,-,Upgrade
17,Accounts Payable,65732,77450,61018,76015,112130,56767,44848,46105,57324,55442,68702,-,68219,-,-,42816,62321,42504,48902,-,Upgrade
