,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,471.83,614.54,331.32,460.94,325.27,283.46,330.16,405.3,517.59,272.11
1,Revenue Growth (YoY),42.41%,33.32%,1.86%,62.61%,-1.48%,-30.06%,-36.21%,48.95%,118.22%,9.50%
2,Cost of Revenue,447.97,598.3,308.09,452.35,309.67,268.86,325.38,419.92,516.24,274.05
3,Gross Profit,23.86,16.23,23.23,8.59,15.6,14.6,4.78,-14.62,1.35,-1.95
4,"Selling, General & Admin",16.45,13.21,13.29,11.51,9.7,9.42,8.75,9.53,10.8,10.05
5,Operating Expenses,15.7,16.96,14.53,11.69,10.41,9.34,9.28,10.35,11.87,10.63
6,Operating Income,8.16,-0.73,8.7,-3.1,5.2,5.26,-4.5,-24.97,-10.52,-12.57
7,Interest Expense,-2.11,-0.86,-0.14,-0.11,-0.08,-0.25,-0.3,-0.35,-0.42,-0.5
8,Interest & Investment Income,0.56,1.02,0.44,0.49,0.24,0.16,0.2,0.15,0.18,0.11
9,Currency Exchange Gain (Loss),0.3,0.16,-1.14,0.44,-1.69,0.23,0.36,0.65,0.59,-0.1
10,Other Non Operating Income (Expenses),0.71,0.06,-0.14,0.08,0.08,0.08,0.72,0.17,0.08,0.08
11,EBT Excluding Unusual Items,7.63,-0.35,7.71,-2.21,3.74,5.48,-3.53,-24.34,-10.1,-12.99
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.77,-,-
13,Asset Writedown,-0.42,-0.13,-0.44,-0.18,-0.13,-0.11,0.18,-0.05,0.03,-0.24
14,Other Unusual Items,-,-,-,5.2,2.62,-,-,7.31,5.57,-
15,Pretax Income,7.21,-0.48,7.27,2.82,6.22,5.37,-3.35,-16.32,-4.5,-13.23
16,Income Tax Expense,1.57,0.74,1.89,-0.12,1.24,-5.74,0.33,-0.86,0.16,1.24
17,Earnings From Continuing Operations,5.63,-1.22,5.39,2.94,4.98,11.11,-3.68,-15.46,-4.66,-14.47
18,Minority Interest in Earnings,0.28,0.02,0,-,-,-,-,-,-,-
19,Net Income,5.92,-1.2,5.39,2.94,4.98,11.11,-3.68,-15.46,-4.66,-14.47
20,Net Income to Common,5.92,-1.2,5.39,2.94,4.98,11.11,-3.68,-15.46,-4.66,-14.47
21,Net Income Growth,9.80%,-,8.13%,-73.53%,-,-,-,-,-,-
22,Shares Outstanding (Basic),144,120,120,120,120,120,120,120,120,120
23,Shares Outstanding (Diluted),144,120,120,120,120,120,120,120,120,120
24,Shares Change (YoY),20.00%,-,-,-,-,-,-,-,-,-
25,EPS (Basic),0.04,-0.01,0.04,0.02,0.04,0.09,-0.03,-0.13,-0.04,-0.12
26,EPS (Diluted),0.04,-0.01,0.04,0.02,0.04,0.09,-0.03,-0.13,-0.04,-0.12
27,EPS Growth,-8.50%,-,8.13%,-73.53%,-,-,-,-,-,-
28,Free Cash Flow,-74.16,-30.09,11.65,-47.43,28.24,27.71,35.44,-6.01,1.12,9.21
29,Free Cash Flow Per Share,-0.51,-0.25,0.10,-0.40,0.24,0.23,0.30,-0.05,0.01,0.08
30,Operating Margin,1.73%,-0.12%,2.63%,-0.67%,1.60%,1.85%,-1.36%,-6.16%,-2.03%,-4.62%
31,Profit Margin,1.25%,-0.20%,1.63%,0.64%,1.53%,3.92%,-1.11%,-3.81%,-0.90%,-5.32%
32,Free Cash Flow Margin,-15.72%,-4.90%,3.52%,-10.29%,8.68%,9.77%,10.73%,-1.48%,0.22%,3.38%
33,EBITDA,13.31,6.69,18.68,7.47,15.53,14.43,4.34,-15.06,0.36,-1.87
34,D&A For EBITDA,5.15,7.42,9.98,10.57,10.33,9.17,8.85,9.91,10.88,10.71
35,EBIT,8.16,-0.73,8.7,-3.1,5.2,5.26,-4.5,-24.97,-10.52,-12.57
