,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,26843,21097,17685,42166,37288,52563,60082,72496,70710,22033,30572,Upgrade
1,Market Cap Growth,-49.97%,-49.97%,-52.57%,-19.78%,-37.94%,-27.50%,-15.03%,229.03%,131.29%,-33.64%,-16.22%,Upgrade
2,Enterprise Value,27657,18906,14306,38022,33736,47670,54036,64744,64489,14836,27356,Upgrade
3,Last Close Price,12.50,9.84,8.32,19.86,17.60,24.85,28.45,34.50,33.90,11.28,15.94,Upgrade
4,PE Ratio,1.17,-,-,-,-,-,-,-,-,-,-,Upgrade
5,Forward PE,29.14,-,-,-,-,-,-,-,-,-,-,Upgrade
6,PS Ratio,5.74,-,2.24,6.43,6.73,10.77,13.43,18.97,20.05,7.27,12.41,Upgrade
7,PB Ratio,0.80,0.63,1.24,2.64,2.28,4.95,8.62,6.70,7.85,3.48,4.45,Upgrade
8,P/TBV Ratio,0.63,0.63,1.89,3.94,3.58,6.85,10.67,9.25,9.39,3.30,4.38,Upgrade
9,P/OCF Ratio,35.90,-,-113.88,-,-,-,-,-,-,-,-,Upgrade
10,PEG Ratio,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,Upgrade
11,EV/Sales Ratio,5.99,-,1.81,5.80,6.09,9.77,12.08,16.94,18.29,4.90,11.10,Upgrade
12,EV/EBITDA Ratio,90.54,-,-,-,-,-,-,-,-,-,-,Upgrade
13,EV/EBIT Ratio,262.23,-,-,-,-,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,-29.34,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,0.17,0.17,0.54,0.41,0.42,0.48,0.56,0.30,0.05,0.07,0.07,Upgrade
16,Return on Capital Employed (ROCE),0.19%,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Earnings Yield,85.71%,-,-7.82%,-1.77%,-3.89%,-3.37%,-5.26%,-3.86%,-2.01%,-7.21%,-4.63%,Upgrade
18,FCF Yield,-3.51%,-,-14.40%,-10.97%,-10.95%,-4.99%,-3.93%,-2.90%,-2.75%,-9.61%,-1.53%,Upgrade
19,Buyback Yield / Dilution,-3.27%,-,-0.46%,-0.40%,-0.77%,-0.86%,-5.83%,-8.71%,-4.91%,-3.02%,-2.03%,Upgrade
20,Total Shareholder Return,-3.27%,-,-0.46%,-0.40%,-0.77%,-0.86%,-5.83%,-8.71%,-4.91%,-3.02%,-2.03%,Upgrade
