,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3591,1135,2249,2873,3352,5210,9045,19093,17492,14642,7122
1,Market Cap Growth,-60.49%,-60.49%,-32.91%,-44.85%,-62.94%,-72.71%,-48.29%,30.40%,145.61%,170.59%,-
2,Enterprise Value,4147,2090,4227,5297,5809,7485,10494,19819,15958,13652,5762
3,Last Close Price,1.70,0.53,1.05,1.50,1.75,2.72,4.71,9.94,9.13,8.65,4.54
4,PE Ratio,-,-3322.12,-,-6.09,-,-,25.63,69.50,-38.07,-,23.95
5,Forward PE,-,5.15,5.15,5.17,5.17,11.06,10.88,39.39,23.68,39.80,20.89
6,PS Ratio,1.63,0.53,0.95,1.10,1.25,2.03,3.50,10.40,21.13,35.28,19.71
7,PB Ratio,0.89,0.28,0.55,0.73,0.82,1.13,1.88,4.18,3.92,7.03,3.58
8,P/TBV Ratio,0.85,0.85,1.84,2.57,3.05,3.50,6.01,14.71,10.23,7.03,3.58
9,P/FCF Ratio,865.07,273.48,-,6.70,21.69,-,-,-,-,-,-
10,P/OCF Ratio,4.84,4.84,5.32,4.35,7.68,29.20,94.67,393.43,341.10,245.44,138.37
11,PEG Ratio,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.92,0.55,0.39,0.39
12,EV/Sales Ratio,1.93,0.97,1.78,2.03,2.16,2.92,4.06,10.80,19.28,32.90,15.95
13,EV/EBITDA Ratio,9.91,5.14,9.81,10.21,11.78,18.44,23.11,51.31,81.76,149.97,72.77
14,EV/EBIT Ratio,20.90,10.53,19.91,16.90,19.32,32.96,36.09,75.60,119.40,205.33,94.83
15,EV/FCF Ratio,999.20,503.56,-,12.36,37.58,-,-,-,-,-,-
16,Debt / Equity Ratio,0.41,0.41,0.52,0.80,0.78,0.71,0.68,0.63,0.79,0.30,0.03
17,Debt / FCF Ratio,398.92,398.92,-,7.32,20.65,-,-,-,-,-,-
18,Return on Capital Employed (ROCE),3.07%,3.07%,3.26%,5.81%,5.07%,2.76%,3.33%,3.16%,1.52%,1.92%,2.98%
19,Earnings Yield,-0.01%,-0.03%,-5.69%,-16.41%,-17.82%,2.50%,3.90%,1.44%,-2.63%,-2.33%,4.18%
20,FCF Yield,0.12%,0.37%,9.59%,14.92%,4.61%,-7.40%,-6.61%,-4.56%,-3.73%,-0.26%,-0.16%
21,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.30%,0.37%,0.45%
22,Buyback Yield / Dilution,-7.22%,-11.73%,-11.75%,2.40%,4.59%,-1.56%,-15.65%,-37.44%,-5.91%,-5.73%,-36.28%
23,Total Shareholder Return,-7.22%,-11.73%,-11.75%,2.40%,4.59%,-1.56%,-15.65%,-37.44%,-5.61%,-5.36%,-35.83%
