,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,68,48,50,69,105,129,147,192,168,110,120
1,Market Cap Growth,-30.43%,-30.43%,-52.86%,-46.51%,-28.57%,-32.81%,-12.50%,75.34%,40.00%,-38.66%,-66.67%
2,Enterprise Value,49,-35,-4,-17,87,88,129,147,146,66,87
3,Last Close Price,0.04,0.03,0.03,0.05,0.07,0.09,0.10,0.13,0.11,0.07,0.08
4,PE Ratio,-,-1.73,-,-,8.83,-,-,-,63.85,-,-
5,PS Ratio,0.06,0.04,0.04,0.08,0.22,0.26,0.24,0.32,0.32,0.26,0.28
6,PB Ratio,0.51,0.36,0.40,0.43,0.63,0.86,0.95,1.20,1.01,0.70,0.73
7,P/TBV Ratio,0.36,0.36,0.40,0.43,0.63,0.86,0.95,1.20,1.01,0.70,0.73
8,P/FCF Ratio,-,-,3.14,-,2.17,-,-,-,82.03,-,3.45
9,P/OCF Ratio,-,-,1.77,-,1.83,-,-11.64,-,6.87,-,2.70
10,EV/Sales Ratio,0.04,-,-,-,0.18,0.18,0.21,0.24,0.28,0.16,0.20
11,EV/EBITDA Ratio,-,-,-,-,12.81,-,35.22,75.94,-34.79,-,-
12,EV/EBIT Ratio,-,-,-,-,-13.73,-,-,-,-,-,-
13,EV/FCF Ratio,-1.16,-,-,-,1.80,-,-,-,71.49,-,2.49
14,Debt / Equity Ratio,1.15,1.15,1.25,0.95,0.91,1.00,0.97,0.93,0.87,0.92,0.88
15,Debt / FCF Ratio,-,-,9.71,-,3.14,-,-,-,70.49,-,4.16
16,Return on Capital Employed (ROCE),-,-,-,-,-3.79%,-,-,-,-,-,-
17,Earnings Yield,-41.19%,-57.93%,-88.51%,13.87%,11.32%,-8.15%,-8.50%,2.03%,1.57%,-17.66%,-9.03%
18,FCF Yield,-63.05%,-88.66%,31.90%,41.49%,45.98%,-1.98%,-11.83%,-2.07%,1.22%,6.31%,29.01%
