,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,3093,2198,1771,2035,1238,1968,2375,1170,1069,1527,1696,Upgrade
1,Market Cap Growth,7.99%,7.99%,43.00%,3.45%,-47.86%,68.12%,122.22%,-23.33%,-37.00%,-10.00%,11.11%,Upgrade
2,Enterprise Value,3595,2784,2032,2218,1447,2168,2643,1447,1228,1664,1805,Upgrade
3,Last Close Price,0.76,0.54,0.43,0.60,0.36,0.58,0.70,0.34,0.32,0.45,0.50,Upgrade
4,PE Ratio,23.70,16.98,34.41,54.37,24.60,20.00,17.12,17.57,-,-,-,Upgrade
5,PS Ratio,1.84,1.32,1.18,1.17,0.99,3.39,3.48,2.25,3.26,8.57,8.86,Upgrade
6,PB Ratio,1.29,0.87,0.72,1.03,0.61,0.94,1.09,0.57,0.55,0.85,0.92,Upgrade
7,P/TBV Ratio,1.61,1.61,1.40,1.84,1.04,1.62,1.91,1.04,1.03,1.61,1.69,Upgrade
8,P/FCF Ratio,23.80,16.91,-,-,-65.80,-,18.08,45.33,215.57,-,-,Upgrade
9,P/OCF Ratio,8.81,8.81,-49.87,-,14.91,-,10.93,8.40,8.74,29.93,85.03,Upgrade
10,EV/Sales Ratio,2.15,1.67,1.36,1.27,1.16,3.73,3.88,2.78,3.75,9.34,9.43,Upgrade
11,EV/EBITDA Ratio,11.71,9.14,13.24,21.30,12.01,9.33,10.26,10.72,20.79,136.57,-,Upgrade
12,EV/EBIT Ratio,16.99,13.16,22.00,34.04,18.57,15.04,14.95,18.61,213.45,-48.77,-,Upgrade
13,EV/FCF Ratio,27.66,21.41,-,-,-76.87,-,20.13,56.03,247.64,-,-,Upgrade
14,Debt / Equity Ratio,0.24,0.24,0.26,0.11,0.11,0.12,0.11,0.12,0.16,0.12,0.09,Upgrade
15,Debt / FCF Ratio,4.67,4.67,-,-,-11.94,-,1.81,9.29,61.61,-,-,Upgrade
16,Return on Capital Employed (ROCE),6.29%,6.29%,2.62%,2.26%,2.68%,4.72%,5.47%,2.52%,0.19%,-1.25%,-,Upgrade
17,Earnings Yield,4.19%,5.89%,2.91%,1.84%,4.07%,5.00%,5.84%,5.69%,-0.59%,-1.34%,-1.24%,Upgrade
18,FCF Yield,4.20%,5.91%,-7.56%,-1.63%,-1.52%,3.45%,5.53%,2.21%,0.46%,-2.96%,-5.12%,Upgrade
19,Buyback Yield / Dilution,-18.82%,-19.99%,-17.66%,-,-0.25%,-,-0.00%,-,-,-,-,Upgrade
20,Total Shareholder Return,-18.82%,-19.99%,-17.66%,-,-0.25%,-,-0.00%,-,-,-,-,Upgrade
