,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,2264,2322,1830,1811,1499,1601,1564,1595,1426,1322
1,Other Revenue,1.06,4.79,3.64,0.15,3.48,2.79,3.12,1.19,3.83,-
2,Revenue,2265,2327,1833,1811,1502,1604,1567,1596,1429,1322
3,Revenue Growth (YoY),23.52%,28.48%,22.05%,12.89%,-4.16%,0.52%,9.65%,20.69%,24.25%,24.68%
4,Operations & Maintenance,-,-,-,-,-,-,-,-,-,44.18
5,"Selling, General & Admin",109.45,140.87,94.94,118.2,85.6,116.56,83.52,112.16,74.54,109.49
6,Provision for Bad Debts,0.76,30.47,-3.61,2.61,7.04,6.98,3.67,25.19,9.15,17.48
7,Other Operating Expenses,1970,1904,1595,1502,1256,1316,1322,1305,1191,1033
8,Total Operating Expenses,2080,2076,1686,1622,1349,1439,1409,1442,1275,1204
9,Operating Income,184.13,251.04,147.2,188.59,153.54,165.09,158.17,153.43,154.83,118.65
10,Interest Expense,-7.33,-10,-5.27,-5.2,-5.19,-7.42,-4.77,-8.03,-11.4,-13.86
11,Interest Income,1.85,6.39,3.34,11.79,7.72,-12.59,23.88,1.59,9.37,5.51
12,Net Interest Expense,-5.47,-3.61,-1.93,6.59,2.53,-20.01,19.12,-6.44,-2.03,-8.35
13,Income (Loss) on Equity Investments,-,-,-,-,-,-,-,-,-,1.8
14,Currency Exchange Gain (Loss),-0.17,-1.64,0.22,-1.19,-1.19,11.56,-11.21,-10.04,0.18,-0.75
15,Other Non-Operating Income (Expenses),-0.59,-7.28,16.97,9.75,4.18,-1.38,4.07,21.37,3.02,-
16,EBT Excluding Unusual Items,177.89,238.51,162.46,203.74,159.06,155.26,170.15,158.32,156,111.34
17,Gain (Loss) on Sale of Investments,-6.93,6.5,-5.36,-0.17,0.17,11.58,-1.13,-4.2,-1.14,-14.4
18,Gain (Loss) on Sale of Assets,-0.1,15.49,-,0.01,-0,-0.1,0,-0.14,-,-0.03
19,Asset Writedown,-,-8.63,0.23,-0.93,-0.33,-11.44,-3.11,-2.7,-0.43,-0.89
20,Pretax Income,170.85,251.86,157.33,202.65,158.9,155.29,165.91,151.27,154.43,96.03
21,Income Tax Expense,33.09,38.96,28.23,29.84,29.16,23.19,27.09,28.3,20.2,20.35
22,Earnings From Continuing Ops.,137.76,212.9,129.1,172.81,129.74,132.1,138.82,122.98,134.23,75.68
23,Minority Interest in Earnings,0.04,-2.26,-0.74,-1.08,-0.03,-0.74,-0.62,-1.54,0.36,-0.26
24,Net Income,137.8,210.64,128.36,171.73,129.71,131.36,138.2,121.44,134.59,75.42
25,Net Income to Common,137.8,210.64,128.36,171.73,129.71,131.36,138.2,121.44,134.59,75.42
26,Net Income Growth,7.35%,22.66%,-1.04%,30.73%,-6.14%,8.17%,2.68%,61.01%,33.48%,2.25%
27,Shares Outstanding (Basic),1074,1074,1074,1074,1074,1074,1074,1074,1074,1074
28,Shares Outstanding (Diluted),1074,1074,1074,1074,1074,1074,1074,1074,1074,1074
29,Shares Change (YoY),-,-,-,-,-,-,-,-,-,32.64%
30,EPS (Basic),0.13,0.20,0.12,0.16,0.12,0.12,0.13,0.11,0.13,0.07
31,EPS (Diluted),0.13,0.20,0.12,0.16,0.12,0.12,0.13,0.11,0.13,0.07
32,EPS Growth,7.35%,23.10%,-1.04%,31.22%,-6.14%,7.37%,2.68%,61.01%,33.48%,-22.91%
33,Free Cash Flow,-169.37,-98.94,-390.01,108.15,-221.59,146.59,-54.98,228.16,-38.72,187.56
34,Free Cash Flow Per Share,-0.16,-0.09,-0.36,0.10,-0.21,0.14,-0.05,0.21,-0.04,0.17
35,Profit Margin,6.08%,9.05%,7.00%,9.48%,8.63%,8.19%,8.82%,7.61%,9.42%,5.70%
36,Free Cash Flow Margin,-7.48%,-4.25%,-21.27%,5.97%,-14.75%,9.14%,-3.51%,14.30%,-2.71%,14.18%
37,EBITDA,299.39,348.36,238.9,268.16,237.28,230.99,243.64,223.49,224.01,189.16
38,D&A For EBITDA,115.26,97.32,91.7,79.57,83.74,65.9,85.47,70.06,69.17,70.52
39,EBIT,184.13,251.04,147.2,188.59,153.54,165.09,158.17,153.43,154.83,118.65
