,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Operating Revenue,353.54,364.07,293.9,340.76,418.28,425.07,359.69,443.12
1,Other Revenue,-0.26,0.26,-,0.75,-0.11,0.11,-,3.05
2,Revenue,353.28,364.34,293.9,341.51,418.16,425.19,359.69,446.17
3,Revenue Growth (YoY),-15.52%,-14.31%,-18.29%,-23.46%,-,-,-,-
4,Cost of Revenue,254.62,285.98,223.88,261.89,305.38,322.63,269.5,347.17
5,Gross Profit,98.66,78.35,70.02,79.62,112.78,102.55,90.2,99
6,"Selling, General & Admin",13.53,14.81,12.58,18.27,6.1,13.81,11.28,17.91
7,Research & Development,30.53,28.03,26.98,39.49,20.09,19.8,20.28,25.04
8,Other Operating Expenses,0.99,-2.6,1.35,1.95,1.69,-1.9,1.01,7.04
9,Operating Expenses,44.24,43,39.38,60.07,27.48,29.78,35.24,50.16
10,Operating Income,54.41,35.36,30.64,19.55,85.3,72.77,54.96,48.85
11,Interest Expense,-0.41,-0.84,-0.42,-0.38,-1.04,-1.1,-1.17,-1.16
12,Interest & Investment Income,13.28,13.67,13.45,13.77,6.44,1.87,3.01,2.37
13,Currency Exchange Gain (Loss),-3.04,3.04,-,1.78,-6.55,6.55,-,12.41
14,Other Non Operating Income (Expenses),-0.35,-0.14,0.07,-11.37,10.77,3.45,-3.5,-5.65
15,EBT Excluding Unusual Items,63.89,51.08,43.73,23.35,94.92,83.54,53.3,56.82
16,Gain (Loss) on Sale of Assets,-,-0,0,-0.03,-,-,-,-0.01
17,Asset Writedown,-1.19,1.72,-1.72,-3.15,3.15,1.94,-1.94,-1.08
18,Other Unusual Items,-1.23,4.31,5.92,-1.2,1.1,-1.1,-,-2.14
19,Pretax Income,61.46,57.11,47.94,18.97,99.17,84.38,51.36,53.59
20,Income Tax Expense,6.19,6.73,4.8,0.37,13.25,10.21,5.21,3.16
21,Earnings From Continuing Operations,55.27,50.38,43.14,18.6,85.92,74.17,46.15,50.43
22,Minority Interest in Earnings,-,-,-,-2.5,-1.55,-2.21,-2.21,-2.26
23,Net Income,55.27,50.38,43.14,16.1,84.37,71.96,43.95,48.17
24,Net Income to Common,55.27,50.38,43.14,16.1,84.37,71.96,43.95,48.17
25,Net Income Growth,-34.49%,-29.99%,-1.83%,-66.56%,-,-,-,-
26,Shares Outstanding (Basic),94,95,94,95,79,70,71,71
27,Shares Outstanding (Diluted),94,95,94,95,79,70,71,71
28,Shares Change (YoY),18.86%,35.02%,32.31%,33.66%,-,-,-,-
29,EPS (Basic),0.59,0.53,0.46,0.17,1.07,1.02,0.62,0.68
30,EPS (Diluted),0.59,0.53,0.46,0.17,1.07,1.02,0.62,0.68
31,EPS Growth,-44.88%,-48.15%,-25.81%,-74.98%,-,-,-,-
32,Free Cash Flow,-55.41,-72.83,33.5,-22.84,24.84,10.94,-35.96,138.39
33,Free Cash Flow Per Share,-0.59,-0.77,0.36,-0.24,0.32,0.16,-0.51,1.95
34,Dividend Per Share,0.200,-,-,0.450,-,-,-,-
35,Gross Margin,27.93%,21.51%,23.82%,23.31%,26.97%,24.12%,25.08%,22.19%
36,Operating Margin,15.40%,9.70%,10.42%,5.72%,20.40%,17.12%,15.28%,10.95%
37,Profit Margin,15.64%,13.83%,14.68%,4.72%,20.18%,16.92%,12.22%,10.80%
38,Free Cash Flow Margin,-15.69%,-19.99%,11.40%,-6.69%,5.94%,2.57%,-10.00%,31.02%
39,EBITDA,58.87,39.84,35.09,24,89.16,77.08,58.82,52.7
40,EBITDA Margin,16.66%,10.93%,11.94%,7.03%,21.32%,18.13%,16.35%,11.81%
41,D&A For EBITDA,4.46,4.48,4.46,4.46,3.86,4.3,3.86,3.86
42,EBIT,54.41,35.36,30.64,19.55,85.3,72.77,54.96,48.85
43,EBIT Margin,15.40%,9.70%,10.42%,5.72%,20.40%,17.12%,15.28%,10.95%
44,Effective Tax Rate,10.08%,11.79%,10.02%,1.94%,13.36%,12.11%,10.14%,5.90%
45,Revenue as Reported,353.28,364.34,293.9,341.51,418.16,425.19,359.69,446.17
