,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Market Capitalization,7674,5817,5308,5956,7958,7633,-,-,-
1,Market Cap Growth,-23.79%,-23.79%,-,-,-,-,-,-,-
2,Enterprise Value,5335,3436,2856,3442,5444,7252,-,-,-
3,Last Close Price,81.37,61.47,56.09,62.49,83.50,106.80,-,-,-
4,PE Ratio,46.53,35.28,27.36,27.63,36.78,30.72,-,-,-
5,Forward PE,31.91,22.23,17.87,-,-,-,-,-,-
6,PS Ratio,5.67,4.30,3.74,4.03,5.15,4.63,-,-,-
7,PB Ratio,2.43,1.84,1.71,1.92,2.60,2.47,-,-,-
8,P/TBV Ratio,1.88,1.88,1.75,1.97,2.67,2.55,-,-,-
9,P/FCF Ratio,-,-,-,128.25,-,55.22,-,-,-
10,P/OCF Ratio,92.54,92.54,-,35.02,98.50,27.93,-,-,-
11,EV/Sales Ratio,3.94,2.54,2.01,2.33,3.52,4.40,-,-,-
12,EV/EBITDA Ratio,31.84,21.77,15.18,15.27,21.86,26.11,-,-,-
13,EV/EBIT Ratio,39.68,24.55,16.72,16.53,23.41,27.69,-,-,-
14,EV/FCF Ratio,-45.37,-,-,74.11,-,52.47,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,-,0.15,0.15
16,Debt / EBITDA Ratio,0.21,0.15,0.21,0.24,0.21,0.10,-,0.46,0.41
17,Debt / FCF Ratio,-,-,-,0.72,-,0.25,-,-,0.78
18,Asset Turnover,0.36,0.38,0.30,-,-,-,-,-,
19,Inventory Turnover,3.11,3.45,3.61,2.60,-,-,-,-,-
20,Quick Ratio,4.39,4.39,4.44,4.10,3.76,3.82,-,-,1.17
21,Current Ratio,4.88,4.88,4.87,4.61,4.17,4.28,-,-,1.57
22,Return on Equity (ROE),7.05%,6.49%,5.60%,-,-,-,25.14%,-,
23,Return on Assets (ROA),3.51%,2.28%,1.95%,-,-,-,-,-,
24,Return on Capital (ROIC),4.29%,2.81%,2.46%,-,-,-,16.32%,-,
25,Return on Capital Employed (ROCE),4.21%,4.38%,5.44%,6.65%,7.53%,8.38%,-,-,5.87%
26,Earnings Yield,2.15%,2.83%,3.65%,3.62%,2.72%,3.25%,-,-,-
27,FCF Yield,-1.53%,-2.02%,-0.70%,0.78%,-0.29%,1.81%,-,-,-
28,Dividend Yield,0.46%,1.06%,-,-,0.54%,-,-,-,-
29,Payout Ratio,25.74%,-,84.24%,-,-,0.75%,1.04%,1.69%,1.83%
30,Buyback Yield / Dilution,-29.65%,-18.86%,-35.02%,-32.31%,-33.66%,-,-,-,-
31,Total Shareholder Return,-29.20%,-17.80%,-35.02%,-32.31%,-33.12%,-,-,-,-
