,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Cash & Equivalents,2373,2419,2485,2477,2567,-,-,500.61
1,Cash & Short-Term Investments,2373,2419,2485,2477,2567,-,500.61,500.61
2,Cash Growth,-7.52%,-,396.42%,394.84%,-,-,-,-
3,Accounts Receivable,722,681.24,645.83,718.97,710.84,-,-,649.06
4,Other Receivables,6.74,38.44,7.04,42.35,9.33,-,-,26.34
5,Receivables,728.73,719.68,652.88,761.32,720.18,-,-,675.4
6,Inventory,298.7,292.52,340.9,349.05,360.57,-,-,390.24
7,Other Current Assets,43.73,10.21,45.55,8.72,36,-,-,9.67
8,Total Current Assets,3445,3442,3524,3596,3683,-,-,1576
9,"Property, Plant & Equipment",351.26,301.84,260.27,241.49,186.06,-,-,139.38
10,Other Intangible Assets,73.05,73.72,74.42,74.41,74.54,-,-,71.27
11,Long-Term Deferred Tax Assets,21.16,22.92,29.24,27.39,28.89,-,-,29.37
12,Long-Term Deferred Charges,6.28,7.07,8.2,9.41,10.23,-,-,13.94
13,Other Long-Term Assets,3.74,2.78,1.61,2.44,2.45,-,-,3.65
14,Total Assets,3900,3850,3898,3951,3985,-,-,1834
15,Accounts Payable,634.47,648.79,707.2,786.33,795.23,-,-,901.63
16,Accrued Expenses,28.28,30.79,22.57,41.6,27.86,-,-,48.5
17,Current Portion of Long-Term Debt,-,-,-,-,11.83,-,-,14.1
18,Current Portion of Leases,15.82,15.61,12.84,11.57,-,-,-,11.62
19,Current Income Taxes Payable,11.76,2.77,12.3,5.88,12.78,-,-,8.15
20,Current Unearned Revenue,3.45,3.57,3.45,3.97,4.61,-,-,7.88
21,Other Current Liabilities,12.07,5.51,6.24,12.76,9.11,-,-,9.94
22,Total Current Liabilities,705.85,707.03,764.6,862.12,861.43,-,-,1002
23,Long-Term Debt,-,-,-,-,-,-,-,58
24,Long-Term Leases,18.66,22.71,20.52,19.54,22.36,-,-,23.61
25,Long-Term Unearned Revenue,3.1,3.42,3.62,4.12,4.63,-,-,6.15
26,Other Long-Term Liabilities,8.78,8.5,8.98,8.34,8.26,-,-,9.61
27,Total Liabilities,736.39,741.67,797.72,894.12,896.68,-,-,1099
28,Common Stock,94.31,94.31,94.31,94.31,94.31,-,-,70.72
29,Additional Paid-In Capital,2358,2358,2358,2358,2388,-,-,263.02
30,Retained Earnings,711.19,655.92,647.98,604.84,588.73,-,-,388.46
31,Comprehensive Income & Other,-0,0,-,-,-,-,-,-
32,Total Common Equity,3164,3108,3100,3057,3071,-,722.2,722.2
33,Minority Interest,-,-,-,-,18.1,-,-,12.14
34,Shareholders' Equity,3164,3108,3100,3057,3089,-,734.34,734.34
35,Total Liabilities & Equity,3900,3850,3898,3951,3985,-,-,1834
36,Total Debt,34.49,38.32,33.36,31.11,34.18,-,107.32,107.32
37,Net Cash (Debt),2339,2381,2452,2446,2532,-,393.29,393.29
38,Net Cash Growth,-7.64%,-,523.40%,521.97%,-,-,-,-
39,Net Cash Per Share,24.99,25.03,26.14,25.84,32.16,-,5.55,5.55
40,Filing Date Shares Outstanding,94.31,94.31,94.31,94.31,94.31,70.47,70.88,70.72
41,Total Common Shares Outstanding,94.31,94.31,94.31,94.31,94.31,70.47,70.88,70.72
42,Working Capital,2739,2735,2760,2734,2822,-,-,574.09
43,Book Value Per Share,33.55,32.96,32.87,32.42,32.56,-,10.21,10.21
44,Tangible Book Value,3091,3035,3026,2983,2996,-,650.93,650.93
45,Tangible Book Value Per Share,32.77,32.18,32.09,31.63,31.77,-,9.20,9.20
46,Machinery,-,192.14,-,182.69,-,-,-,170.13
47,Construction In Progress,-,178.8,-,126.23,-,-,-,16.89
