,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5968,4255,4347,5158,6727,7958,-,-,-,-,-
1,Market Cap Growth,-46.53%,-46.53%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5544,3667,3597,4293,5861,8198,-,-,-,-,-
3,Last Close Price,27.24,19.27,19.68,23.14,30.17,35.70,-,-,-,-,-
4,PE Ratio,64.49,46.61,43.57,40.66,50.66,53.61,-,-,-,-,-
5,PS Ratio,4.96,3.60,3.76,4.41,5.92,6.73,-,-,-,-,-
6,PB Ratio,2.77,1.97,2.02,2.38,3.15,3.74,-,-,-,-,-
7,P/TBV Ratio,2.13,2.13,2.19,2.53,3.35,3.94,-,-,-,-,-
8,P/OCF Ratio,-,-,-,-,66.63,54.74,-,-,-,-,-
9,EV/Sales Ratio,4.69,3.10,3.11,3.67,5.16,6.93,-,-,-,-,-
10,EV/EBITDA Ratio,37.30,26.99,23.79,22.32,-,35.26,-,-,-,-,-
11,EV/EBIT Ratio,111.93,74.04,51.88,37.70,-,50.30,-,-,-,-,-
12,Debt / Equity Ratio,0.11,0.11,0.10,0.07,0.10,0.11,-,0.44,0.44,-,0.36
13,Debt / EBITDA Ratio,1.57,1.10,1.41,0.69,-,0.88,-,1.49,5.14,-,1.10
14,Asset Turnover,0.43,0.44,0.38,-,-,-,-,-,-,-,
15,Inventory Turnover,2.35,2.24,2.48,2.01,-,-,-,-,-,-,-
16,Quick Ratio,1.88,1.88,2.42,2.88,3.02,2.71,-,-,0.86,-,-
17,Current Ratio,2.64,2.64,3.25,3.81,3.83,3.32,-,-,1.33,-,-
18,Return on Equity (ROE),4.76%,5.23%,5.25%,-,-,-,15.58%,-,-,-,
19,Return on Assets (ROA),2.61%,1.25%,3.06%,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),3.36%,1.57%,3.81%,-,-,-,9.71%,-,-,-,
21,Return on Capital Employed (ROCE),2.02%,2.02%,2.84%,4.70%,-,6.90%,-,-,8.87%,-,-
22,Earnings Yield,1.52%,2.15%,2.30%,2.46%,1.97%,1.87%,-,-,-,-,-
23,FCF Yield,-6.85%,-9.61%,-6.72%,-2.16%,-0.38%,-0.11%,-,-,-,-,-
24,Dividend Yield,0.69%,1.82%,1.27%,-,0.66%,-,-,-,-,-,-
25,Payout Ratio,53.18%,6.39%,156.53%,3.95%,13.36%,9.70%,4.64%,13.98%,8.93%,7.86%,7.86%
26,Buyback Yield / Dilution,-26.63%,-18.09%,-34.31%,-33.84%,-22.32%,-11.30%,2.37%,-,-,-,-
27,Total Shareholder Return,-25.94%,-16.27%,-33.04%,-33.84%,-21.66%,-11.30%,2.37%,-,-,-,-
