,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,321.6,536.37,460.21,586.5,1110,-,-,213.36,-,-
1,Trading Asset Securities,340.28,280.31,450.86,449.04,-,-,-,-,-,-
2,Cash & Short-Term Investments,661.89,816.68,911.06,1036,1110,-,213.36,213.36,-,240.71
3,Cash Growth,-40.38%,-,327.01%,385.35%,-,-,-,-,-,-
4,Accounts Receivable,604.66,509.56,454.81,447.7,503.59,-,-,410.82,-,-
5,Other Receivables,6.19,4.07,3.21,1.88,3.48,-,-,4.4,-,-
6,Receivables,610.85,513.63,458.02,449.59,507.08,-,-,415.21,-,-
7,Inventory,442.51,394.02,378.4,343.03,281.65,-,-,284.33,-,-
8,Prepaid Expenses,-,1.02,-,1.29,-,-,-,1.04,-,-
9,Other Current Assets,76.05,62.86,62.7,50.21,87.45,-,-,55.34,-,-
10,Total Current Assets,1791,1788,1810,1880,1986,-,-,969.28,-,-
11,"Property, Plant & Equipment",955.67,879.24,841.78,829.56,761.97,-,-,719.1,-,-
12,Other Intangible Assets,159.69,163.71,123.36,124.32,104.38,-,-,105.96,-,-
13,Long-Term Deferred Tax Assets,51.78,46.17,41.28,36.39,38.01,-,-,31.42,-,-
14,Long-Term Deferred Charges,9.45,7.56,7.48,8.37,8.97,-,-,11.33,-,-
15,Other Long-Term Assets,165.97,110.48,71.47,42.92,59.16,-,-,37.12,-,-
16,Total Assets,3134,2995,2896,2921,2959,-,-,1874,-,-
17,Accounts Payable,412.14,359.43,262.2,271.29,262.18,-,-,289.8,-,-
18,Accrued Expenses,60.02,67.91,57.38,65.07,55.31,-,-,59.56,-,-
19,Short-Term Debt,91.06,71.02,50.93,42.61,170.87,-,-,274.16,-,-
20,Current Portion of Long-Term Debt,-,2,-,22,-,-,-,20,-,-
21,Current Portion of Leases,-,3.33,-,1.97,-,-,-,1.09,-,-
22,Current Income Taxes Payable,20.79,7.67,20.16,9.8,18.17,-,-,7.79,-,-
23,Current Unearned Revenue,9.4,10.88,10.29,9.22,10.91,-,-,4.85,-,-
24,Other Current Liabilities,84.81,28.57,73.75,69.25,80,-,-,72.23,-,-
25,Total Current Liabilities,678.22,550.82,474.7,491.21,597.44,-,-,729.48,-,-
26,Long-Term Debt,137.11,137.09,98.1,133.11,59.38,-,-,62.12,-,-
27,Long-Term Leases,4.71,10.38,6.82,22.85,8.6,-,-,43.12,-,-
28,Long-Term Unearned Revenue,39.84,41,37.92,38.97,36.38,-,-,26.93,-,-
29,Long-Term Deferred Tax Liabilities,26.25,26.71,26.96,26.09,26.23,-,-,26.67,-,-
30,Other Long-Term Liabilities,84.93,80.18,84.73,71.54,101.62,-,-,78.33,-,-
31,Total Liabilities,971.06,846.19,729.25,783.78,829.65,-,-,966.64,-,-
32,Common Stock,219.11,219.11,219.11,219.11,219.11,-,-,164.33,-,-
33,Additional Paid-In Capital,1431,1430,1429,1429,1428,-,-,390.43,-,-
34,Retained Earnings,513.21,497.86,513.25,484.53,476.41,-,-,352.08,-,-
35,Comprehensive Income & Other,-4.46,-2.76,-0.66,-0.64,-0.74,-,-,-0.53,-,-
36,Total Common Equity,2159,2144,2161,2132,2123,-,906.31,906.31,-,810.64
37,Minority Interest,4.27,4.91,5.13,5.6,6.07,-,-,1.25,-,-
38,Shareholders' Equity,2163,2149,2166,2137,2129,-,907.56,907.56,-,812.64
39,Total Liabilities & Equity,3134,2995,2896,2921,2959,-,-,1874,-,-
40,Total Debt,232.89,223.83,155.85,222.54,238.85,-,400.49,400.49,-,289.1
41,Net Cash (Debt),429,592.85,755.21,812.99,871.23,-,-187.13,-187.13,-,-48.39
42,Net Cash Growth,-50.76%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,1.96,2.71,3.42,3.99,4.69,-,-1.13,-1.12,-,-0.29
44,Filing Date Shares Outstanding,219.11,219.11,219.11,219.11,219.11,162.84,165.08,164.33,166.78,166.78
45,Total Common Shares Outstanding,219.11,219.11,219.11,219.11,219.11,162.84,165.08,164.33,166.78,166.78
46,Working Capital,1113,1237,1335,1388,1389,-,-,239.8,-,-
47,Book Value Per Share,9.85,9.79,9.86,9.73,9.69,-,5.52,5.52,-,4.93
48,Tangible Book Value,1999,1981,2038,2008,2019,-,800.36,800.36,-,702.59
49,Tangible Book Value Per Share,9.12,9.04,9.30,9.16,9.21,-,4.87,4.87,-,4.28
50,Buildings,-,193.44,-,192.85,-,-,-,156.74,-,-
51,Machinery,-,911.05,-,804.29,-,-,-,661.74,-,-
52,Construction In Progress,-,101.15,-,112.45,-,-,-,102.3,-,-
