,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest and Dividend Income,75449,72831,212188,171142,200614,215455,209076,144965,111169,122214,122756,116862,86731,48971,48202,43962,46580,48808,40962,34188,Upgrade
1,Total Interest Expense,46681,43913,42264,44714,41939,53981,53498,54450,61963,41208,40684,35822,22337,23882,22521,21022,31001,28389,23135,25179,Upgrade
2,Net Interest Income,28768,28917,169924,126429,158674,161474,155578,90514,49206,81006,82072,81040,64393,25088,25681,22940,15579,20419,17827,9009,Upgrade
3,Brokerage Commission,3759,4632,5261,8867,4053,6628,4254,3305,5626,5775,7938,9695,12519,11267,12747,12503,5571,2433,2506,9169,Upgrade
4,Trading & Principal Transactions,-8997,-8515,-9786,-17023,-14509,-6376,-3273,-3181,-4639,-2576,-1716,-1840,8890,-1320,-24742,-1338,-8034,-981.64,-1035,-1320,Upgrade
5,Asset Management Fee,8424,91.15,132.57,140.27,-406.9,106.75,622.9,258.39,2581,6117,5494,15360,4152,9431,99.33,105.56,342.19,359.16,110.18,104.1,Upgrade
6,Gain on Sale of Investments (Rev),185955,81755,103817,179272,130758,125060,117274,144251,191489,108528,37443,101557,173367,90678,203649,210684,187736,93722,124145,25823,Upgrade
7,Other Revenue,14866,20671,6962,3490,12463,5515,4985,4633,17083,9970,19229,7379,36476,25579,10273,2012,5430,5385,1090,1673,Upgrade
8,Revenue,232774,127552,276310,301174,291033,292407,279440,239780,261346,208821,150460,213191,299798,160724,227708,246906,206624,121337,144644,44459,Upgrade
9,Revenue Growth (YoY),-20.02%,-56.38%,-1.12%,25.60%,11.36%,40.03%,85.72%,12.47%,-12.83%,29.92%,-33.92%,-13.66%,45.09%,32.46%,57.43%,455.36%,78.01%,46.09%,122.61%,-30.50%,Upgrade
10,Salaries & Employee Benefits,13730,7085,2116,-9201,44947,7574,-554.04,-7020,20345,3979,-335.56,-3643,25315,3607,-65.93,-3541,14406,2738,7170,-2406,Upgrade
11,Cost of Services Provided,18496,16986,28355,42652,-10500,21980,24852,27871,957.02,23264,26370,32138,22510,23999,25619,20602,15753,10371,2394,13913,Upgrade
12,Other Operating Expenses,-2685,505.13,232584,634.24,-277647,110768,186548,-14.49,-160730,74490,61835,45627,7457,5267,5259,3922,4128,3744,4107,3406,Upgrade
13,Total Operating Expenses,29808,24980,262910,33826,-243200,140482,210833,20689,-139428,101886,87873,73965,55564,32929,30822,20917,35212,16977,14497,14791,Upgrade
14,Operating Income,202967,102572,13400,267348,534233,151925,68607,219091,400774,106935,62587,139225,244233,127795,196887,225990,171412,104360,130147,29668,Upgrade
15,Currency Exchange Gains,-,-,-,0.39,9.58,-,63.27,73.77,-7752,-1546,-9232,-2125,-4485,0,-6.66,-0.32,-10.35,0.17,6.82,0.02,Upgrade
16,Other Non-Operating Income (Expenses),0.03,-,-927.05,927.05,-406155,-,39.76,-39.76,-242105,-,-173.35,173.35,-39373,-12440,161.32,-234.85,-459.26,173.83,285.12,-0,Upgrade
17,EBT Excluding Unusual Items,202967,102572,12473,268275,128088,151925,68710,219125,150917,105388,53181,137273,200375,115355,197041,225755,170943,104534,130439,29668,Upgrade
18,Gain (Loss) on Sale of Investments,-71083,-44432,10067,-137046,-98970,-70220,79469,-165215,-143256,-83023,-110910,-57126,-12970,-29507,-15612,-36427,-7659,-17969,-8611,-112671,Upgrade
19,Pretax Income,131883,58140,22540,131229,29117,81704,148178,53910,7661,22365,-57729,80148,187406,85848,181429,189328,163283,86564,121828,-83003,Upgrade
20,Income Tax Expense,26575,9699,-3619,29503,3768,19491,25348,12595,6.27,5282,-10061,13039,38666,16490,35036,36726,31539,17062,11019,-3618,Upgrade
21,Earnings From Continuing Ops.,105309,48441,26159,101726,25350,62213,122831,41315,7655,17083,-47667,67109,148740,69359,146393,152601,131744,69502,110809,-79386,Upgrade
22,Minority Interest in Earnings,-530.56,-22.04,41.16,-245.32,-79.72,-167.48,-124.58,-55.41,-9.52,-106.38,-221.62,-190.46,-60.26,-61.09,-11.56,-30.37,-36.55,1.05,1.34,-0.33,Upgrade
23,Net Income,104778,48419,26200,101480,25270,62046,122706,41260,7645,16977,-47889,66918,148679,69298,146381,152571,131708,69503,110810,-79386,Upgrade
24,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,5035,7529,-,-,-,-,-25846,-,25846,-,-,-,-,-,Upgrade
25,Net Income to Common,104778,48419,26200,101480,25270,62046,117671,33730,7645,16977,-47889,66918,174526,69298,120535,152571,131708,69503,110810,-79386,Upgrade
26,Net Income Growth,314.63%,-21.96%,-78.65%,145.96%,230.54%,265.47%,-,-38.34%,-94.86%,-75.50%,-,-56.14%,12.89%,-0.30%,32.10%,-,179.42%,440.38%,546.62%,-,Upgrade
27,Shares Outstanding (Basic),167,167,167,167,166,166,166,166,163,163,163,163,163,163,163,163,163,163,163,145,Upgrade
28,Shares Outstanding (Diluted),167,167,167,167,166,166,166,166,163,163,163,163,163,231,298,163,163,163,163,145,Upgrade
29,Shares Change (YoY),0.25%,0.22%,0.27%,0.16%,1.96%,1.96%,1.96%,1.96%,-0.00%,-29.24%,-45.26%,0.04%,-0.00%,41.32%,82.67%,12.43%,12.48%,12.48%,14.92%,2.17%,Upgrade
30,EPS (Basic),627.95,290.26,156.98,608.71,151.82,372.77,706.97,202.65,46.83,104.00,-293.35,409.92,1069.09,424.50,738.06,934.98,806.79,425.75,678.78,-546.98,Upgrade
31,EPS (Diluted),627.95,290.26,156.98,608.71,151.82,372.77,706.45,202.65,46.36,104.00,-293.35,409.92,1068.93,300.38,404.28,934.98,806.79,425.75,678.78,-546.98,Upgrade
32,EPS Growth,313.61%,-22.13%,-77.78%,200.37%,227.46%,258.44%,-,-50.56%,-95.66%,-65.38%,-,-56.16%,32.49%,-29.45%,-40.44%,-,178.16%,380.42%,462.67%,-,Upgrade
33,Free Cash Flow,-328854,-393494,-139804,409842,-1719428,842540,-588703,145431,-127933,351677,954137,-1014534,-299869,1798,-235086,-539.14,909356,-1380127,-217213,151582,Upgrade
34,Free Cash Flow Per Share,-1970.87,-2358.95,-837.64,2458.35,-10330.17,5061.96,-3536.92,873.74,-783.69,2154.29,5844.75,-6214.72,-1836.90,7.79,-788.31,-3.30,5570.38,-8454.08,-1330.56,1044.41,Upgrade
35,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361.051,-,-,-,Upgrade
36,Operating Margin,87.19%,80.42%,4.85%,88.77%,183.56%,51.96%,24.55%,91.37%,153.35%,51.21%,41.60%,65.31%,81.47%,79.51%,86.46%,91.53%,82.96%,86.01%,89.98%,66.73%,Upgrade
37,Profit Margin,45.01%,37.96%,9.48%,33.69%,8.68%,21.22%,42.11%,14.07%,2.93%,8.13%,-31.83%,31.39%,58.21%,43.12%,52.93%,61.79%,63.74%,57.28%,76.61%,-178.56%,Upgrade
38,Free Cash Flow Margin,-141.28%,-308.50%,-50.60%,136.08%,-590.80%,288.14%,-210.67%,60.65%,-48.95%,168.41%,634.15%,-475.88%,-100.02%,1.12%,-103.24%,-0.22%,440.10%,-1137.43%,-150.17%,340.95%,Upgrade
39,Effective Tax Rate,20.15%,16.68%,-,22.48%,12.94%,23.86%,17.11%,23.36%,0.08%,23.62%,-,16.27%,20.63%,19.21%,19.31%,19.40%,19.32%,19.71%,9.04%,-,Upgrade
40,Revenue as Reported,-,-,-,-,1332482,-,-,-,1022130,-,-,250853,-,-,-,269267,244840,150707,168959,70812,Upgrade
