,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,3390004,3289807,3840891,3849241,3775301,3192740,3487803,3540813,2401854,2676880,3394283,3453175,4850506,6478049,3310525,2411674,2053115,1429322,973347,946309,901403,Upgrade
1,Market Cap Growth,3.04%,3.04%,10.12%,8.71%,57.18%,19.27%,2.76%,2.54%,-50.48%,-58.68%,2.53%,43.19%,136.25%,353.23%,240.12%,154.85%,127.77%,27.42%,6.56%,0.55%,-3.44%,Upgrade
2,Last Close Price,20300.00,19700.00,23000.00,23050.00,22681.82,19181.82,20954.55,21272.73,14430.01,16397.74,20792.34,21153.09,29712.71,39682.54,20279.04,14773.01,12189.65,8486.09,5778.86,5618.33,6019.64,Upgrade
3,PE Ratio,12.06,11.71,19.07,17.90,12.32,13.37,15.78,20.12,229.55,61.32,16.12,-,11.25,12.53,6.98,5.08,4.42,6.14,6.80,10.95,-,Upgrade
4,PS Ratio,3.60,3.51,3.86,3.32,3.24,2.90,3.25,3.58,2.79,3.21,3.89,4.19,5.38,6.93,3.93,3.00,2.85,2.76,2.28,2.44,2.92,Upgrade
5,PB Ratio,1.45,1.41,1.72,1.77,1.75,1.55,1.72,1.80,1.30,1.51,1.93,1.96,2.68,3.69,2.06,1.57,1.41,1.09,0.83,0.86,1.00,Upgrade
6,P/FCF Ratio,-,-,-,-,-3.58,-,12.85,-,1.82,-,-395.22,-9.63,-,-,4.90,-,-,-2.66,-,-,1.74,Upgrade
7,P/OCF Ratio,-,-,-,-,-3.59,-,12.63,-,1.81,-,-334.54,-9.74,-,-,4.80,-,-,-2.70,-,-,1.72,Upgrade
8,Debt / Equity Ratio,1.99,1.99,1.97,1.83,1.93,2.14,1.26,1.73,1.51,1.75,1.66,1.94,2.50,1.89,1.80,1.94,1.70,1.91,2.86,1.76,2.12,Upgrade
9,Debt / FCF Ratio,-,-,-,-,-3.94,-,9.46,-,2.11,-,-339.74,-9.49,-,-,4.27,-,-,-4.66,-,-,3.69,Upgrade
10,Asset Turnover,0.13,0.08,0.10,0.09,0.09,0.10,0.10,0.10,0.11,0.09,0.06,0.10,0.18,0.12,0.20,0.25,0.19,0.12,0.19,0.06,Upgrade,
11,Quick Ratio,0.41,0.41,0.39,0.44,0.27,0.23,0.27,0.22,0.28,0.32,0.28,0.28,0.33,0.48,0.45,0.54,0.53,0.46,0.30,0.38,0.40,Upgrade
12,Current Ratio,1.28,1.28,1.33,1.40,0.89,0.89,0.77,0.73,0.29,0.76,0.72,0.79,0.87,0.99,1.08,1.36,1.50,1.44,1.25,1.44,1.36,Upgrade
13,Return on Equity (ROE),18.46%,8.79%,4.82%,19.31%,4.96%,12.45%,25.77%,9.15%,1.73%,3.88%,-10.69%,15.06%,35.40%,17.65%,39.09%,44.12%,42.48%,24.43%,44.24%,-33.76%,Upgrade,
14,Return on Assets (ROA),5.91%,2.91%,0.99%,2.88%,0.83%,2.22%,4.59%,1.70%,0.32%,0.73%,-2.05%,3.24%,9.14%,5.18%,13.09%,15.31%,12.18%,6.97%,14.31%,-10.69%,Upgrade,
15,Earnings Yield,8.29%,8.54%,5.24%,5.59%,8.25%,7.87%,6.70%,5.33%,0.75%,1.63%,5.44%,6.86%,8.89%,7.98%,15.10%,20.74%,22.63%,16.28%,15.21%,9.66%,-0.25%,Upgrade
16,FCF Yield,-13.34%,-13.75%,-47.98%,-15.77%,-27.96%,-41.35%,7.78%,-6.20%,55.10%,6.10%,-0.25%,-10.38%,-31.91%,-8.24%,20.41%,-29.29%,-33.54%,-37.53%,-177.10%,-14.54%,57.46%,Upgrade
17,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.25%,-,-,-,Upgrade
18,Payout Ratio,0.26%,0.02%,-,2.68%,-,-,-,0.00%,-,-,-,-,-,-,81.92%,1.48%,-,0.02%,-,0.01%,-,Upgrade
19,Buyback Yield / Dilution,-0.31%,-0.25%,-0.22%,-0.27%,-0.16%,-1.96%,-1.96%,-1.96%,-1.96%,0.00%,29.24%,45.26%,-0.04%,0.00%,-41.32%,-82.67%,-12.43%,-12.48%,-12.48%,-14.92%,-2.17%,Upgrade
20,Total Shareholder Return,-0.31%,-0.25%,-0.22%,-0.27%,-0.16%,-1.96%,-1.96%,-1.96%,-1.96%,0.00%,29.24%,45.26%,-0.04%,0.00%,-41.32%,-82.67%,-12.43%,-8.23%,-12.48%,-14.92%,-2.17%,Upgrade
