,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,351.78,351.26,205.16,-,161.64,148.51,129.25,166.93,120.25,150.98,158.55,185.58,165.1,168.73,154.69,79.2,161.77,158.28,147.18,134.99,Upgrade
1,Other Revenue,-4.76,4.76,-,-,-3.51,3.51,-,5.38,-2.76,2.76,-,7.15,-4.25,4.25,-,9.21,-21.58,21.58,-,7.95,Upgrade
2,Revenue,347.02,356.02,205.16,-,158.13,152.01,129.25,172.31,117.49,153.75,158.55,192.73,160.85,172.98,154.69,88.42,140.2,179.86,147.18,142.94,Upgrade
3,Revenue Growth (YoY),119.45%,134.20%,58.73%,-,34.59%,-1.13%,-18.48%,-10.60%,-26.96%,-11.12%,2.50%,117.98%,14.73%,-3.83%,5.10%,-38.15%,-28.92%,-25.80%,-33.91%,-47.26%,Upgrade
4,Cost of Revenue,304.32,293.33,159.35,-,114.67,116.03,111.82,152.21,102.3,124.82,143.32,174.51,145.61,131.73,123.34,170.42,119.6,117.72,112.37,190.91,Upgrade
5,Gross Profit,42.7,62.7,45.81,-,43.46,35.98,17.43,20.1,15.19,28.92,15.22,18.23,15.24,41.24,31.35,-82.01,20.59,62.14,34.82,-47.97,Upgrade
6,"Selling, General & Admin",19.21,18.56,22.8,-,17.39,25.8,25.62,36.84,30.09,21.44,24.53,37.43,21.17,29.7,24.03,18.69,30.09,25.74,40.08,58.68,Upgrade
7,Research & Development,13.29,6.49,7.16,-,2.14,2.29,1.73,3.89,1.23,3.85,4.18,2.69,5.63,5.02,6.21,145.96,8.06,16.7,6.05,44.46,Upgrade
8,Other Operating Expenses,2.74,2.37,2.21,-,1.87,-3.27,1.29,1.57,0.88,0.44,0.74,3.16,1.96,0.36,1.07,3.97,1.25,0.89,0.83,16.91,Upgrade
