,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,8388,6752,5800,7538,7685,8303,7685,8362,6919,7479,6213,6704,6972,6149,8411,8006,5420,4860,7343,6968,9812,Upgrade
1,Market Cap Growth,-18.68%,-18.68%,-24.52%,-9.86%,11.06%,11.02%,23.70%,24.74%,-0.75%,21.62%,-26.14%,-16.27%,28.62%,26.53%,14.54%,14.89%,-44.76%,-47.81%,-26.27%,-47.01%,11.65%,Upgrade
2,Enterprise Value,7911,6421,5421,7173,7321,7759,7042,7374,5999,6588,5488,6235,6503,5762,8191,8130,5545,5026,7561,7228,10072,Upgrade
3,Last Close Price,2.82,2.27,1.97,2.56,2.61,2.82,2.61,2.84,2.35,2.54,2.11,2.25,2.34,2.03,2.70,2.57,1.74,1.56,2.35,2.23,3.14,Upgrade
4,PE Ratio,45.45,36.03,34.32,41.34,-,84.72,39.50,43.67,-,15.74,10.44,11.15,-,-8.94,-9.18,-9.35,-,-7.14,-11.21,-9.72,-,Upgrade
5,Forward PE,-,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,44.70,Upgrade
6,PS Ratio,7.77,7.43,8.06,14.63,-,13.57,13.46,14.60,11.49,12.01,9.33,9.79,10.23,10.66,15.12,14.22,9.75,7.96,11.01,9.55,12.18,Upgrade
7,PB Ratio,2.46,1.98,1.60,2.13,-,-,2.23,2.48,2.12,2.37,2.06,2.28,2.62,2.23,3.21,3.10,2.06,1.30,1.99,1.96,2.77,Upgrade
8,P/TBV Ratio,2.00,2.00,1.71,2.29,-,-,2.42,2.69,2.20,2.39,2.09,2.30,2.65,2.26,3.25,3.14,2.09,1.51,2.31,2.29,3.24,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.91,50.74,173.06,74.98,-71.42,-,-63.14,Upgrade
10,P/OCF Ratio,-,-,-,-,-,-,435.35,-,333.49,-,-,-,66.23,-,32.47,45.34,116.48,43.07,-150.06,-,-125.44,Upgrade
11,EV/Sales Ratio,7.08,7.07,7.54,13.92,-,12.68,12.33,12.87,9.96,10.58,8.24,9.10,9.55,9.99,14.73,14.44,9.98,8.24,11.33,9.90,12.51,Upgrade
12,EV/EBITDA Ratio,89.64,82.95,55.15,85.42,-,157.41,870.30,5716.27,-,-,571.85,-,-,-11.98,-16.45,-16.79,-,-,-53.89,-,-,Upgrade
13,EV/EBIT Ratio,223.11,133.99,79.49,145.16,-,3715.05,-178.43,-,-,-,-125.30,-,-,-,-14.53,-,-,-,-34.63,-,-,Upgrade
14,EV/FCF Ratio,-40.87,-,-,-,-,-,-,-,-,-,-,-,-,-,34.00,51.53,177.03,77.55,-73.53,-,-64.81,Upgrade
15,Debt / Equity Ratio,0.10,0.10,0.12,0.10,-,-,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.07,0.06,0.07,0.08,0.10,Upgrade
16,Debt / EBITDA Ratio,3.75,5.32,2.76,3.35,-,-,0.93,24.52,-,-,0.05,-,-,0.20,0.42,1.21,-,-,1.76,-,-,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,0.40,6.28,3.17,-2.46,-,-2.27,Upgrade
18,Asset Turnover,0.31,0.32,-,-,-,0.16,0.14,0.20,0.14,0.19,0.20,0.26,0.21,0.23,0.20,0.10,0.13,0.17,0.14,0.12,Upgrade,
19,Inventory Turnover,-,4.93,5.84,-,-,-,9.43,9.59,10.48,5.47,6.99,8.33,7.95,5.87,5.62,5.82,6.46,3.54,3.25,2.94,4.31,Upgrade
20,Quick Ratio,2.03,2.03,2.10,2.68,-,-,5.12,7.51,4.64,6.60,4.90,5.13,2.80,2.39,1.74,1.70,1.90,3.34,2.72,2.57,2.46,Upgrade
21,Current Ratio,2.69,2.69,2.58,3.34,-,-,5.75,8.08,4.98,7.15,5.69,5.53,3.29,3.17,2.34,1.96,2.53,4.18,3.55,3.34,3.16,Upgrade
22,Return on Equity (ROE),7.03%,5.14%,-,-,-,7.74%,5.06%,-8.37%,19.32%,8.52%,47.69%,-10.53%,40.04%,10.73%,16.51%,-142.71%,4.35%,14.35%,2.36%,-87.63%,Upgrade,
23,Return on Assets (ROA),0.23%,1.65%,-,-,-,0.73%,-0.76%,-1.60%,-1.29%,0.26%,-1.16%,-2.01%,-0.71%,0.79%,-0.30%,-37.57%,-1.69%,1.13%,-1.18%,-11.73%,Upgrade,
24,Return on Capital (ROIC),0.26%,1.87%,-,-,-,0.77%,-0.80%,-1.69%,-1.39%,0.29%,-1.28%,-2.23%,-0.80%,0.90%,-0.34%,-40.02%,-1.79%,1.21%,-1.27%,-12.45%,Upgrade,
25,Return on Capital Employed (ROCE),0.93%,1.25%,1.70%,1.25%,-,-,-1.11%,-,-,-,-1.40%,-,-,-,-21.38%,-,-,-,-5.78%,-,-,Upgrade
26,Earnings Yield,2.28%,2.78%,2.91%,2.42%,-,1.18%,2.53%,2.29%,6.97%,6.35%,9.58%,8.97%,5.38%,-11.19%,-10.90%,-10.70%,-17.38%,-14.01%,-8.92%,-10.29%,-6.68%,Upgrade
27,FCF Yield,-2.31%,-2.24%,-4.92%,-5.24%,-,-7.45%,-6.37%,-5.55%,-4.75%,-1.97%,-3.83%,-0.36%,1.24%,1.64%,2.86%,1.97%,0.58%,1.33%,-1.40%,1.85%,-1.58%,Upgrade
28,Payout Ratio,7.66%,9.94%,4.59%,4.60%,-,2.73%,1.14%,1.97%,-,-,-,-,-,0.63%,-,1.88%,-,7.02%,2.42%,17.57%,-,Upgrade
29,Buyback Yield / Dilution,-11.28%,-35.04%,-125.01%,26.53%,-,12.39%,61.47%,-41.74%,-0.40%,18.04%,-32.48%,15.40%,0.77%,-3.30%,40.10%,-64.04%,6.93%,-6.41%,-18.95%,21.08%,-44.04%,Upgrade
30,Total Shareholder Return,-11.28%,-35.04%,-125.01%,26.53%,-,12.39%,61.47%,-41.74%,-0.40%,18.04%,-32.48%,15.40%,0.77%,-3.30%,40.10%,-64.04%,6.93%,-6.41%,-18.95%,21.08%,-44.04%,Upgrade
