,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,527.46,931.92,843.52,-,-,838.55,840.21,892.56,680.33,817.99,648.94,353,336.51,313.36,254.62,76.15,64.47,70.15,56.19,90.12,Upgrade
1,Trading Asset Securities,280.49,40.45,100.21,-,-,43.3,142.23,142.74,245.22,75.66,75.42,75.97,135.22,106.93,24.93,24.93,9.99,9.99,9.99,9.99,Upgrade
2,Cash & Short-Term Investments,807.95,972.37,943.73,-,-,881.85,982.44,1035,925.55,893.66,724.36,428.96,471.73,420.29,279.55,101.08,74.46,80.14,66.18,100.11,Upgrade
3,Cash Growth,-,10.26%,-3.94%,-,-,-1.32%,35.63%,141.35%,96.20%,112.63%,159.11%,324.36%,533.55%,424.44%,322.43%,0.97%,-26.63%,-76.66%,4.46%,-83.08%,Upgrade
4,Accounts Receivable,288.89,231.15,148.62,-,-,50.05,61.61,78.67,72.2,91.67,82.17,100.65,80.33,67.05,58.65,41.57,398.24,423.18,420.46,406.04,Upgrade
5,Other Receivables,9.61,44.19,11.05,-,-,46.26,12.96,12.95,71.25,71,263.57,92.03,193.41,193.97,446.72,601.37,676.02,622.99,678.63,728.58,Upgrade
6,Receivables,298.5,275.34,159.67,-,-,96.31,74.57,91.62,143.44,162.66,345.74,192.67,273.74,261.03,505.36,642.94,1074,1046,1099,1135,Upgrade
7,Inventory,258.36,235.11,166.62,-,-,57.33,41.12,52.17,64.02,85.57,57.23,80.44,95.2,103.2,84.16,85.35,125.77,144.42,145.59,160.05,Upgrade
8,Other Current Assets,106.3,46.64,108.42,-,-,63.54,38.05,29.68,24.81,83.77,25.26,27.63,146.22,133.23,33.53,160.47,164.5,197.12,201.77,196.51,Upgrade
9,Total Current Assets,1471,1529,1378,-,-,1099,1136,1209,1158,1226,1153,729.71,986.88,917.75,902.61,989.84,1439,1468,1513,1591,Upgrade
10,"Property, Plant & Equipment",1036,1077,957.81,-,-,653.27,609.69,584.01,389.34,391.62,401.83,409.29,414.49,427.36,436.39,442.21,468.72,469.58,493.5,514.09,Upgrade
11,Long-Term Investments,1740,1858,1868,-,-,1732,1737,1586,1603,1556,1541,1636,1601,1614,1636,1541,1532,1528,1399,1361,Upgrade
12,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,467.23,467.23,467.23,467.23,Upgrade
13,Other Intangible Assets,28.98,29.35,29.48,-,-,30.58,30.95,31.39,32.11,31.45,31.96,32.4,32.89,33.39,34.26,34.81,40.92,44.03,53.38,50.58,Upgrade
14,Long-Term Deferred Tax Assets,6.74,6.75,6.92,-,-,1.76,1.53,1.6,1.96,2.07,3.49,2.7,2.07,2.2,2.91,2.88,5.33,5.33,5.33,6.35,Upgrade
15,Long-Term Deferred Charges,1.95,2.01,2.7,-,-,4.45,0.42,0.6,0.6,0.39,0.39,0.43,0.81,1.01,6.35,6.81,166.67,169.06,146.98,134.42,Upgrade
16,Other Long-Term Assets,79.29,98.8,116.14,-,-,237.71,132.2,194.47,143.2,133.04,133.41,133.86,32.14,32.53,32.82,33.3,32.03,40.19,59.13,34.57,Upgrade
17,Total Assets,4365,4601,4360,-,-,3759,3648,3607,3328,3340,3265,2945,3070,3028,3052,3050,4152,4191,4137,4159,Upgrade
18,Accounts Payable,252.71,91.59,143.16,-,-,69.16,68.45,91.46,88.64,119.1,83.97,101.65,71.81,54.98,76.79,46.03,62.95,50.42,71.82,63.3,Upgrade
19,Accrued Expenses,17.9,24.69,22.37,-,-,20.39,13.21,26.54,10.69,14.18,13.36,25.78,16.45,24.89,16.67,36.95,19.19,25.53,16.38,31.32,Upgrade
20,Short-Term Debt,-,78.4,-,-,-,-,-,3.99,-,-,-,-,-,-,-,95.54,76,130.19,130.2,187.33,Upgrade
21,Current Portion of Long-Term Debt,-,54.42,-,-,-,6.36,-,-,-,-,-,-,5.79,30.58,60,75.94,65.53,50,50.1,65.06,Upgrade
22,Current Portion of Leases,-,2.67,-,-,-,0.6,5.13,7.37,0.61,1.83,3.04,4.96,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,32.51,17.15,18.35,-,-,8.34,11.23,39.03,26.42,20.41,50.21,8.34,12.15,6.14,34.12,22.43,36.33,27.75,26.9,24.06,Upgrade
24,Current Unearned Revenue,42.19,6.28,17.89,-,-,4.69,7.64,10.61,5.83,3.69,7.1,11.84,15.24,14.74,17.26,23.16,-,7.95,-,-,Upgrade
25,Other Current Liabilities,200.58,317.93,210.43,-,-,81.46,35.04,63.82,29.72,56.28,50.86,69.42,190.16,261,256.26,90.67,84.18,121.78,157.54,131.86,Upgrade
26,Total Current Liabilities,545.88,593.13,412.19,-,-,191,140.69,242.82,161.9,215.49,208.54,221.99,311.6,392.33,461.11,390.72,344.19,413.64,452.95,502.92,Upgrade
27,Long-Term Debt,326.48,286.99,335.11,-,-,82.66,89.02,89.12,-,-,-,-,-,-,-,25.1,64.1,73.09,111.94,100.94,Upgrade
28,Long-Term Leases,4.33,4.87,7.47,-,-,7.99,4.95,4.94,4.66,1.47,1.46,0.74,0.57,6.49,3.27,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,80.28,82.21,60.57,-,-,32.45,32.74,2,2.37,2.88,3.39,3.9,4.4,4.94,5.47,6.01,6.57,7.13,6.03,8.29,Upgrade
30,Long-Term Deferred Tax Liabilities,0.05,0.05,0.05,-,-,-,-,0.43,-,-,-,-,-,-,-,-,6.9,6.9,6.9,6.9,Upgrade
31,Other Long-Term Liabilities,-,-,-,-,-,-,3.2,-,-,111.6,111.6,62,-,4.95,-,-,-,-,-,-,Upgrade
32,Total Liabilities,957.01,967.25,815.39,-,-,314.1,270.61,339.31,168.93,331.44,325,288.64,316.57,408.7,469.86,421.83,421.75,500.75,577.81,619.05,Upgrade
33,Common Stock,3059,3059,3115,-,-,3115,3115,3115,3115,3115,3115,3129,3129,3129,3129,3129,3129,3139,3139,3139,Upgrade
34,Additional Paid-In Capital,126.04,208.29,308.65,-,-,308.65,308.65,390.25,310.01,310.01,309.56,345.81,344.16,357.02,349.06,342.83,333.9,324.27,324.27,303.49,Upgrade
35,Retained Earnings,431.77,360.94,307.56,-,-,188.7,121.98,78.62,142.82,-6.19,-70.12,-403.8,-332.62,-601.54,-671.27,-778.83,334.67,294.29,164.51,163.43,Upgrade
36,Treasury Stock,-200.04,-200.04,-400.08,-,-,-400.08,-400.08,-400.08,-400.08,-400.08,-400.05,-400.14,-371.73,-250.14,-210.23,-50.1,-50.1,-50.1,-50.1,-50.1,Upgrade
37,Comprehensive Income & Other,-9.16,-8.8,-8.89,-,-,-8.22,-9.45,-9.35,-9.26,-10.4,-10.36,-11.39,-11.75,-11.82,-11.51,-10.91,-10.71,-10.07,-10.23,-9.33,Upgrade
38,Total Common Equity,3408,3419,3322,-,-,3204,3136,3175,3159,3009,2944,2659,2757,2623,2585,2632,3737,3697,3567,3546,Upgrade
39,Minority Interest,-,214.55,221.76,-,-,240.24,240.96,93,-,0.07,-4.38,-3.34,-3.32,-3.32,-3.42,-3.42,-6.77,-6.75,-8.11,-6.12,Upgrade
40,Shareholders' Equity,3408,3634,3544,-,-,3444,3377,3268,3159,3009,2940,2656,2754,2619,2582,2629,3730,3690,3559,3540,Upgrade
41,Total Liabilities & Equity,4365,4601,4360,-,-,3759,3648,3607,3328,3340,3265,2945,3070,3028,3052,3050,4152,4191,4137,4159,Upgrade
42,Total Debt,330.81,427.35,342.58,-,-,97.6,99.1,105.42,5.26,3.3,4.51,5.7,6.36,37.07,63.27,196.58,205.64,253.28,292.24,353.34,Upgrade
43,Net Cash (Debt),477.14,545.02,601.15,-,-,784.25,883.34,929.87,920.29,890.36,719.85,423.26,465.36,383.22,216.28,-95.5,-131.18,-173.14,-226.06,-253.22,Upgrade
44,Net Cash Growth,-,-30.50%,-31.95%,-,-,-11.92%,22.71%,119.69%,97.76%,132.33%,232.83%,-,-,-,-,-,-,-,-,-,Upgrade
45,Net Cash Per Share,0.13,0.20,0.19,-,-,0.66,0.21,0.32,0.31,0.29,0.24,0.14,0.13,0.16,0.06,-0.03,-0.04,-0.04,-0.10,-0.08,Upgrade
46,Filing Date Shares Outstanding,2974,2974,2944,-,2622,2944,2944,2944,2944,2944,2944,2967,2979,3029,3585,3115,3115,3125,3125,3125,Upgrade
47,Total Common Shares Outstanding,2974,2974,2944,-,2622,2944,2944,2944,2944,2944,2944,2967,2979,3029,3585,3115,3115,3125,3125,3125,Upgrade
48,Working Capital,925.23,936.33,966.24,-,-,908.03,995.49,965.96,995.93,1010,944.05,507.72,675.29,525.42,441.5,599.12,1095,1054,1060,1088,Upgrade
49,Book Value Per Share,1.15,1.15,1.13,-,-,1.09,1.07,1.08,1.07,1.02,1.00,0.90,0.93,0.87,0.72,0.84,1.20,1.18,1.14,1.13,Upgrade
50,Tangible Book Value,3379,3390,3293,-,-,3174,3105,3143,3127,2977,2912,2627,2724,2589,2551,2597,3229,3186,3046,3028,Upgrade
51,Tangible Book Value Per Share,1.14,1.14,1.12,-,-,1.08,1.05,1.07,1.06,1.01,0.99,0.89,0.91,0.85,0.71,0.83,1.04,1.02,0.97,0.97,Upgrade
52,Buildings,-,361.77,-,-,-,309.6,-,332.88,-,349.49,-,349.49,-,334.14,-,354.16,-,344.58,-,371.76,Upgrade
53,Machinery,-,1054,-,-,-,579.39,-,555.65,-,562.78,-,561.07,-,580.99,-,559.71,-,617,-,618.82,Upgrade
54,Construction In Progress,-,249.74,-,-,-,326.32,-,232.68,-,12.27,-,6.82,-,0.02,-,3.12,-,2.45,-,0.43,Upgrade
