,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,11550,1440,-,-,-,-
1,Enterprise Value,11468,1446,-,-,-,-
2,Last Close Price,23.10,2.88,-,-,-,-
3,PE Ratio,653.05,81.42,-,-,-,-
4,PS Ratio,37.57,5.40,-,-,-,-
5,PB Ratio,56.28,7.02,-,-,-,-
6,P/TBV Ratio,7.03,7.03,-,-,-,-
7,EV/Sales Ratio,43.00,5.42,-,-,-,-
8,EV/EBITDA Ratio,57.24,7.20,-,-,-,-
9,EV/EBIT Ratio,57.58,7.26,-,-,-,-
10,Debt / Equity Ratio,0.12,0.12,0.34,0.40,0.40,-
11,Debt / FCF Ratio,-,-,-,1.22,2.03,-
12,Return on Capital Employed (ROCE),96.39%,96.37%,214.57%,203.94%,180.29%,-
13,Earnings Yield,0.15%,1.23%,-,-,-,-
14,FCF Yield,-0.22%,-1.79%,-,-,-,-
15,Buyback Yield / Dilution,-15.66%,-31.32%,-,-,-,-
16,Total Shareholder Return,-15.66%,-31.32%,-,-,-,-
