,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,136451,142198,133377,131139,131358,145351,135496,141745,124651,151401,Upgrade
1,Revenue,136451,142198,133377,131139,131358,145351,135496,141745,124651,151401,Upgrade
2,Revenue Growth (YoY),2.30%,8.43%,1.54%,-9.78%,-3.05%,2.54%,8.70%,-6.38%,-15.56%,3.60%,Upgrade
3,Cost of Revenue,52952,56727,53172,53700,53885,58183,52060,54860,46517,59270,Upgrade
4,Gross Profit,83499,85471,80205,77439,77473,87168,83436,86885,78134,92131,Upgrade
5,"Selling, General & Admin",32073,32073,30443,29834,30342,32000,31085,31307,28746,32391,Upgrade
6,Other Operating Expenses,18146,17234,18279,14761,14550,14519,15064,12686,15471,11744,Upgrade
7,Operating Expenses,70045,69715,68397,63710,65565,68992,68932,65875,63993,62890,Upgrade
8,Operating Income,13454,15756,11808,13729,11908,18176,14504,21010,14141,29241,Upgrade
9,Interest Expense,-6658,-6424,-5662,-4726,-4419,-5193,-5350,-5459,-5409,-7493,Upgrade
10,Earnings From Equity Investments,8541,8328,7800,8461,10783,7689,4422,-12116,-1760,921,Upgrade
11,Other Non Operating Income (Expenses),130,1713,-20,67,26,-33,-32,-4,22,108,Upgrade
12,EBT Excluding Unusual Items,15467,19373,13926,17531,18298,20639,13544,3431,6994,22777,Upgrade
13,Impairment of Goodwill,-,-,-,-11039,-174,-,-15472,-,-,-,Upgrade
14,Gain (Loss) on Sale of Investments,-13,-55,2042,1451,11,528,223,2241,9276,-4,Upgrade
15,Gain (Loss) on Sale of Assets,364,-1829,-250,19023,7245,-101,25417,16779,-20,6885,Upgrade
16,Asset Writedown,-,-,-,-,-826,-,-,-,-,-,Upgrade
17,Other Unusual Items,-,5,-,157,256,444,-2520,1724,1274,-1028,Upgrade
18,Pretax Income,15818,17494,15718,27123,24810,21510,21192,24175,17524,28630,Upgrade
19,Income Tax Expense,2261,1628,1375,6068,2206,2452,-222,3473,829,3154,Upgrade
20,Earnings From Continuing Operations,13557,15866,14343,21055,22604,19058,21414,20702,16695,25476,Upgrade
21,Net Income to Company,13557,15866,14343,21055,22604,19058,21414,20702,16695,25476,Upgrade
22,Minority Interest in Earnings,-3352,-3574,-3135,-3463,-3516,-3874,-3114,-4559,-3695,-3970,Upgrade
23,Net Income,10205,12292,11208,17592,19088,15184,18300,16143,13000,21506,Upgrade
24,Net Income to Common,10205,12292,11208,17592,19088,15184,18300,16143,13000,21506,Upgrade
25,Net Income Growth,-8.95%,-30.13%,-41.28%,15.86%,4.31%,-5.94%,40.77%,-24.94%,-29.05%,2.51%,Upgrade
26,Shares Outstanding (Basic),3830,3830,3830,3834,3835,3840,3856,3856,3856,3856,Upgrade
27,Shares Outstanding (Diluted),3830,3830,3830,3834,3835,3840,3856,3856,3856,3856,Upgrade
28,Shares Change (YoY),-,-0.10%,-0.12%,-0.15%,-0.55%,-0.43%,-0.02%,-,-,-0.01%,Upgrade
29,EPS (Basic),2.66,3.21,2.93,4.59,4.98,3.95,4.75,4.19,3.37,5.58,Upgrade
30,EPS (Diluted),2.66,3.21,2.93,4.59,4.98,3.95,4.75,4.19,3.37,5.58,Upgrade
31,EPS Growth,-8.95%,-30.06%,-41.21%,16.04%,4.88%,-5.53%,40.79%,-24.94%,-29.05%,2.52%,Upgrade
32,Free Cash Flow,14148,18322,11445,14806,18023,6831,18297,26605,19462,22970,Upgrade
33,Free Cash Flow Per Share,3.69,4.78,2.99,3.86,4.70,1.78,4.75,6.90,5.05,5.96,Upgrade
34,Dividend Per Share,0.688,1.775,0.756,2.086,0.840,1.860,0.800,1.700,0.614,2.300,Upgrade
35,Dividend Growth,-8.99%,-14.91%,-10.00%,12.15%,5.00%,9.41%,30.29%,-26.09%,-29.43%,0%,Upgrade
36,Operating Margin,9.86%,11.08%,8.85%,10.47%,9.07%,12.50%,10.70%,14.82%,11.34%,19.31%,Upgrade
37,Profit Margin,7.48%,8.64%,8.40%,13.41%,14.53%,10.45%,13.51%,11.39%,10.43%,14.20%,Upgrade
38,Free Cash Flow Margin,10.37%,12.88%,8.58%,11.29%,13.72%,4.70%,13.50%,18.77%,15.61%,15.17%,Upgrade
39,EBITDA,24038,26929,22400,24238,23141,30020,25963,30870,24685,37487,Upgrade
40,D&A For EBITDA,10584,11173,10592,10509,11233,11844,11459,9860,10544,8246,Upgrade
41,EBIT,13454,15756,11808,13729,11908,18176,14504,21010,14141,29241,Upgrade
42,Advertising Expenses,2292,-,2321,-,2276,-,2300,-,1685,-,Upgrade
