,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1102336,971618,1174230,1073888,1153773,1028478,1137759,1033850,1227062,1095276,1725774,1612153,1863746,1861935,1793152,1551295,1659532,1505356,1126723,1367984,Upgrade
1,Revenue Growth (YoY),-4.46%,-5.53%,3.21%,3.87%,-5.97%,-6.10%,-34.07%,-35.87%,-34.16%,-41.18%,-3.76%,3.92%,12.31%,23.69%,59.15%,13.40%,6.14%,2.18%,-19.18%,20.86%,Upgrade
2,Cost of Revenue,815629,707245,836801,784304,813030,737340,821091,761508,861460,750875,1196192,1108767,1208695,1182896,1187467,1028567,1043416,966197,767449,918704,Upgrade
3,Gross Profit,286707,264373,337429,289584,340743,291138,316668,272343,365602,344400,529583,503387,655051,679040,605685,522729,616116,539158,359273,449280,Upgrade
4,"Selling, General & Admin",70828,66810,68088,51843,59486,51796,57242,46685,89187,79546,81243,71448,98778,83182,68232,69303,72602,54618,47825,56950,Upgrade
5,Operating Expenses,70828,66810,68088,51843,59486,51796,57242,46685,89187,79546,81243,71448,98778,83182,68232,69303,72602,54618,47825,56950,Upgrade
6,Operating Income,215878,197562,269341,237741,281257,239342,259427,225658,276415,264855,448339,431938,556274,595858,537453,453426,543514,484540,311448,392331,Upgrade
7,Interest Expense,-8811,-7617,-7731,-10427,-66481,-14014,-15381,-13699,-67005,-11316,-11390,-11105,-34367,-14271,-14449,-14905,-34736,-19401,-20087,-20059,Upgrade
8,Interest & Investment Income,13832,14837,6239,5978,-,8173,6901,5866,-,3576,65998,2643,-,3653,31173,754.22,-,-,38.63,2153,Upgrade
9,Currency Exchange Gain (Loss),3786,-12147,31384,11579,31919,-2035,15615,7694,-10737,-24632,6625,18007,15007,-8518,2798,5720,17861,6288,14687,-18142,Upgrade
10,Other Non Operating Income (Expenses),-2062,-3403,-1315,-1300,34779,-2032,-3406,-242.69,59801,2541,-67336,-0.13,18755,-74.03,-27686,-9198,13303,-3467,-1164,-2682,Upgrade
11,EBT Excluding Unusual Items,222623,189232,297919,243571,281473,229433,263156,225276,258474,235024,442236,441483,555668,576647,529289,435797,539942,467959,304924,353601,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1528,0.99,-,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,101.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,222623,189232,297919,243571,281473,229534,263156,225276,258474,235024,442236,441483,555668,576647,529289,435797,539942,469487,304925,353601,Upgrade
15,Income Tax Expense,33433,27283,46681,38826,44591,34593,38719,35156,51638,33846,72576,70456,87998,91501,80824,65018,75164,66791,48266,49315,Upgrade
16,Earnings From Continuing Operations,189190,161950,251238,204745,236882,194941,224438,190120,206836,201178,369661,371028,467671,485146,448464,370779,464778,402697,256659,304286,Upgrade
17,Net Income,189190,161950,251238,204745,236882,194941,224438,190120,206836,201178,369661,371028,467671,485146,448464,370779,464778,402697,256659,304286,Upgrade
18,Preferred Dividends & Other Adjustments,-,-,-,-,39778,-,-,-,68917,-,-,-,189721,-,-,-,112490,-,-,-,Upgrade
19,Net Income to Common,189190,161950,251238,204745,197104,194941,224438,190120,137919,201178,369661,371028,277950,485146,448464,370779,352288,402697,256659,304286,Upgrade
20,Net Income Growth,-20.13%,-16.92%,11.94%,7.69%,14.53%,-3.10%,-39.29%,-48.76%,-55.77%,-58.53%,-17.57%,0.07%,0.62%,20.47%,74.73%,21.85%,19.42%,14.84%,-37.48%,17.16%,Upgrade
21,Shares Outstanding (Basic),167,169,167,167,167,170,168,167,178,169,179,170,179,179,178,179,172,175,173,174,Upgrade
22,Shares Outstanding (Diluted),167,169,167,167,167,170,168,167,178,169,179,170,179,179,178,179,172,175,173,174,Upgrade
23,Shares Change (YoY),-0.18%,-0.46%,-0.41%,-0.12%,-5.94%,0.27%,-6.50%,-1.84%,-0.75%,-5.38%,0.58%,-5.12%,3.98%,2.40%,2.85%,3.34%,-0.37%,0.10%,-0.33%,-0.22%,Upgrade
24,EPS (Basic),1133.00,959.00,1505.00,1227.00,1178.22,1149.00,1339.00,1138.00,775.49,1189.00,2062.00,2180.00,1551.20,2713.00,2516.00,2067.00,2044.25,2306.00,1481.00,1753.00,Upgrade
25,EPS (Diluted),1133.00,959.00,1505.00,1227.00,1177.97,1149.00,1339.00,1138.00,775.49,1189.00,2062.00,2180.00,1551.20,2713.00,2516.00,2067.00,2044.25,2306.00,1481.00,1753.00,Upgrade
26,EPS Growth,-3.82%,-16.54%,12.40%,7.82%,51.90%,-3.36%,-35.06%,-47.80%,-50.01%,-56.17%,-18.04%,5.47%,-24.12%,17.65%,69.89%,17.91%,27.54%,14.73%,-37.27%,17.41%,Upgrade
27,Free Cash Flow,321476,75577,873253,286279,662095,135085,502830,-1937,569969,28565,182498,349842,264310,370886,589385,-171167,579898,208862,313940,69357,Upgrade
28,Free Cash Flow Per Share,1925.22,447.54,5231.08,1715.62,3957.78,796.21,2999.89,-11.59,3204.83,168.83,1017.99,2055.52,1475.07,2074.05,3306.60,-954.21,3365.02,1196.03,1811.53,399.57,Upgrade
29,Dividend Per Share,2000.000,-,2000.000,-,-,2000.000,2000.000,-,-,3000.000,3000.000,-,-,2000.000,2000.000,-,2000.000,-,-,-,Upgrade
30,Dividend Growth,-,-,0%,-,-,-33.33%,-33.33%,-,-,50.00%,50.00%,-,-,-,-,-,0%,-,-,-,Upgrade
31,Gross Margin,26.01%,27.21%,28.74%,26.97%,29.53%,28.31%,27.83%,26.34%,29.79%,31.44%,30.69%,31.22%,35.15%,36.47%,33.78%,33.70%,37.13%,35.82%,31.89%,32.84%,Upgrade
32,Operating Margin,19.58%,20.33%,22.94%,22.14%,24.38%,23.27%,22.80%,21.83%,22.53%,24.18%,25.98%,26.79%,29.85%,32.00%,29.97%,29.23%,32.75%,32.19%,27.64%,28.68%,Upgrade
33,Profit Margin,17.16%,16.67%,21.40%,19.07%,17.08%,18.95%,19.73%,18.39%,11.24%,18.37%,21.42%,23.01%,14.91%,26.06%,25.01%,23.90%,21.23%,26.75%,22.78%,22.24%,Upgrade
34,Free Cash Flow Margin,29.16%,7.78%,74.37%,26.66%,57.39%,13.13%,44.19%,-0.19%,46.45%,2.61%,10.57%,21.70%,14.18%,19.92%,32.87%,-11.03%,34.94%,13.87%,27.86%,5.07%,Upgrade
35,EBITDA,248575,230079,303381,270298,312876,273452,293450,259537,309383,297133,480529,463991,589771,629275,568545,483466,573729,515200,340722,421249,Upgrade
36,EBITDA Margin,22.55%,23.68%,25.84%,25.17%,27.12%,26.59%,25.79%,25.10%,25.21%,27.13%,27.84%,28.78%,31.64%,33.80%,31.71%,31.17%,34.57%,34.22%,30.24%,30.79%,Upgrade
37,D&A For EBITDA,32696,32517,34039,32558,31619,34110,34023,33879,32968,32278,32189,32052,33498,33417,31093,30040,30215,30660,29274,28918,Upgrade
38,EBIT,215878,197562,269341,237741,281257,239342,259427,225658,276415,264855,448339,431938,556274,595858,537453,453426,543514,484540,311448,392331,Upgrade
