,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1584697,1467355,1566211,1590366,1403056,1048793,1236640,982746,1101676,1032880,975815,1282053,1045422,1215880,862325,604545,790350,573318,398691,378064,Upgrade
1,Short-Term Investments,670000,670000,380000,47700,47700,-,-,-,-,-,-,60000,60000,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,2254697,2137355,1946211,1638066,1450756,1048793,1236640,982746,1101676,1032880,975815,1342053,1105422,1215880,862325,604545,790350,573318,398691,378064,Upgrade
3,Cash Growth,55.42%,103.79%,57.38%,66.68%,31.69%,1.54%,26.73%,-26.77%,-0.34%,-15.05%,13.16%,121.99%,39.86%,112.08%,116.29%,59.91%,68.19%,77.09%,144.89%,18.34%,Upgrade
4,Accounts Receivable,1303401,1188780,1050173,1220306,1204823,1536271,1445270,1812950,1738136,2021868,2153948,2019674,2401753,2328954,2183710,2364695,1920519,2001038,1787983,1964171,Upgrade
5,Other Receivables,4462,6021,414.09,492.73,3074,724.15,3169,1549,3465,1501,3459,1847,4180,1141,947,1750,2966,1279,1051,897.07,Upgrade
6,Receivables,1307863,1194801,1050587,1220798,1207898,1537045,1448489,1814550,1741651,2063419,2157457,2021571,2405983,2330145,2184707,2366496,1923535,2002367,1789084,1965118,Upgrade
7,Inventory,1816451,1953907,2077138,2342409,2644022,2698968,2734744,2651944,2577659,2669091,2363884,2308967,1990066,1879142,2060304,1944728,2014961,2055428,2144019,1921034,Upgrade
8,Prepaid Expenses,3432,4135,5420,5937,3681,3970,6772,4303,6145,7263,10566,4734,4814,4755,5394,4166,4955,5081,5156,5071,Upgrade
9,Other Current Assets,92512,199093,123398,288981,209481,176853,233398,177008,113978,224265,297216,286373,322815,362790,280976,215275,166711,186539,196549,179877,Upgrade
10,Total Current Assets,5474955,5489292,5202754,5496191,5515837,5465628,5660043,5630550,5541110,5996917,5804939,5963698,5829100,5792711,5393707,5135211,4900512,4822734,4533500,4449164,Upgrade
11,"Property, Plant & Equipment",971717,895055,905616,908456,932973,951679,978555,996095,1026389,1041109,1061171,1025619,1040927,1069280,1098016,1112196,1129197,1114250,1098066,1079059,Upgrade
12,Other Intangible Assets,2811,3067,3337,3608,2004,2730,3455,4180,3142,3537,4171,4805,5438,5412,5994,6576,7158,7758,8368,8896,Upgrade
13,Long-Term Deferred Tax Assets,4607,5100,5306,3139,3466,3591,3578,2629,2401,2726,2393,2445,2408,2438,3120,3309,2588,-,2672,2902,Upgrade
14,Other Long-Term Assets,14389,14671,13751,13284,13968,13782,14725,19768,16862,17248,17289,14819,15040,14546,13751,14772,15879,20486,17964,20071,Upgrade
15,Total Assets,6468478,6407184,6130764,6424677,6468249,6437409,6660355,6653221,6589905,7061537,6889963,7011386,6892914,6884388,6514587,6272064,6055334,5965227,5660569,5560093,Upgrade
16,Accounts Payable,182811,113041,109404,80894,118290,62861,146842,129634,80317,113316,231898,166106,252313,196464,278233,212820,311171,190919,243610,175941,Upgrade
17,Accrued Expenses,86281,104957,118652,126863,126766,125468,142851,110043,139126,146091,171374,18545,53202,90637,119970,30677,53669,92270,124357,52658,Upgrade
18,Short-Term Debt,896494,777385,662119,923570,1011288,963567,1263436,1180270,1288132,1383932,1283700,1334562,1426112,1471365,1484617,1482228,1480028,1526242,1548054,1557105,Upgrade
19,Current Portion of Long-Term Debt,39899,53199,53199,53199,53199,53199,53199,53199,53199,53199,53199,53199,53199,53199,53199,53199,53199,39899,53199,39899,Upgrade
20,Current Income Taxes Payable,101960,75919,48843,38499,110382,74260,74146,34500,52343,104908,72491,70479,74066,171443,145108,64472,73748,116150,100253,52217,Upgrade
21,Other Current Liabilities,20702,11451,23519,21780,20793,12043,14563,15047,14951,7350,12439,10111,13528,15146,19145,22856,26105,70082,64100,16355,Upgrade
22,Total Current Liabilities,1328148,1135952,1015736,1244804,1440718,1291398,1695037,1522692,1628069,1808796,1825100,1653002,1872419,1998255,2100272,1866252,1997921,2035563,2133572,1894175,Upgrade
23,Long-Term Debt,28764,25116,30496,26600,39899,53199,66499,79799,93098,106398,119698,132998,146297,159597,172897,186197,199496,226096,226096,252695,Upgrade
24,Other Long-Term Liabilities,1944,1834,1834,1813,1813,1820,-,-,-,-,-,-,-,9.1,37.73,67.03,96.34,125.64,154.94,184.24,Upgrade
25,Total Liabilities,1358856,1162902,1048066,1273217,1482430,1346417,1761536,1602491,1721167,1915194,1944798,1785999,2018717,2157861,2273206,2052516,2197513,2261784,2359823,2147054,Upgrade
26,Common Stock,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,Upgrade
27,Additional Paid-In Capital,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,290.58,129.55,129.55,129.55,129.55,129.55,Upgrade
