,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,9344000,10160000,10352000,11760000,11536000,8800000,10240000,9680000,8064000,8992000,10496000,11904000,18800000,18720000,20624000,17408000,15552000,13533440,11360640,9498240,8480000,Upgrade
1,Market Cap Growth,15.45%,15.45%,1.09%,21.49%,43.06%,-2.14%,-2.44%,-18.68%,-57.11%,-51.97%,-49.11%,-31.62%,20.88%,38.32%,81.54%,83.28%,83.40%,18.25%,-29.45%,0.79%,-14.83%,Upgrade
2,Enterprise Value,8054461,8878345,9151603,11125303,11189630,8821172,10386494,10010521,8396754,9502649,10976781,12082705,19320187,19188281,21472389,18525078,16494374,14752359,12789297,10969876,9680329,Upgrade
3,Last Close Price,58400.00,63500.00,62703.09,71231.48,68209.03,52031.85,58451.13,55254.58,44538.20,49663.63,54773.46,62121.12,94932.93,94528.96,102385.75,86420.25,75767.25,67972.27,55641.66,46520.08,40287.00,Upgrade
4,PE Ratio,12.11,12.59,12.70,13.87,14.05,10.91,13.70,12.84,8.97,8.33,8.60,7.92,11.88,11.83,12.45,11.06,11.25,10.28,9.16,7.99,6.32,Upgrade
5,PS Ratio,2.26,2.35,2.37,2.65,2.63,2.02,2.31,2.15,1.59,1.59,1.67,1.69,2.64,2.65,3.00,2.67,2.66,2.39,2.04,1.72,1.46,Upgrade
6,PB Ratio,1.83,1.99,1.97,2.31,2.24,1.77,2.01,1.98,1.60,1.85,2.04,2.41,3.60,3.84,4.36,4.10,3.69,3.51,3.07,2.88,2.48,Upgrade
7,P/TBV Ratio,1.99,1.99,1.98,2.32,2.24,1.77,2.01,1.98,1.60,1.85,2.04,2.41,3.60,3.84,4.37,4.11,3.69,3.51,3.07,2.88,2.49,Upgrade
8,P/FCF Ratio,6.00,6.53,5.46,6.01,7.27,6.78,8.49,8.80,-,7.95,12.72,10.20,11.94,17.77,15.06,14.42,-,11.55,15.38,9.07,10.29,Upgrade
9,P/OCF Ratio,5.91,5.91,5.11,5.80,7.03,6.62,8.10,8.37,9.71,7.54,12.19,9.82,11.57,17.10,14.56,13.92,-,10.74,13.74,8.30,9.63,Upgrade
10,EV/Sales Ratio,1.86,2.05,2.09,2.51,2.55,2.03,2.35,2.23,1.65,1.68,1.74,1.71,2.71,2.71,3.13,2.85,2.82,2.61,2.30,1.98,1.67,Upgrade
11,EV/EBITDA Ratio,7.65,8.44,8.20,9.59,9.73,7.74,9.14,8.63,6.24,6.13,5.99,5.58,8.58,8.45,9.52,8.65,8.62,7.97,7.19,6.36,5.12,Upgrade
12,EV/EBIT Ratio,8.75,9.64,9.28,10.83,10.99,8.77,10.38,9.75,6.91,6.68,6.45,5.95,9.11,8.95,10.08,9.18,9.20,8.52,7.70,6.82,5.44,Upgrade
13,EV/FCF Ratio,5.17,5.70,4.82,5.69,7.05,6.80,8.61,9.11,-,8.40,13.30,10.35,12.27,18.22,15.68,15.35,-,12.59,17.31,10.48,11.75,Upgrade
14,Debt / Equity Ratio,0.19,0.19,0.16,0.15,0.19,0.22,0.21,0.28,0.26,0.29,0.30,0.29,0.29,0.33,0.36,0.40,0.41,0.45,0.48,0.55,0.54,Upgrade
15,Debt / EBITDA Ratio,0.92,0.97,0.93,0.61,0.93,0.88,0.98,1.18,1.27,1.16,1.30,0.76,0.82,0.69,0.67,0.75,0.89,0.76,0.87,1.34,1.10,Upgrade
16,Debt / FCF Ratio,0.62,0.62,0.45,0.38,0.63,0.85,0.89,1.26,-,1.27,1.87,1.25,0.97,1.54,1.23,1.42,-,1.48,2.43,1.75,2.25,Upgrade
17,Asset Turnover,0.68,0.62,0.75,0.67,0.72,0.63,0.68,0.62,0.72,0.63,0.99,0.93,1.08,1.11,1.12,1.01,1.10,1.04,0.80,0.98,Upgrade,
18,Inventory Turnover,1.41,1.73,1.40,1.51,1.26,1.22,1.09,1.22,1.16,1.31,1.19,2.05,2.06,2.50,2.40,2.37,2.08,2.05,1.84,1.51,1.92,Upgrade
19,Quick Ratio,2.68,2.68,2.93,2.95,2.30,1.85,2.00,1.58,1.84,1.75,1.69,1.72,2.03,1.88,1.77,1.45,1.59,1.36,1.27,1.03,1.24,Upgrade
20,Current Ratio,4.12,4.12,4.83,5.12,4.42,3.83,4.23,3.34,3.70,3.40,3.32,3.18,3.61,3.11,2.90,2.57,2.75,2.45,2.37,2.12,2.35,Upgrade
21,Return on Equity (ROE),14.62%,12.55%,19.64%,16.16%,18.81%,15.61%,18.05%,15.33%,16.52%,15.95%,29.08%,29.39%,38.97%,43.28%,42.40%,36.72%,49.17%,45.99%,30.58%,35.48%,Upgrade,
22,Return on Assets (ROA),8.38%,7.88%,10.73%,9.22%,10.90%,9.14%,9.74%,8.52%,10.12%,9.49%,16.13%,15.53%,20.19%,22.24%,21.02%,18.39%,22.61%,20.84%,13.88%,17.60%,Upgrade,
23,Return on Capital (ROIC),8.87%,8.28%,11.24%,9.71%,11.48%,9.62%,10.26%,8.91%,10.64%,10.12%,17.05%,16.30%,21.54%,24.10%,22.59%,19.66%,24.51%,22.80%,14.99%,18.90%,Upgrade,
24,Return on Capital Employed (ROCE),17.91%,17.91%,18.70%,20.09%,19.65%,20.00%,19.45%,20.67%,23.69%,28.65%,32.39%,40.13%,39.59%,42.69%,43.60%,45.74%,40.69%,42.68%,42.27%,45.58%,48.54%,Upgrade
25,Earnings Yield,8.64%,7.94%,8.26%,7.55%,7.46%,9.62%,7.97%,8.50%,12.00%,12.77%,13.43%,14.23%,9.43%,9.47%,8.58%,9.69%,9.61%,10.55%,11.91%,13.70%,17.15%,Upgrade
26,FCF Yield,16.66%,15.32%,18.33%,16.64%,13.75%,14.75%,11.78%,11.36%,9.66%,12.58%,7.86%,9.81%,8.37%,5.63%,6.64%,6.93%,5.99%,8.66%,6.50%,11.02%,9.71%,Upgrade
27,Dividend Yield,6.85%,6.30%,-,5.62%,-,-,6.84%,9.05%,-,-,10.95%,8.05%,-,-,5.86%,4.63%,-,2.94%,-,-,-,Upgrade
28,Payout Ratio,79.27%,167.61%,1.62%,126.57%,1.04%,133.89%,1.15%,141.30%,2.13%,230.06%,2.53%,128.81%,0.52%,67.86%,0.39%,71.53%,0.53%,66.22%,0.00%,1.19%,103.96%,Upgrade
29,Buyback Yield / Dilution,-4.57%,0.18%,0.46%,0.41%,0.12%,5.94%,-0.27%,6.50%,1.84%,0.75%,5.38%,-0.58%,5.12%,-3.98%,-2.40%,-2.85%,-3.34%,0.37%,-0.10%,0.33%,0.22%,Upgrade
30,Total Shareholder Return,2.28%,6.48%,0.46%,6.02%,0.12%,5.94%,6.57%,15.55%,1.84%,0.75%,16.34%,7.47%,5.12%,-3.98%,3.46%,1.78%,-3.34%,3.31%,-0.10%,0.33%,0.22%,Upgrade
