,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1840,2245,3093,2560,2894,4601,2969,4156,3080,3451,3599,Upgrade
1,Market Cap Growth,-12.33%,-12.33%,6.86%,-44.35%,-2.50%,10.71%,-3.61%,20.43%,-14.43%,-21.19%,12.61%,Upgrade
2,Enterprise Value,10370,9972,11160,10230,10209,11195,9750,10506,9144,8843,8960,Upgrade
3,Last Close Price,0.25,0.30,0.39,0.32,0.34,0.51,0.33,0.44,0.32,0.35,0.36,Upgrade
4,PE Ratio,3.92,4.72,5.54,4.75,4.78,6.04,3.78,7.62,5.59,5.74,5.65,Upgrade
5,Forward PE,-,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,Upgrade
6,PS Ratio,0.39,0.47,0.54,0.39,0.46,0.87,0.53,0.93,0.85,1.00,0.95,Upgrade
7,PB Ratio,0.22,0.24,0.32,0.27,0.29,0.47,0.28,0.43,0.32,0.42,0.42,Upgrade
8,P/TBV Ratio,0.27,0.27,0.35,0.31,0.33,0.54,0.33,0.51,0.38,0.48,0.49,Upgrade
9,P/FCF Ratio,2.89,-,7.81,-,24.75,-,21.54,-,33.66,-,10.29,Upgrade
10,P/OCF Ratio,3.17,-,6.90,-,13.14,-,15.53,-,26.28,-,8.26,Upgrade
11,EV/Sales Ratio,2.16,2.07,1.94,1.55,1.64,2.11,1.75,2.34,2.53,2.55,2.37,Upgrade
12,EV/EBITDA Ratio,10.17,11.18,9.59,7.64,7.93,10.64,9.46,10.57,10.76,12.41,10.88,Upgrade
13,EV/EBIT Ratio,11.28,12.49,10.43,8.16,8.42,11.46,10.36,11.79,12.42,14.33,12.26,Upgrade
14,EV/FCF Ratio,16.32,-,28.18,-,87.29,-,70.76,-,99.95,-,25.61,Upgrade
15,Debt / Equity Ratio,1.03,1.03,0.91,0.92,0.89,0.92,0.78,0.77,0.81,0.84,0.74,Upgrade
16,Debt / FCF Ratio,15.33,-,22.53,-,76.63,-,59.37,-,84.52,-,17.93,Upgrade
17,Return on Capital Employed (ROCE),5.23%,5.23%,6.68%,8.28%,7.83%,6.22%,6.29%,6.65%,5.80%,5.69%,6.42%,Upgrade
18,Earnings Yield,25.84%,21.18%,18.05%,21.04%,20.94%,16.56%,26.47%,13.12%,17.90%,17.43%,17.69%,Upgrade
19,FCF Yield,34.54%,28.31%,12.80%,6.75%,4.04%,-6.01%,4.64%,10.14%,2.97%,-4.24%,9.72%,Upgrade
20,Buyback Yield / Dilution,1.52%,2.83%,0.20%,-,-,-,-,-,0.95%,0.95%,-0.24%,Upgrade
21,Total Shareholder Return,11.40%,2.83%,0.20%,-,-,-,-,-,0.95%,0.95%,-0.24%,Upgrade
