,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,12258025,11526203,14148566,16191570,19637234,16313541,15307285,12837384,8233002,8720884,18112604,17696140,46239914,48339456,13171620,10513703,9418799,8593568,4802890,3756930,3259666,Upgrade
1,Market Cap Growth,-29.35%,-29.35%,-7.57%,26.13%,138.52%,87.06%,-15.49%,-27.46%,-82.20%,-81.96%,37.51%,68.32%,390.93%,462.51%,174.24%,179.85%,188.95%,97.73%,5.17%,-7.22%,-15.34%,Upgrade
2,Enterprise Value,14748564,12978297,15656909,17705513,20404293,18967657,17857141,15468044,11825085,12168498,20990867,20247231,47526923,49263090,14537820,11743760,10460870,9560761,5743137,4737276,3782945,Upgrade
3,Last Close Price,20100.00,18900.00,23200.00,26550.00,32200.00,26750.00,25100.00,21050.00,13500.00,14300.00,29700.00,29016.39,75819.67,79262.30,25409.84,21024.59,19335.86,17641.74,9712.51,7801.85,6591.77,Upgrade
4,PE Ratio,116.76,109.79,493.67,419.72,-,137.40,150.57,153.43,53.94,-,-,18.35,49.30,52.77,19.15,14.74,13.29,12.73,12.03,9.57,8.76,Upgrade
5,Forward PE,-,80.00,80.00,80.00,80.50,124.13,49.70,50.66,41.41,20.20,15.25,15.15,40.46,46.12,14.33,11.97,11.78,12.65,7.29,6.37,5.65,Upgrade
6,PS Ratio,9.33,8.77,10.87,10.87,23.68,15.90,15.74,11.06,5.23,4.60,7.45,6.95,17.87,18.82,5.79,3.89,3.46,3.46,1.78,1.62,1.58,Upgrade
7,PB Ratio,1.58,1.43,1.78,2.05,2.53,2.07,1.94,1.63,1.05,1.12,2.41,2.28,6.03,6.30,2.59,2.17,1.96,1.79,1.17,0.95,0.82,Upgrade
8,P/TBV Ratio,1.53,1.53,1.88,2.16,2.66,2.18,2.05,1.72,1.11,1.19,2.54,2.41,6.35,6.64,2.63,2.22,2.01,1.84,1.21,0.98,0.84,Upgrade
9,P/FCF Ratio,-,-,-,8.57,-,5.75,-,30.06,-,-3.88,-,-,-,-,-28.16,-,-,-,-,-5.35,-,Upgrade
10,P/OCF Ratio,-,-,-,8.48,-,5.71,-,28.72,-,-3.95,-,-,-,-,-28.39,-,-,-,-,-5.68,-,Upgrade
11,EV/Sales Ratio,11.22,9.87,12.03,11.89,24.60,18.49,18.36,13.32,7.51,6.42,8.63,7.95,18.37,19.18,6.39,4.34,3.84,3.84,2.13,2.04,1.83,Upgrade
12,EV/EBITDA Ratio,88.45,83.83,-,114.29,-,163.00,149.75,122.09,36.51,28.91,14.51,13.53,33.29,35.17,35.02,23.79,22.67,24.45,13.21,12.39,11.31,Upgrade
13,EV/EBIT Ratio,125.30,113.69,-,207.58,-,397.62,484.90,-,45.61,34.14,15.05,14.07,34.51,36.50,39.81,26.66,25.31,27.61,14.58,13.66,12.74,Upgrade
14,EV/FCF Ratio,-6.70,-,-,9.38,-,6.69,-,36.22,-,-5.42,-,-,-,-,-31.08,-,-,-,-,-6.75,-,Upgrade
15,Debt / Equity Ratio,0.48,0.48,0.46,0.55,0.55,0.39,0.36,0.35,0.35,0.49,0.71,0.66,0.70,0.64,0.65,0.38,0.33,0.32,0.30,0.32,0.32,Upgrade
