,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,445505,47281,821250,488.58,432056,235180,161719,196792,378822,423569,575357,518941,913979,538512,615781,500417,621844,966588,636579,262164,Upgrade
1,Revenue Growth (YoY),3.11%,-79.90%,407.82%,-99.75%,14.05%,-44.48%,-71.89%,-62.08%,-58.55%,-21.34%,-6.56%,3.70%,46.98%,-44.29%,-3.27%,90.88%,-24.95%,61.93%,69.45%,-16.66%,Upgrade
2,Cost of Revenue,270299,42946,617685,51294,329608,168260,129880,154429,273374,311075,333320,346608,-260368,349842,400425,377334,434264,731430,480818,200193,Upgrade
3,Gross Profit,175206,4335,203565,-50805,102447,66920,31839,42362,105448,112494,242037,172333,1174347,188670,215356,123083,187580,235157,155760,61970,Upgrade
4,"Selling, General & Admin",58419,34295,58243,67190,64770,46630,43409,41059,78646,67003,56378,73850,109560,98233,91914,51967,107411,69338,59633,57815,Upgrade
5,Operating Expenses,58419,34295,58243,67190,64770,46630,43409,41059,78646,67003,56378,73850,109560,98233,91914,51967,107411,69338,59633,57815,Upgrade
6,Operating Income,116787,-29960,145322,-117995,37678,20291,-11569,1303,26802,45491,185659,98483,1064787,90437,123441,71117,80170,165819,96128,4155,Upgrade
7,Interest Expense,-10898,-11274,-11639,-12184,-34992,-16841,-17336,-47953,-57500,-36312,-122707,-37998,-48874,-16058,-18872,-15581,-12581,-9619,-9113,-6074,Upgrade
8,Interest & Investment Income,12162,24187,14386,12017,13097,10779,28367,169986,22033,14875,25735,23982,35184,4417,4671,3233,20048,8507,7492,6023,Upgrade
9,Earnings From Equity Investments,-2350,12117,-7194,976.47,-20809,-360.08,302.68,2881,7035,-104.75,1605,-2727,66930,-16477,15484,772.93,1325,4066,-34629,224.13,Upgrade
10,Currency Exchange Gain (Loss),7.53,-,135.87,-,-222.26,-,-,169.7,169.6,-,-,-17.08,-0.71,-,2.64,4.78,2.36,-2.72,0.35,-,Upgrade
11,Other Non Operating Income (Expenses),-47071,-1725,18059,-255.12,126448,41305,-1635,-25100,11572,-8846,4871,4242,-29327,3195,7337,-2825,-19144,4510,9486,6647,Upgrade
