,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,4593,1185,10865,2863,-,5254,1631,5151,-,6866,3775,-,5473,7800,4454,7650,5589,6356,6013,-,Upgrade
1,Short-Term Investments,1.04,1.7,601.74,601.68,-,301.33,1.46,1.58,-,16990,21651,-,29101,25000,39000,44500,44509,32509,31229,-,Upgrade
2,Cash & Short-Term Investments,4594,1187,11466,3465,-,5555,1633,5153,23856,23856,25426,34574,34574,32800,43454,52150,50097,38865,37242,-,Upgrade
3,Cash Growth,-,-78.64%,602.36%,-32.77%,-,-76.72%,-93.58%,-85.10%,-31.00%,-27.27%,-41.49%,-33.70%,-30.99%,-15.61%,16.68%,-,176.21%,128.89%,61.09%,-,Upgrade
4,Accounts Receivable,60185,83483,80491,92450,-,67001,40362,31462,-,37475,31396,-,20334,25700,22030,25144,27700,45447,54247,-,Upgrade
5,Other Receivables,65450,62478,66256,47101,-,60821,52048,53344,-,39045,35631,-,28520,23884,22020,19574,9705,2000,1775,-,Upgrade
6,Receivables,125635,145962,146747,139551,-,127823,92410,84807,-,76520,67027,-,48854,49584,44050,44718,37405,47447,56022,-,Upgrade
7,Inventory,4539,5687,6231,6117,-,9540,10026,10197,-,16115,16644,-,19599,17203,5500,5969,5361,5120,3820,-,Upgrade
8,Prepaid Expenses,-,412.72,532.02,671.18,-,916,1214,1048,-,679.37,907.56,-,799.7,886.73,661.3,614.3,436.81,532.11,520.98,-,Upgrade
9,Other Current Assets,4558,3416,4092,3456,-,3625,5415,4794,-,4007,3857,-,7391,6202,149.74,137.99,167.4,90.4,60.4,-,Upgrade
10,Total Current Assets,139326,156663,169069,153261,-,147458,110697,105998,-,121178,113863,-,111218,106674,93814,103590,93468,92054,97665,-,Upgrade
11,"Property, Plant & Equipment",40307,45092,46291,47490,-,49889,51090,52290,-,54692,55893,-,58294,59497,22868,23878,25012,26156,27345,-,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,-458.47,-,-,-,-,-,-,6000,6000,6000,6000,6000,-,Upgrade
13,Other Intangible Assets,5044,5280,5280,5280,-,5280,5282,5283,-,5287,5289,-,5293,5295,5280,5280,5280,5280,5280,-,Upgrade
14,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-36.07,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,28245,28124,28171,28239,-,28319,28266,28037,-,28039,27999,-,27174,27187,1830,1859,1836,1940,1904,-,Upgrade
16,Total Assets,212922,235159,248811,234269,-,230945,195335,191151,-,209196,203044,-,201979,198618,129792,140606,131595,131429,138193,-,Upgrade
17,Accounts Payable,36.34,9979,11000,14533,-,14697,14598,13339,-,11099,14139,-,16102,15163,12481,13112,13997,15910,20080,-,Upgrade
18,Accrued Expenses,753.58,1870,2395,2715,-,2464,2200,2287,-,2694,2447,-,2548,3535,2449,2806,2506,3313,3654,-,Upgrade
19,Short-Term Debt,6594,48909,48097,27551,-,26150,3250,1600,-,8150,7300,-,2490,5879,13269,16920,19020,14058,14762,-,Upgrade
20,Current Income Taxes Payable,574.47,1165,3480,3474,-,1751,1453,1018,-,1501,2423,-,563.71,601.45,696.51,987.75,353.67,320.81,1328,-,Upgrade
21,Current Unearned Revenue,29.99,-,-,-,-,83.19,183.01,83.19,-,75.63,166.38,-,166.38,68.75,151.25,202.89,878.06,1049,265.41,-,Upgrade
22,Other Current Liabilities,78500,36842,37924,42171,-,44329,31527,28630,-,46754,36049,-,34023,32683,30888,30906,19790,18674,19474,-,Upgrade
23,Total Current Liabilities,86488,98766,102896,90444,-,89474,53211,46957,-,70274,62524,-,55893,57930,59935,64935,56544,53325,59563,-,Upgrade
24,Long-Term Debt,5193,11593,12393,9993,-,11593,12393,14793,-,14800,15600,-,17993,17993,-,-,-,3555,4599,-,Upgrade
