,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,54.78,38.01,42.2,43.18,149.21,115.05,71.42,83.34,149.63,122.29
1,Short-Term Investments,-,53.39,82.54,103.17,-,-,-,-,-,-
2,Cash & Short-Term Investments,54.78,91.4,124.74,146.35,149.21,115.05,71.42,83.34,149.63,122.29
3,Cash Growth,-56.08%,-37.55%,-16.40%,27.20%,108.91%,38.04%,-52.27%,-31.85%,14.36%,-21.22%
4,Accounts Receivable,43.38,48.2,49.27,51.95,67.4,121.68,117.22,124.08,113.88,135.46
5,Other Receivables,12.49,11.82,15,3.55,7.34,6.75,8.74,8.37,6.93,6.17
6,Receivables,55.87,60.02,64.27,55.5,74.74,128.43,125.96,132.45,120.81,141.63
7,Inventory,0.27,0.48,1.14,1.15,1.55,1.98,2.72,2.83,-,-
8,Other Current Assets,78.98,76.88,78.93,75.77,75.94,82.83,96.72,93.64,88.74,77.23
9,Total Current Assets,189.9,228.78,269.08,278.77,301.44,328.29,296.83,312.27,359.19,341.15
10,"Property, Plant & Equipment",38.08,36.93,37.53,38.08,38.84,39.6,40.35,40.8,46.79,45.62
11,Long-Term Investments,43.58,44.42,11.35,11.75,-,-,-,4.6,2.56,2.56
12,Goodwill,-,-,-,-,-,-,-,-,1.51,1.51
13,Other Intangible Assets,2.67,3.17,3.79,-,-,-,-,-,0.91,1.81
14,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,1.42,-
15,Other Long-Term Assets,-,-,-,-,-,-,-,-,-,0.76
16,Total Assets,274.22,313.3,321.75,328.6,340.28,367.89,337.18,357.67,412.38,393.42
17,Accounts Payable,7.8,6.66,14.25,15.18,7.17,25.74,26,21.15,24.64,34.52
18,Accrued Expenses,5.18,6.89,7.22,7.52,6.14,7.47,6.65,7.31,6.6,8.96
19,Short-Term Debt,-,25.83,17.04,-,-,16.66,-,-,-,-
20,Current Portion of Leases,0.59,-,-,-,-,0.15,0.32,0.34,0.33,-
21,Current Income Taxes Payable,0.38,0.38,0.38,0.38,0.78,0.78,0.84,0.84,4.83,4.83
22,Current Unearned Revenue,2.03,-,-,-,-,-,7.55,25.93,23.6,0.21
23,Other Current Liabilities,66.77,85.45,90.72,103.43,146.08,125.05,107.21,99.9,109.93,88.33
24,Total Current Liabilities,82.74,125.21,129.61,126.51,160.16,175.83,148.58,155.47,169.93,136.85
25,Long-Term Leases,1.37,-,-,-,-,-,-,0.15,0.32,-
26,Long-Term Deferred Tax Liabilities,0.75,0.85,0.95,-,-,-,-,-,0.23,0.38
27,Total Liabilities,84.86,126.06,130.56,126.51,160.16,175.83,148.58,155.61,170.49,137.23
28,Common Stock,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19
29,Additional Paid-In Capital,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56
30,Retained Earnings,204.76,200.93,204.07,211.21,188.21,195.83,190.66,202.47,240.85,253.25
31,Comprehensive Income & Other,-87.47,-87.1,-87.04,-86.49,-86.55,-86.72,-86.72,-86.72,-86.72,-86.72
32,Total Common Equity,206.05,202.59,205.79,213.48,190.42,197.86,192.69,204.5,242.87,255.28
33,Minority Interest,-16.69,-15.35,-14.59,-11.39,-10.29,-5.81,-4.09,-2.45,-0.98,0.91
34,Shareholders' Equity,189.36,187.24,191.19,202.09,180.13,192.06,188.61,202.05,241.89,256.19
35,Total Liabilities & Equity,274.22,313.3,321.75,328.6,340.28,367.89,337.18,357.67,412.38,393.42
36,Total Debt,1.96,25.83,17.04,-,-,16.8,0.32,0.49,0.66,-
37,Net Cash (Debt),52.83,65.57,107.7,146.35,149.21,98.25,71.1,82.85,148.98,122.29
38,Net Cash Growth,-50.95%,-55.19%,-27.82%,48.96%,109.86%,18.58%,-52.27%,-32.25%,13.86%,-21.22%
39,Net Cash Per Share,0.09,0.11,0.18,0.24,0.25,0.16,0.12,0.14,0.25,0.20
40,Filing Date Shares Outstanding,600,600,600,600,600,600,600,600,600,600
41,Total Common Shares Outstanding,600,600,600,600,600,600,600,600,600,600
42,Working Capital,107.16,103.57,139.47,152.26,141.28,152.45,148.26,156.8,189.26,204.3
43,Book Value Per Share,0.34,0.34,0.34,0.36,0.32,0.33,0.32,0.34,0.40,0.43
44,Tangible Book Value,203.38,199.42,201.99,213.48,190.42,197.86,192.69,204.5,240.46,251.96
45,Tangible Book Value Per Share,0.34,0.33,0.34,0.36,0.32,0.33,0.32,0.34,0.40,0.42
46,Machinery,-,5.96,-,5.54,-,5.53,-,5.24,-,3.56
47,Leasehold Improvements,-,2.71,-,2.71,-,2.71,-,2.71,-,2.71
