,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Market Capitalization,82690,83703,42355,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,18261,17417,44169,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,13800.00,13200.00,11900.00,13328.00,12090.40,5089.52,3190.68,1111.01,1027.16,1212.72,1381.58,997.80,991.71
3,PE Ratio,8.39,10.90,8.46,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,0.19,0.30,0.24,-,-,-,-,-,-,-,-,-,-
5,PB Ratio,1.06,1.08,0.57,-,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,1.08,1.08,0.57,-,-,-,-,-,-,-,-,-,-
7,EV/Sales Ratio,0.04,0.06,0.25,-,-,-,-,-,-,-,-,-,-
8,EV/EBITDA Ratio,1.97,6.60,19.19,-,-,-,-,-,-,-,-,-,-
9,EV/EBIT Ratio,2.13,4.27,11.63,-,-,-,-,-,-,-,-,-,-
10,Debt / Equity Ratio,-,-,-,0.10,-,0.08,-,-,-,-,-,-,-
11,Debt / EBITDA Ratio,-,-,-,9.83,-,2.93,-,-,-,-,-,-,-
12,Asset Turnover,3.01,-,-,-,-,-,-,-,-,-,-,-,
13,Inventory Turnover,5.96,31.19,-,-,-,-,-,-,-,-,-,-,-
14,Quick Ratio,1.41,1.41,1.24,0.54,-,0.87,-,-,-,2.53,-,-,-
15,Current Ratio,1.49,1.49,1.48,1.35,-,1.42,-,-,-,3.54,-,-,-
16,Return on Equity (ROE),15.97%,-,-,-,-,-,-,-,-,-,-,-,
17,Return on Assets (ROA),0.64%,-,-,-,-,-,-,-,-,-,-,-,
18,Return on Capital (ROIC),1.81%,-,-,-,-,-,-,-,-,-,-,-,
19,Return on Capital Employed (ROCE),11.01%,5.25%,5.09%,-,-,7.92%,-,-,-,4.18%,-,-,-
20,Earnings Yield,12.52%,9.17%,11.82%,-,-,-,-,-,-,-,-,-,-
21,FCF Yield,51.50%,-38.86%,-,-,-,-,-,-,-,-,-,-,-
22,Dividend Yield,8.70%,-,5.04%,-,-,-,-,-,-,-,-,-,-
23,Payout Ratio,34.73%,-,-,2953.06%,-,512.65%,103.56%,-,-,82.24%,442.46%,-,-
24,Buyback Yield / Dilution,30.67%,1.28%,50.15%,-17.93%,-50.29%,-7.32%,-58.52%,-10.64%,-,-,-,-,
25,Total Shareholder Return,8.70%,30.67%,6.33%,50.15%,-17.93%,-50.29%,-7.32%,-58.52%,-10.64%,-,-,-,-
