,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Cash & Equivalents,44714,47610,29208,-,2610,-,-,-,8593,-,-,-
1,Short-Term Investments,19715,18676,7354,-,26.21,-,-,-,2239,-,-,-
2,Cash & Short-Term Investments,64429,66286,36562,-,2636,-,-,-,10832,-,-,-
3,Cash Growth,2343.87%,-,-,-,-75.66%,-,-,-,-,-,-,-
4,Accounts Receivable,118433,96575,44552,-,75204,-,-,-,40497,-,-,-
5,Other Receivables,15473,9340,15627,-,23329,-,-,-,1250,-,-,-
6,Receivables,133906,105916,60179,-,98533,-,-,-,41747,-,-,-
7,Inventory,10441,28695,130458,-,63329,-,-,-,15369,-,-,-
8,Prepaid Expenses,123.83,148.26,65.92,-,311.82,-,-,-,586.53,-,-,-
9,Other Current Assets,730.42,3822,13237,-,1523,-,-,-,5087,-,-,-
10,Total Current Assets,209629,204868,240502,-,166332,-,-,-,73621,-,-,-
11,"Property, Plant & Equipment",2907,3055,3580,-,1236,-,-,-,2783,-,-,-
12,Long-Term Investments,4900,4900,4900,-,4902,-,-,-,107.9,-,-,-
13,Other Intangible Assets,83.21,97.53,140.49,-,-,-,-,-,279.87,-,-,-
14,Other Long-Term Assets,457.15,423.09,622.42,-,1429,-,-,-,2561,-,-,-
15,Total Assets,217977,213344,249745,-,173900,-,-,-,79353,-,-,-
16,Accounts Payable,80607,94522,152174,-,56811,-,-,-,2458,-,-,-
17,Accrued Expenses,44977,26933,6940,-,26266,-,-,-,11733,-,-,-
18,Short-Term Debt,-,-,7000,-,4450,-,-,-,-,-,-,-
19,Current Income Taxes Payable,2849,4276,144.52,-,275.44,-,-,-,1496,-,-,-
20,Current Unearned Revenue,487.21,913.48,669.37,-,-,-,-,-,-,-,-,-
21,Other Current Liabilities,11337,12023,11509,-,29101,-,-,-,5130,-,-,-
22,Total Current Liabilities,140257,138667,178437,-,116905,-,-,-,20816,-,-,-
23,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,6002,-,-,-
24,Total Liabilities,140257,138667,178437,-,116905,-,-,-,26818,-,-,-
25,Common Stock,59920,59920,59920,-,29960,-,-,-,29960,-,-,-
26,Additional Paid-In Capital,-,-,-,-,9980,-,-,-,9980,-,-,-
27,Retained Earnings,17799,14757,11387,-,17036,-,-,-,12548,-,-,-
28,Comprehensive Income & Other,-,-,-,-,19.23,-,-,-,46.58,-,-,-
29,Shareholders' Equity,77720,74677,71308,-,56995,-,-,-,52535,-,-,-
30,Total Liabilities & Equity,217977,213344,249745,-,173900,-,-,-,79353,-,-,-
31,Total Debt,-,-,7000,-,4450,-,-,-,-,-,-,-
32,Net Cash (Debt),64429,66286,29562,-,-1814,-,-,-,10832,-,-,-
33,Net Cash Per Share,10312.10,10453.35,8305.69,-,-201.29,-,-,-,1806.39,-,-,-
34,Filing Date Shares Outstanding,5.99,6.34,3.56,7.8,9.01,6.42,7.14,6.62,6,5.99,4.5,5.98
35,Total Common Shares Outstanding,5.99,6.34,3.56,7.8,9.01,6.42,7.14,6.62,6,5.99,4.5,5.98
36,Working Capital,69372,66201,62065,-,49428,-,-,-,52805,-,-,-
37,Book Value Per Share,12970.52,11776.54,20034.61,-,6324.35,-,-,-,8760.70,-,-,-
38,Tangible Book Value,77636,74579,71167,-,56995,-,-,-,52255,-,-,-
39,Tangible Book Value Per Share,12956.63,11761.16,19995.13,-,6324.35,-,-,-,8714.02,-,-,-
40,Buildings,10873,-,10873,-,-,-,-,-,-,-,-,-
41,Machinery,30675,-,30675,-,-,-,-,-,-,-,-,-
