,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,7577,12457,9504,-,8068,4765,2842,3592,2500,3629,2287,-,629.38,-,3293,4468,994.87,994.87,11022,-,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,10242,-,6401,4938,3292,3292,16202,-,Upgrade
2,Cash & Short-Term Investments,7577,12457,9504,8068,8068,4765,2842,3592,2500,3629,2287,-,10871,-,9694,9406,4287,4287,27224,26902,Upgrade
3,Cash Growth,-6.08%,161.44%,234.37%,124.64%,222.68%,31.30%,24.27%,-,-77.00%,-,-76.40%,-,153.59%,-,-64.39%,-65.04%,-84.06%,-84.06%,-,-,Upgrade
4,Accounts Receivable,6391,5380,25222,-,30.92,36464,28818,27467,39409,40337,40450,-,38398,-,38833,39521,36018,36018,40953,-,Upgrade
5,Other Receivables,30116,28243,1655,-,25288,1655,1678,1672,-18774,-6983,-20822,-,-25112,-,-25731,-19202,-26448,-26448,-18581,-,Upgrade
6,Receivables,36507,33623,26877,-,25319,38119,30496,29139,20635,33354,19628,-,13287,-,13102,20319,9570,9570,22372,-,Upgrade
7,Inventory,372.05,767.37,491.43,-,215.18,831.05,340.1,305,348.77,158.35,106.05,-,159.44,-,40.51,40.51,40.51,40.51,40.51,-,Upgrade
8,Prepaid Expenses,396.15,509.14,582.88,-,312.86,437.63,504.48,431.78,207.26,590.96,670.74,-,1417,-,1098,864.55,248.88,248.88,501.4,-,Upgrade
9,Other Current Assets,5045,2493,1321,-,2723,1250,1209,1164,2304,2757,2667,-,2103,-,1840,1808,1756,1756,4356,-,Upgrade
10,Total Current Assets,49897,49850,38777,-,36639,45402,35392,34631,25995,40489,25359,-,27837,-,25774,32438,15902,15902,54494,-,Upgrade
11,"Property, Plant & Equipment",90.56,93.4,86.53,-,107.48,113.55,116.12,131.11,128.14,135.47,141.63,-,158.55,-,188.37,235.95,6.1,6.1,486.67,-,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,2169,1357,1681,5.71,1528,-,5.71,-,-,-,17322,17322,0,-,Upgrade
13,Goodwill,9907,9907,10232,-,10087,10552,12543,12885,11726,12210,12518,-,11561,-,5121,5300,37.35,37.35,6149,-,Upgrade
14,Other Long-Term Assets,3218,3180,2887,-,2883,2540,3314,3681,4008,4422,21381,-,2486,-,9285,2299,2299,2299,2522,-,Upgrade
15,Total Assets,74113,74031,62982,-,60716,58608,64735,63886,54738,68463,72129,-,53249,-,56368,56273,53548,53548,79652,-,Upgrade
16,Accounts Payable,6827,4340,223.88,-,220.96,148.99,1109,1728,1929,2273,2631,-,632.75,-,476.32,58.46,35.63,35.63,7.51,-,Upgrade
17,Accrued Expenses,3848,2401,2867,-,2008,2280,2533,2423,2817,2733,2867,-,835.16,-,1234,1477,585.71,585.71,1558,-,Upgrade
18,Short-Term Debt,-,-,-,-,-,-,11548,11656,11437,11282,11517,-,10788,-,10929,10929,10929,10929,12634,-,Upgrade
19,Current Income Taxes Payable,883.67,1145,-,-,1548,1335,1382,1392,1224,982.45,500.48,-,333.26,-,107.11,218.65,93.69,93.69,97.47,-,Upgrade
20,Current Unearned Revenue,-,-,-,-,-,-,-,-,3.3,6.6,9.9,-,3.3,-,9.9,-,3.3,3.3,9.9,-,Upgrade
21,Other Current Liabilities,19581,24486,25230,-,20109,23012,24022,22003,13509,19336,17698,-,8548,-,5237,4867,2800,2800,3381,-,Upgrade
22,Total Current Liabilities,31140,32373,28321,-,23885,26775,40593,39202,30919,36613,35223,-,21141,-,17993,17550,14448,14448,17687,-,Upgrade
