,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,82252,63768,28650,29574,36967,36043,30498,34195,28650,25877,38816,55451,94266,102731,95522,39859,68204,26573,31887,34545,57574,Upgrade
1,Market Cap Growth,76.92%,76.92%,-6.06%,-13.51%,29.03%,39.29%,-21.43%,-38.33%,-69.61%,-74.81%,-59.36%,39.12%,38.21%,286.60%,199.56%,15.38%,18.46%,-50.00%,-12.20%,-44.29%,66.67%,Upgrade
2,Enterprise Value,85918,61925,26789,30045,37438,36108,41378,44349,37546,34773,49263,52364,105013,107409,100200,44851,59290,17659,22974,4481,27511,Upgrade
3,Last Close Price,8900.00,6900.00,3100.00,3200.00,4000.00,3900.00,3300.00,3700.00,3100.00,2800.00,4200.00,6000.00,10200.00,11400.00,10600.00,4500.00,7700.00,3000.00,3600.00,3900.00,6500.00,Upgrade
4,PE Ratio,62.24,16.17,5.08,4.55,-,5.66,-18.20,-,-3.96,-,-,21.99,49.52,82.58,-11.14,-2.28,-,-,-,-,-16.10,Upgrade
5,PS Ratio,2.27,1.72,0.83,1.14,1.53,1.61,1.53,1.84,1.60,1.46,3.07,6.49,16.01,46.17,-49.46,-6.51,-76.60,81.79,4.97,2.76,7.15,Upgrade
6,PB Ratio,2.62,1.50,0.69,0.86,1.01,0.99,0.97,1.42,1.16,1.09,1.22,1.50,-,3.20,-,1.04,1.76,0.68,0.82,0.56,1.02,Upgrade
7,P/TBV Ratio,2.97,2.97,1.38,1.80,2.07,2.02,1.89,3.63,2.95,2.38,2.13,2.39,-,-,-,1.34,2.28,0.68,0.82,0.69,1.27,Upgrade
8,P/FCF Ratio,-,-,-4.43,4.15,6.17,-,0.77,-,0.91,1.72,590.10,-,-,64.02,-,-1.92,-,-,-,-,-,Upgrade
