,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,369.32,568.3,751.51,678.88,596.7,650.89,760.45,706.57,568.06,2892,Upgrade
1,Short-Term Investments,319.33,178.75,-,91.42,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,688.65,747.05,751.51,770.3,596.7,650.89,760.45,706.57,568.06,2892,Upgrade
3,Cash Growth,-8.36%,-3.02%,25.94%,18.35%,-21.53%,-7.88%,33.87%,-75.57%,-93.36%,-38.83%,Upgrade
4,Accounts Receivable,765.11,765,992.53,952.78,857.2,907.04,974.6,1191,1362,1340,Upgrade
5,Other Receivables,-,17.54,-,-,-,-,-,-,-,-,Upgrade
6,Receivables,765.11,782.54,992.53,952.78,857.2,907.04,974.6,1191,1362,1340,Upgrade
7,Inventory,52.18,91.71,109.09,93.11,142.15,192.47,49.6,43.59,14.79,22.56,Upgrade
8,Prepaid Expenses,29.57,15.39,34.78,25.05,28.87,25.92,38.64,29.1,49.55,38.48,Upgrade
9,Other Current Assets,5.46,5.46,5.46,5.46,5.46,-,-,-,-,309.32,Upgrade
10,Total Current Assets,1541,1642,1893,1847,1630,1776,1823,1970,1994,4602,Upgrade
11,"Property, Plant & Equipment",250.19,265.58,281.06,275.58,279.8,289.96,273.07,294.94,318.3,295.43,Upgrade
12,Long-Term Deferred Tax Assets,3.78,3.76,3.75,3.75,6.15,12.97,3.73,1.76,1.39,-,Upgrade
13,Other Long-Term Assets,0.25,3.34,5.11,2.12,2.63,1.46,0.1,0.15,1.71,2.01,Upgrade
14,Total Assets,1795,1915,2183,2128,1919,2081,2100,2267,2316,4900,Upgrade
15,Accounts Payable,183.7,220.5,230.62,329.09,164.29,262,201.15,299.97,354.68,286.22,Upgrade
16,Accrued Expenses,137.36,140.58,256.73,141.52,163.9,136.82,171.64,234.97,184.37,220.08,Upgrade
17,Short-Term Debt,-,-,-,-,-,-,-,-,-,50,Upgrade
18,Current Portion of Long-Term Debt,24.13,24.04,74.01,23.99,4.43,4.9,34.91,4.76,45.12,44.53,Upgrade
19,Current Portion of Leases,8.02,9.71,6.96,8.68,9.4,9.09,4.75,10.94,12.29,10.12,Upgrade
20,Current Income Taxes Payable,7.05,19.1,9.85,5.34,0.55,0.22,0.25,13.71,14.81,50.6,Upgrade
21,Current Unearned Revenue,20.8,17.33,43.1,31.13,45.49,82.49,85.66,72.37,55.07,46.83,Upgrade
22,Other Current Liabilities,66.43,79.18,177.18,98.25,91.22,93.15,108.76,132.08,136.25,1790,Upgrade
23,Total Current Liabilities,447.49,510.43,798.44,637.99,479.28,588.68,607.11,768.8,802.58,2498,Upgrade
