,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1339,1304,1505,1397,1092,1102,1405,1860,791.16,614.22,693.62,622.06,644.38,932.51,565.53,564.12,-,-,-
1,Trading Asset Securities,-,-,78.52,100.07,224.03,210.68,130.16,-,80.03,60.95,60.18,121.42,120,-,-,-,-,-,-
2,Cash & Short-Term Investments,1339,1304,1583,1498,1316,1313,1535,1860,871.19,675.17,753.8,743.47,764.38,932.51,565.53,564.12,-,-,457.7
3,Cash Growth,1.77%,-0.66%,3.16%,-19.50%,51.05%,94.47%,103.61%,150.23%,13.97%,-27.60%,33.29%,31.79%,-,-,23.56%,-,-,-,-
4,Accounts Receivable,1377,1365,1384,1346,1175,926.51,847.83,896.39,762.5,697.19,604.58,462.04,370.25,331.93,302.1,259.49,-,-,-
5,Other Receivables,108.64,84.21,72.29,49.18,78.11,70.09,44.72,33.84,43.76,48.5,32.76,44.23,6.38,10.34,11.7,8.37,-,-,-
6,Receivables,1486,1449,1456,1395,1253,996.6,892.55,930.24,806.26,745.69,637.35,506.27,376.62,342.27,313.8,267.86,-,-,-
7,Inventory,1962,1952,2162,2068,2074,2090,2062,1794,1575,1504,1327,1226,1148,1041,965.22,912.36,-,-,-
8,Prepaid Expenses,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,520.18,514.06,509.55,549.94,406.24,388.09,350.8,388.23,294.47,296.03,253.38,254.2,237.78,245.68,198.77,249.9,-,-,-
10,Total Current Assets,5307,5219,5710,5511,5049,4788,4840,4972,3547,3221,2971,2730,2527,2562,2043,1994,-,-,-
11,"Property, Plant & Equipment",1478,1504,1480,1427,1429,1393,1288,1257,1203,1127,1126,1025,970.23,927.89,892.01,382.75,-,-,-
12,Long-Term Investments,227.69,228.11,227.9,225.03,220.92,211.35,259.41,258.25,258.57,247.14,243.47,225.81,218.04,209.57,204.6,208.88,-,-,-
13,Goodwill,1761,1675,1670,1387,1380,1336,1097,975.06,809.5,796,667.24,667.24,312.75,312.75,312.75,312.75,-,-,-
14,Other Intangible Assets,127.62,127.57,127.75,128.18,125.26,124.63,110.84,111.51,93.22,89.12,69.2,68.92,75.42,69.63,68.96,69.94,-,-,-
