,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4969,5009,3963,5387,8281,7928,7718,8768,7292,6404,7515,8577,9789,7742,-,-,-,-,-,-
1,Market Cap Growth,-36.82%,-36.82%,-48.65%,-38.56%,13.56%,23.80%,2.70%,2.22%,-25.51%,-17.28%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7637,7842,6458,7485,10379,9723,9042,9881,8406,7372,8259,8610,9822,7529,-,-,-,-,-,-
3,Last Close Price,12.35,12.45,9.79,13.22,20.32,19.46,18.94,21.38,17.78,15.62,18.33,20.83,23.77,18.80,-,-,-,-,-,-
4,PE Ratio,-,-,217.62,68.18,-,30.34,30.04,35.86,31.78,47.47,53.87,67.63,85.18,38.07,-,-,-,-,-,-
5,Forward PE,-,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,32.64,25.81,-,-,-,-,-,-
6,PS Ratio,0.54,0.51,0.41,0.56,0.90,0.87,0.89,1.06,0.93,0.93,1.21,1.50,1.84,1.54,-,-,-,-,-,-
7,PB Ratio,2.39,2.17,1.67,2.28,3.50,3.32,3.22,3.76,3.22,3.16,3.74,4.36,5.11,4.09,-,-,-,-,-,-
8,P/TBV Ratio,14.89,14.89,8.31,11.46,10.66,9.66,8.85,8.05,6.37,5.89,6.92,7.13,8.49,5.17,-,-,-,-,-,-
9,P/FCF Ratio,51.61,52.02,-,-91.63,-,-92.65,-,322.51,-,43.31,-,86.13,97.00,103.75,-,-,-,-,-,-
10,P/OCF Ratio,20.22,20.22,-,33.35,57.95,72.01,-,61.65,-,27.04,-,40.68,41.21,33.06,-,-,-,-,-,-
11,EV/Sales Ratio,0.78,0.81,0.66,0.78,1.13,1.07,1.04,1.19,1.07,1.08,1.33,1.50,1.85,1.50,-,-,-,-,-,-
12,EV/EBITDA Ratio,12.88,52.36,29.81,25.15,-,17.79,17.63,21.36,19.45,26.98,31.52,35.69,45.68,21.04,-,-,-,-,-,-
13,EV/EBIT Ratio,87.36,89.70,41.67,31.64,-,19.97,19.81,24.15,22.02,32.60,38.24,43.55,56.59,23.67,-,-,-,-,-,-
14,EV/FCF Ratio,79.32,81.44,-,-127.31,-,-113.61,-,363.47,-,49.86,-,86.46,97.33,100.90,-,-,-,-,-,-
15,Debt / Equity Ratio,1.70,1.70,1.71,1.68,1.64,1.40,1.27,1.21,1.31,0.96,0.80,0.75,0.65,0.42,0.37,0.32,0.07,-,-,0.09
16,Debt / EBITDA Ratio,6.62,35.87,3.57,13.04,2.28,8.89,2.24,5.38,1.51,8.01,1.62,3.66,1.32,3.98,1.08,1.68,0.17,-,-,0.43
17,Debt / FCF Ratio,40.76,40.76,-,-67.72,-,-39.15,-,103.79,-,13.16,-,14.76,12.25,10.55,-,2.95,2.67,-,-,-
18,Asset Turnover,0.98,1.02,1.03,1.17,1.06,1.06,1.04,1.46,1.23,1.29,1.22,1.38,1.16,1.33,1.42,-,-,-,-,
19,Inventory Turnover,3.56,3.34,3.39,3.35,3.92,3.08,2.89,3.05,4.39,3.48,3.68,3.45,4.10,3.03,3.64,3.61,-,-,-,-
20,Quick Ratio,0.54,0.54,0.56,0.57,0.55,0.56,0.54,0.59,0.66,0.45,0.43,0.47,0.48,0.53,0.63,0.49,0.54,-,-,-
21,Current Ratio,1.01,1.01,1.06,1.07,1.05,1.11,1.12,1.17,1.18,0.96,0.98,1.01,1.04,1.17,1.27,1.14,1.31,-,-,-
22,Return on Equity (ROE),-7.62%,0.79%,1.92%,-3.31%,3.21%,12.50%,11.57%,20.03%,3.11%,12.17%,10.20%,0.78%,5.15%,11.33%,9.50%,-,-,-,-,
23,Return on Assets (ROA),0.33%,1.27%,1.62%,-0.92%,2.31%,3.93%,3.66%,5.72%,2.05%,3.65%,4.27%,0.31%,2.29%,4.08%,4.86%,-,-,-,-,
24,Return on Capital (ROIC),0.48%,1.87%,2.43%,-1.39%,3.56%,6.10%,5.61%,8.77%,3.25%,5.81%,6.77%,0.50%,3.69%,6.78%,8.77%,-,-,-,-,
25,Return on Capital Employed (ROCE),2.18%,2.18%,3.67%,5.61%,-,11.43%,11.06%,10.44%,10.44%,8.85%,8.62%,7.96%,7.29%,14.54%,16.10%,17.73%,20.59%,-,-,-
26,Earnings Yield,-0.85%,-0.84%,0.46%,1.47%,1.61%,3.30%,3.33%,2.79%,3.15%,2.11%,1.86%,1.48%,1.17%,2.63%,-,-,-,-,-,-
27,FCF Yield,1.94%,1.92%,-1.50%,-1.09%,-0.47%,-1.08%,-0.71%,0.31%,0.52%,2.31%,0.99%,1.16%,1.03%,0.96%,-,-,-,-,-,-
28,Dividend Yield,0.40%,-,-,-,0.25%,-,-,-,0.65%,-,-,-,0.31%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,146.97%,184.57%,-,65.65%,112.88%,22.01%,16.39%,61.08%,57.25%,13.73%,96.02%,221.11%,-,1.26%,1.43%,3.05%,28.81%,12.58%
30,Buyback Yield / Dilution,-7.02%,-29.42%,-10.08%,13.18%,-1.92%,6.16%,-7.92%,2.22%,0.73%,-2.07%,-10.22%,-9.68%,-3.41%,-21.52%,-8.56%,11.36%,-,-,-,-
31,Total Shareholder Return,-6.61%,-29.42%,-10.08%,13.18%,-1.67%,6.16%,-7.92%,2.22%,1.37%,-2.07%,-10.22%,-9.68%,-3.10%,-21.52%,-8.56%,11.36%,-,-,-,-
