,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,2260,2379,2439,2587,2273,2189,2072,2461,1918,1742,1587,1571,1246,1285,1185,1287,1096,1124,1116
1,Other Revenue,-,-,-,69.51,-,-,-,114.13,-59.9,59.9,-,35.25,-9.79,9.79,-,16.16,-7.93,3.99,3.94
2,Revenue,2260,2379,2439,2657,2273,2189,2072,2576,1858,1802,1587,1607,1236,1294,1185,1303,1088,1128,1120
3,Revenue Growth (YoY),-0.60%,8.71%,17.69%,3.15%,22.36%,21.44%,30.56%,60.30%,50.32%,39.24%,33.99%,23.29%,13.57%,14.71%,5.78%,-,-,-,-
4,Cost of Revenue,1635,1744,1774,2028,1602,1498,1470,1850,1340,1301,1101,1217,828.88,912.99,847.89,943.85,736.28,777.94,808.91
5,Gross Profit,624.46,635.45,665.2,628.93,671.07,691.02,602.62,725.37,517.39,501.75,486.27,390.03,406.95,381.38,336.83,359.4,351.89,350.44,311.1
6,"Selling, General & Admin",610.04,578.11,597.65,644.96,581.4,546.6,485.81,535.07,466.39,414.56,396.47,379.64,368.16,310.3,272.09,241.13,286.81,262.58,241.19
7,Research & Development,-,-,-,-,-,-,-,-,0.05,0,-,-,-,-,-,-,-,-,-
8,Other Operating Expenses,-0.58,7.33,3.33,13.04,2.15,4.59,0.02,14.63,2.9,1.13,-2.09,10.73,0.81,1.65,-0.72,9.93,3.64,2.92,4.94
9,Operating Expenses,612.36,587.83,604.11,662.31,591.44,561.78,486.13,563.85,468.1,419.88,397.15,384.2,367.81,317.77,271.83,209,279.78,315.54,249.72
10,Operating Income,12.1,47.62,61.09,-33.38,79.64,129.24,116.5,161.51,49.29,81.87,89.13,5.83,39.14,63.61,65,150.4,72.11,34.89,61.38
11,Interest Expense,-34.75,-41.26,-32.01,-26.72,-33.08,-28.86,-29.67,-23.75,-20.37,-15.8,-13.51,-25.51,-,-6.93,-5.11,-1.28,-1.54,-2,-1.8
12,Interest & Investment Income,1.78,4.39,3.13,4.59,2.31,1.03,5.87,4.05,2.86,0.4,3.87,9.23,6.51,3,0.39,2.57,2.55,1.06,1.28
13,Currency Exchange Gain (Loss),0.01,-0.01,-,-0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-13.52,4.04,-10.21,10.55,-11.92,-7.66,-2.93,-1.63,-4.55,4.92,-10.69,-8.56,-17.24,2.65,-2.19,-46.87,-1.92,42.09,-39.59
15,EBT Excluding Unusual Items,-34.38,14.78,22,-44.96,36.94,93.75,89.76,140.18,27.24,71.39,68.79,-19.01,28.41,62.33,58.08,104.82,71.21,76.05,21.27
16,Gain (Loss) on Sale of Investments,-,-0.52,0.45,2.77,1.11,-3.98,0.16,-0.43,0.03,1.76,-1.24,25.31,-0.19,0.92,-1.22,-0.09,0.56,-0.64,-0.48
17,Gain (Loss) on Sale of Assets,4.69,3.99,0.54,9.15,0.04,0.96,0.1,2.03,0.05,-,-,-0.71,-0,0,-,0.04,-0.05,0.05,-
