,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,9287,9248,9901,11340,11581,11309,10274,7988,7918,7226,8462,8486,10469,9870,-,-,-,-,-,-
1,Market Cap Growth,-18.23%,-18.23%,-3.63%,41.97%,46.27%,56.51%,21.42%,-5.87%,-24.37%,-26.79%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6931,6836,7280,9179,9421,8545,7611,5864,5794,5254,6204,6401,8384,8492,-,-,-,-,-,-
3,Last Close Price,11.94,11.89,12.73,13.88,14.17,13.84,12.57,9.39,9.31,8.50,9.95,9.67,11.93,11.25,-,-,-,-,-,-
4,PE Ratio,13.88,13.81,14.26,15.23,16.39,16.25,16.47,15.51,17.21,15.95,20.35,19.35,28.80,27.06,-,-,-,-,-,-
5,Forward PE,13.29,12.24,12.07,14.13,14.67,15.09,14.97,14.21,14.75,14.16,17.41,11.96,13.26,12.50,-,-,-,-,-,-
6,PS Ratio,0.48,0.47,0.52,0.64,0.70,0.76,0.73,0.64,0.72,0.62,0.80,0.78,1.01,1.04,-,-,-,-,-,-
7,PB Ratio,2.43,2.41,2.70,2.78,3.06,3.10,2.95,2.18,2.32,2.19,2.65,2.49,3.25,3.17,-,-,-,-,-,-
8,P/TBV Ratio,2.43,2.43,2.72,2.79,3.08,3.12,2.98,2.20,2.34,2.20,2.67,2.50,3.27,3.19,-,-,-,-,-,-
9,P/FCF Ratio,10.51,-,35.46,24.32,17.59,-,9.43,12.16,-,19.36,52.04,48.73,-,-,-,-,-,-,-,-
