,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1819,1590,1793,1732,1683,2127,1825,1563,1544,1822,1621,1187,1255,728.89,-,787.36,-,483.09,483.09
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,27.22,-,-,-,-,-
2,Trading Asset Securities,678.04,932.49,934.49,402.72,532.51,693.26,893.89,291.96,666.77,238.06,728.08,407.95,879.64,706.23,-,426.02,-,724.39,724.39
3,Cash & Short-Term Investments,2497,2523,2728,2135,2215,2821,2718,1855,2211,2060,2349,1595,2135,1462,1213,1213,-,1207,1207
4,Cash Growth,12.74%,-10.56%,0.34%,15.08%,0.19%,36.91%,15.74%,16.34%,3.55%,40.89%,93.57%,31.43%,-,21.11%,0.49%,-,-,-,-
5,Accounts Receivable,219.79,287.74,244.5,235.2,261.48,151.06,161.42,252.91,167.56,155.12,110.37,178.31,203.12,117.17,-,128.74,-,110.09,110.09
6,Other Receivables,65.55,62.28,78.16,64.81,44,39.58,48.53,42.11,33.34,48.81,40.93,46.42,36.32,16.82,-,78.62,-,126.26,126.26
7,Receivables,285.35,350.02,322.66,300.01,305.47,190.64,209.95,295.02,200.9,203.92,151.3,224.73,239.44,134,-,207.36,-,236.35,236.35
8,Inventory,3311,2990,3081,3233,3054,2382,2580,2716,2153,1899,2185,2740,1868,1768,-,1707,-,1822,1822
9,Prepaid Expenses,-,3.95,-,7.57,-,3.64,-,6.46,-,2.24,-,6.77,-,11.6,-,-,-,17.13,17.13
10,Other Current Assets,358.89,307.01,322.22,351.29,309.03,260.47,307.95,280.22,218,197.94,248.01,342.35,250.43,248.78,-,333.8,-,387.33,387.33
11,Total Current Assets,6453,6174,6454,6027,5884,5657,5817,5154,4783,4363,4933,4909,4493,3624,-,3461,-,3670,3670
12,"Property, Plant & Equipment",286.51,255.48,254.91,225.36,205.96,203.35,209.55,225.54,242.99,239.26,248.92,257.04,256.26,253.47,-,184.61,-,182.37,182.37
13,Long-Term Investments,9.89,9.93,9.91,9.9,10.02,9.93,9.98,9.98,10,-,-,-,-,88,-,212.8,-,185.81,185.81
14,Other Intangible Assets,21.63,21.33,21.84,22.93,23.79,24.73,24.97,22.87,11.47,8.4,8.83,8.73,7.49,7.39,-,8.06,-,6.26,6.26
15,Long-Term Deferred Tax Assets,37.71,30.4,33.6,21.94,20.28,17.98,17.45,21.4,6.18,6.03,6.19,27.58,6.3,4.5,-,1.91,-,0.86,0.86
16,Long-Term Deferred Charges,27.3,21.86,23.95,28.5,21.76,22.68,22.89,25.65,25.32,21.54,20.96,18.73,19.56,18.91,-,25.23,-,30.09,30.09
17,Other Long-Term Assets,20.03,20.39,20.74,20.69,20.45,24.5,22.19,23.64,28.58,27.39,21.24,21.7,21.59,21.76,-,22.11,-,22.45,22.45
18,Total Assets,6856,6533,6819,6356,6186,5960,6124,5483,5108,4666,5240,5243,4804,4018,-,3916,-,4098,4098
19,Accounts Payable,117.77,60.5,128.31,79.01,99.25,87.73,127.43,68.43,121.98,101.09,116.27,117.92,131.21,117.78,-,94.44,-,69.64,69.64
