,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,4365,4664,6316,4170,4017,3300,5052,2455,3201,1855,3470,3136,2120,2189,2952,2170,1742,1570,1570
1,Other Revenue,-9.25,9.25,-,13.08,-7.67,7.67,-,9.2,-5.44,5.44,-,9.68,-5.84,5.84,-,15.63,-8.05,4.03,4.03
2,Revenue,4356,4673,6316,4183,4009,3308,5052,2464,3196,1861,3470,3146,2114,2194,2952,2186,1734,1574,1574
3,Revenue Growth (YoY),8.66%,41.26%,25.01%,69.75%,25.45%,77.80%,45.62%,-21.68%,51.18%,-15.21%,17.55%,43.92%,21.93%,39.40%,87.51%,-,-,-,-
4,Cost of Revenue,3977,4311,5684,3811,3589,2924,4478,2207,2853,1676,3031,2833,1855,1943,2601,1909,1465,1357,1357
5,Gross Profit,379.43,362.57,631.93,371.69,420.23,384.2,574.9,257.16,342.97,184.51,438.66,313.18,258.29,251.39,351.07,276.86,268.88,216.84,216.84
6,"Selling, General & Admin",133.51,128.1,177.9,149.94,128.8,89.5,174.92,107.48,120.84,92.01,127.15,114.35,103.17,83.84,108.02,85.72,91.84,84.62,84.62
7,Research & Development,2.83,1.88,2.65,2.03,1.96,0.6,2.93,3.36,2.53,2.16,1.7,5.27,0.64,1.66,0.95,3.26,0.17,0.3,0.3
8,Other Operating Expenses,40.82,47.64,93.2,66.02,61.58,55.59,96.42,44.47,58.49,24.46,69.66,48.58,47.41,48.61,58.58,42.24,28.17,29.8,29.8
9,Operating Expenses,177.18,177.61,273.69,218,192.36,145.43,274.26,142.53,193.29,103.51,198.52,170.54,159.42,132.49,175.53,131.21,120.25,114.72,114.72
10,Operating Income,202.25,184.96,358.24,153.69,227.87,238.77,300.64,114.64,149.68,81.01,240.14,142.64,98.87,118.91,175.54,145.65,148.63,102.12,102.12
11,Interest Expense,-6.29,-6.32,-7.27,-7.96,-4.72,-4.81,-5.62,-4.44,-2.97,-4.42,-3.95,-4.7,-4.93,-4.69,-5.46,-8.46,-3.82,-5.17,-5.17
12,Interest & Investment Income,15.95,3.18,9.6,20.65,18.72,21.28,8.25,29.33,7.39,30,4.9,2.94,0.99,0.71,0.71,-,-,9.87,9.87
13,Other Non Operating Income (Expenses),-6.47,-6.52,-11.27,-7.19,-7.15,-6.37,-9.88,-16.01,3.54,-11.07,-8.07,-6.72,-4.27,-5.04,-7.29,-3.65,-5.16,-4.15,-4.15
14,EBT Excluding Unusual Items,205.45,175.3,349.29,159.19,234.73,248.86,293.38,123.52,157.64,95.52,233.03,134.17,90.67,109.89,163.49,133.53,139.65,102.68,102.68
15,Gain (Loss) on Sale of Investments,5.79,-9.81,19.18,-18.64,19.87,-11.1,22.55,1.39,-5.82,-4.4,8.64,3.51,4.05,14.73,-20.06,-6.11,1.97,6.7,6.7
16,Gain (Loss) on Sale of Assets,-,-0.01,0.01,0.01,0.03,0.1,-,-,-,0.04,-,-,0.04,-,-0,0.08,-,-,-
17,Asset Writedown,0,-0,-,12.65,-12.65,-0.01,-,6.93,-6.93,-,-,1.78,-1.78,-,-,-,-,-,-
18,Other Unusual Items,-3.42,3.19,0.41,2.9,-0.33,0.33,-,7.14,-,-,-,0.3,1.7,-1.7,-,6.49,-1.46,0.73,0.73
19,Pretax Income,207.82,168.67,368.88,156.12,241.64,238.19,315.94,138.97,144.89,91.16,241.67,139.76,94.69,122.91,143.43,134,140.16,110.11,110.11
20,Income Tax Expense,52.36,39.86,95.13,39.75,62.11,59.63,80.02,33.89,38.46,22.97,60.44,40.94,25.3,32.3,38.36,34.87,39.73,27.09,27.09
21,Earnings From Continuing Operations,155.46,128.81,273.75,116.37,179.54,178.55,235.92,105.08,106.43,68.18,181.23,98.82,69.38,90.62,105.07,99.13,100.43,83.02,83.02
22,Minority Interest in Earnings,-1.16,-1.54,-1.29,-1,-0.21,-1.04,-1.34,-0.46,0.54,0.7,-1.58,-1.25,0.31,0.92,-0.33,-0.33,-0.89,-1.32,-1.32
23,Net Income,154.3,127.27,272.46,115.37,179.33,177.51,234.58,104.62,106.97,68.88,179.65,97.57,69.7,91.53,104.73,98.8,99.54,81.71,81.71
24,Net Income to Common,154.3,127.27,272.46,115.37,179.33,177.51,234.58,104.62,106.97,68.88,179.65,97.57,69.7,91.53,104.73,98.8,99.54,81.71,81.71
25,Net Income Growth,-13.96%,-28.31%,16.15%,10.28%,67.64%,157.71%,30.57%,7.23%,53.48%,-24.75%,71.54%,-1.25%,-29.98%,12.03%,28.18%,-,-,-,-
26,Shares Outstanding (Basic),773,789,778,772,779,773,782,801,765,772,781,809,698,704,698,707,655,710,710
27,Shares Outstanding (Diluted),773,789,778,772,779,773,782,801,765,772,781,809,698,704,698,707,655,710,710
28,Shares Change (YoY),-0.78%,2.07%,-0.44%,-3.59%,1.87%,0.11%,0.10%,-0.94%,9.66%,9.74%,11.87%,14.40%,6.54%,-0.96%,-1.73%,-,-,-,-
29,EPS (Basic),0.20,0.16,0.35,0.15,0.23,0.23,0.30,0.13,0.14,0.09,0.23,0.12,0.10,0.13,0.15,0.14,0.15,0.12,0.12
30,EPS (Diluted),0.20,0.16,0.35,0.15,0.23,0.23,0.30,0.13,0.14,0.09,0.23,0.12,0.10,0.13,0.15,0.14,0.15,0.12,0.12
31,EPS Growth,-13.28%,-29.76%,16.67%,14.38%,64.56%,157.41%,30.43%,8.24%,39.97%,-31.43%,53.33%,-13.68%,-34.28%,13.11%,30.43%,-,-,-,-
32,Free Cash Flow,-56.02,274.35,652.93,12.03,-660.1,461.46,844.82,-337.8,121.18,28.46,746.75,-523.2,-89.41,39.99,131.62,139.61,216.39,266.25,266.25
33,Free Cash Flow Per Share,-0.07,0.35,0.84,0.02,-0.85,0.60,1.08,-0.42,0.16,0.04,0.96,-0.65,-0.13,0.06,0.19,0.20,0.33,0.37,0.37
34,Dividend Per Share,-,-,-,0.700,-,-,-,0.460,-,-,-,0.360,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,52.17%,-,-,-,27.78%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,8.71%,7.76%,10.00%,8.89%,10.48%,11.61%,11.38%,10.44%,10.73%,9.92%,12.64%,9.96%,12.22%,11.46%,11.89%,12.67%,15.51%,13.78%,13.78%
37,Operating Margin,4.64%,3.96%,5.67%,3.67%,5.68%,7.22%,5.95%,4.65%,4.68%,4.35%,6.92%,4.53%,4.68%,5.42%,5.95%,6.66%,8.57%,6.49%,6.49%
38,Profit Margin,3.54%,2.72%,4.31%,2.76%,4.47%,5.37%,4.64%,4.25%,3.35%,3.70%,5.18%,3.10%,3.30%,4.17%,3.55%,4.52%,5.74%,5.19%,5.19%
