,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,2333623,2029424,2181198,1837473,2065236,1961694,2174154,2368835,3070359,2233220,2022936,2045412,1897889,1092655,1636415,1182852,1665848,1503588,1289557,1180761,Upgrade
1,Revenue Growth (YoY),13.00%,3.45%,0.32%,-22.43%,-32.74%,-12.16%,7.48%,15.81%,61.78%,104.38%,23.62%,72.92%,13.93%,-27.33%,26.90%,0.18%,25.74%,22.53%,2.46%,9.41%,Upgrade
2,Cost of Revenue,1318387,1341809,1501200,1096124,1142839,1308106,1294587,1114448,1704461,1315625,1127008,895050,1037369,743157,972735,746519,1208510,1078539,896134,850704,Upgrade
3,Gross Profit,1015236,687615,679998,741349,922397,653588,879566,1254387,1365898,917595,895928,1150362,860520,349498,663680,436333,457338,425048,393422,330057,Upgrade
4,"Selling, General & Admin",233385,138720,208833,114692,344924,118564,171015,121113,329365,127576,106151,103440,189414,88606,95811,81703,154417,82026,59061,70944,Upgrade
5,Operating Expenses,233385,138720,208833,114692,344924,118564,171015,121113,329365,127576,106151,103440,189414,88606,95811,81703,154417,82026,59061,70944,Upgrade
6,Operating Income,781851,548895,471165,626657,577473,535024,708551,1133274,1036533,790019,789777,1046922,671106,260892,567868,354630,302920,343022,334361,259113,Upgrade
7,Interest Expense,-181025,-181615,-,-192705,-220295,-229002,-,-250149,-239002,-222198,-211295,-215270,-311736,-185231,-192346,-94023,-104034,-105006,-106029,-106771,Upgrade
8,Interest & Investment Income,108098,54812,253911,65596,33956,41444,386411,51296,20201,58119,53318,31658,-,23090,31873,26086,51135,40035,59814,48558,Upgrade
9,Earnings From Equity Investments,276141,207066,112674,121159,277634,217903,172605,209033,312857,358283,228552,177750,312324,161583,134770,165481,457329,164166,176002,117278,Upgrade
10,Currency Exchange Gain (Loss),-,-1958,11283,-9325,-56028,-47050,48710,-1660,-42177,175.33,-2381,2206,60779,33495,-6544,27099,-49070,-25013,24344,669,Upgrade
11,Other Non Operating Income (Expenses),-606.77,4673,-370007,-16284,52171,1285,-609580,6979,90032,-64665,-5937,733.24,27974,1228,-15612,754.75,44258,9148,-35575,1547,Upgrade
12,EBT Excluding Unusual Items,984458,631874,479025,595099,664911,519605,706697,1148773,1178444,919734,852033,1043999,760448,295057,520010,480028,702539,426353,452917,320395,Upgrade
13,Gain (Loss) on Sale of Investments,-,3228,-6475,3247,17334,6804,-10329,3525,11511,2283,-4620,2338,270352,3794,10837,58434,21382,-5552,9505,-3953,Upgrade
14,Gain (Loss) on Sale of Assets,-,-2331,1913,417.49,-501.97,-,51.72,-51.72,1199,2207,-2680,473.45,755.79,75.52,8.21,30,-,133.75,-151.84,18.09,Upgrade
15,Asset Writedown,-,-,-,-,-24.45,-,-,-,-99473,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Legal Settlements,-,-,-,-,-700,-,-,-,-28886,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Pretax Income,984458,632771,474463,598764,681019,526409,696420,1152246,1062795,924223,844733,1046810,1031555,298927,530855,538492,723921,420935,462270,316460,Upgrade
18,Income Tax Expense,101646,71256,70890,49854,38056,61241,72674,97464,92438,89848,89449,91449,108216,28693,60809,66702,59525,53335,58860,38364,Upgrade
19,Earnings From Continuing Operations,882812,561515,403574,548910,642963,465168,623745,1054782,970357,834375,755284,955361,923339,270234,470046,471790,664396,367600,403410,278096,Upgrade
20,Minority Interest in Earnings,-203489,-81669,-48810,-68429,-138797,-15517,-134327,-309700,-248848,-153520,-158469,-262024,-131114,-6591,-86647,-55979,-12988,-20587,-29649,-22201,Upgrade
21,Net Income,679324,479846,354764,480482,504167,449650,489418,745082,721509,680855,596815,693337,792225,263643,383399,415812,651408,347013,373761,255894,Upgrade
22,Net Income to Common,679324,479846,354764,480482,504167,449650,489418,745082,721509,680855,596815,693337,792225,263643,383399,415812,651408,347013,373761,255894,Upgrade
23,Net Income Growth,34.74%,6.72%,-27.51%,-35.51%,-30.12%,-33.96%,-18.00%,7.46%,-8.93%,158.25%,55.66%,66.74%,21.62%,-24.02%,2.58%,62.49%,44.91%,-13.89%,-13.94%,-27.32%,Upgrade
24,Shares Outstanding (Basic),471,470,472,470,470,470,470,470,470,470,470,470,470,470,470,470,472,472,472,472,Upgrade
25,Shares Outstanding (Diluted),471,470,472,470,470,470,470,470,470,470,470,470,470,470,470,470,472,472,472,472,Upgrade
26,Shares Change (YoY),0.20%,0.12%,0.32%,-0.03%,0.05%,-0.03%,0.06%,0.01%,-0.02%,0.02%,0.00%,-0.04%,-0.34%,-0.37%,-0.38%,-0.33%,0.03%,0.04%,-0.00%,0.08%,Upgrade
27,EPS (Basic),1442.00,1020.00,752.01,1022.61,1072.29,957.00,1040.77,1585.22,1535.36,1448.70,1269.97,1475.24,1685.46,561.06,815.88,884.36,1381.12,735.76,792.32,542.45,Upgrade
28,EPS (Diluted),1442.00,1020.00,752.01,1022.61,1072.07,957.00,1040.77,1585.22,1535.36,1448.70,1269.97,1475.24,1685.46,561.06,815.88,884.36,1381.12,735.76,792.32,542.45,Upgrade
29,EPS Growth,34.51%,6.58%,-27.75%,-35.49%,-30.18%,-33.94%,-18.05%,7.46%,-8.91%,158.21%,55.66%,66.81%,22.04%,-23.74%,2.97%,63.03%,44.87%,-13.92%,-13.92%,-27.38%,Upgrade
30,Free Cash Flow,668978,679531,1016882,368742,856673,303113,837366,-55839,-216857,-60775,821865,286758,-1302941,-1238487,205395,-51562,-262640,-188511,-98853,-231053,Upgrade
31,Free Cash Flow Per Share,1420.04,1444.47,2155.52,784.79,1822.01,645.12,1780.70,-118.80,-461.47,-129.31,1748.86,610.14,-2772.02,-2635.62,437.08,-109.66,-556.85,-399.69,-209.55,-489.79,Upgrade
