,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,5635909,5068970,3675602,3319609,3022796,2085304,1620220,1395513,1151271,1061800,1607466,1776626,1830901,2075495,2301829,1177800,651669,696805,785929,1296596,Upgrade
1,Short-Term Investments,327754,185042,243542,366642,413742,389920,478100,576395,960471,1418387,1403290,1176943,841269,539174,817478,773009,896530,1224517,1390814,1403329,Upgrade
2,Trading Asset Securities,732319,934047,933546,893046,718625,1046371,932058,735145,788891,218794,119355,69072,72260,73313,82402,117252,432029,22512,22990,22870,Upgrade
3,Cash & Short-Term Investments,6695982,6188059,4852690,4579298,4155163,3521595,3030378,2707052,2900632,2698981,3130112,3022641,2744429,2687982,3201709,2068061,1980228,1943833,2199733,2722795,Upgrade
4,Cash Growth,61.15%,75.72%,60.13%,69.16%,43.25%,30.48%,-3.19%,-10.44%,5.69%,0.41%,-2.24%,46.16%,38.59%,38.28%,45.55%,-24.05%,-28.28%,-45.32%,-41.38%,-37.76%,Upgrade
5,Accounts Receivable,2560833,2307715,2642181,2943602,3202932,3518217,3491030,3633953,3021698,2424658,2190151,2622173,2448221,1912829,2095166,1860878,1786550,1646350,1612406,1504279,Upgrade
6,Other Receivables,288015,241532,293529,560382,315170,347505,338131,265618,443170,315952,375095,147049,266976,340509,92231,111269,259993,103126,134836,102404,Upgrade
7,Receivables,2848848,2549247,2935760,3504084,3518227,3865848,3876035,3973421,3559719,2809410,2627046,2790606,2736580,2253338,2187398,2245146,2513143,2038076,2045633,1851783,Upgrade
8,Inventory,1276816,1229430,1351561,1408632,1353834,1328063,1386383,1412299,1408572,1254925,1019531,910207,799901,850380,898359,833780,807507,953762,1147204,1009683,Upgrade
9,Prepaid Expenses,14572,24018,19890,29243,18181,22247,15236,24042,15698,20835,13189,20909,9430,16394,10711,15579,5229,12978,5469,12239,Upgrade
10,Other Current Assets,449687,636348,407737,464038,478772,629325,624249,929722,688859,722525,835432,715515,515632,836677,785125,806246,702527,860432,605876,330159,Upgrade
11,Total Current Assets,11285905,10627103,9567638,9985294,9524178,9367077,8932282,9046536,8573479,7506676,7625310,7459877,6805972,6644772,7083303,5968813,6008634,5809082,6003915,5926660,Upgrade
12,"Property, Plant & Equipment",15342875,15220581,15376690,16578710,16453028,16053178,16119284,16128305,16319668,16486673,16167818,16189567,16397750,15617265,14454178,2964263,2794886,2179431,1960163,1920020,Upgrade
13,Long-Term Investments,6198537,6221629,6162107,6234246,6560456,6779253,6783646,6680466,6490633,6491467,6424860,6429036,6261443,6257330,6384185,9488436,9287155,9339080,9290892,9267136,Upgrade
14,Goodwill,442552,460152,477752,495351,512951,530550,548150,565750,583349,600949,289388,298758,308129,317500,326870,242062,242735,249596,256458,263319,Upgrade
15,Other Intangible Assets,71016,68650,69498,70380,71266,69941,70643,70752,71338,68656,68471,68633,65868,66490,65685,65567,65853,65987,66276,32176,Upgrade
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,28.58,25.37,25.37,-,25.37,218.25,218.15,218.25,Upgrade
17,Long-Term Deferred Tax Assets,74055,64304,66359,76073,70390,46885,46317,47428,47748,37661,40431,38738,40983,35394,35397,32348,33850,31017,33017,37950,Upgrade
18,Other Long-Term Assets,2945990,2986323,3021891,1700715,1720004,1742200,1771964,1782517,1828192,1852536,1885166,1917794,1946829,1990392,2027221,2055816,2097315,2136569,2159045,2150229,Upgrade
19,Total Assets,36360931,35648741,34741935,35140769,34912273,34589085,34272285,34321902,33914557,33044818,32501644,32402405,31827003,30929168,30376865,20817329,20530454,19810982,19769985,19597709,Upgrade
20,Accounts Payable,724015,614760,758381,642442,619168,473546,566442,475722,649942,653139,663761,575290,659734,1091151,1502010,359512,633005,542337,504396,393330,Upgrade
21,Accrued Expenses,733851,698040,751183,632456,813359,766263,687820,679727,763247,665217,694131,756192,1021079,799354,769479,484351,647378,527648,581834,473296,Upgrade
22,Short-Term Debt,404387,402157,564907,466337,403841,476122,443226,545797,764064,655640,532675,455508,380879,221342,388048,691889,595137,541597,475603,411358,Upgrade
23,Current Portion of Long-Term Debt,839916,538002,699485,668785,834090,1516390,769578,615088,691070,514965,812519,781982,853107,632132,896511,542192,669500,297993,654521,521213,Upgrade
24,Current Income Taxes Payable,107998,129395,70431,47586,88676,166242,156715,97043,168944,209558,144376,87350,157554,137698,149568,64316,-,105393,86339,33950,Upgrade
25,Current Unearned Revenue,1003660,998344,894204,714572,709013,832079,824730,878549,811462,926779,992141,933715,823527,876356,738290,806226,798417,879577,925043,977391,Upgrade
26,Other Current Liabilities,238460,116349,371493,841795,476403,289126,493496,543252,237484,167741,121105,497765,166491,87256,160140,178743,99997,50088,140372,761899,Upgrade
27,Total Current Liabilities,4052286,3497047,4110085,4013972,3944552,4519769,3942007,3835177,4086213,3793038,3960707,4087803,4062370,3845289,4604048,3127228,3443435,2944632,3368107,3572437,Upgrade
28,Long-Term Debt,9152740,9646992,8668161,9561905,9504888,8857891,9580529,10000627,9945951,10350203,10303154,10701596,10739973,10701636,9675112,4509644,4334711,4738349,4687917,4729278,Upgrade
29,Long-Term Unearned Revenue,136.36,170.45,-,125,329.55,534.09,738.64,943.18,1148,1352,-,-,-,224950,226600,272373,264598,260509,252564,234850,Upgrade
30,Long-Term Deferred Tax Liabilities,188943,189101,189101,189101,189101,189101,189101,189101,189101,189121,189017,189017,189180,188013,188013,-,-,-,-,-,Upgrade
31,Other Long-Term Liabilities,511612,527389,528684,521312,503301,505096,500407,498275,488451,480776,478275,478381,477603,304754,294087,280598,275061,281138,278125,281238,Upgrade
32,Total Liabilities,13905718,13860699,13496031,14286415,14142172,14072391,14212783,14524124,14710864,14814491,14931153,15456797,15469126,15264642,14987860,8189844,8317805,8224628,8586713,8817803,Upgrade
33,Common Stock,4710134,4710134,4710134,4097143,4097143,4097143,4097143,3564105,3564105,3564105,3564105,3100588,3100588,3100588,3100588,3100588,3100588,3100588,3100588,3100588,Upgrade
34,Additional Paid-In Capital,1012946,1012946,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,1050489,Upgrade
35,Retained Earnings,13176897,12497546,12017891,12286400,12218056,11715202,11265361,11309851,10939299,10221957,9705888,9579291,9198519,8405273,8141805,7764642,7349540,6698281,6352557,5978800,Upgrade
36,Treasury Stock,-,-,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-47622,-83.03,-83.03,-83.03,Upgrade
37,Total Common Equity,18899977,18220626,17730892,17386410,17318066,16815211,16365371,15876823,15506271,14788929,14272860,13682747,13301975,12508729,12245260,11868097,11452996,10849276,10503551,10129795,Upgrade
38,Minority Interest,3555235,3567415,3515011,3467943,3452035,3701482,3694131,3920956,3697422,3441398,3297631,3262861,3055902,3155797,3143745,759388,759653,737078,679720,650111,Upgrade
39,Shareholders' Equity,22455213,21788042,21245903,20854353,20770101,20516694,20059503,19797779,19203693,18230327,17570491,16945608,16357877,15664526,15389005,12627485,12212649,11586354,11183271,10779906,Upgrade
