,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,278050,317496,256200,184178,182785,197781,257172,236453,230685,267034,215124,231916,174598,214994,205579,185254,172560,177353,133921,192384,Upgrade
1,Short-Term Investments,412700,367700,362100,317100,290000,285000,155000,105000,125000,95125,130000,90000,100000,55000,70000,20000,60000,10000,55000,-,Upgrade
2,Cash & Short-Term Investments,690750,685196,618300,501278,472785,482781,412172,341453,355685,362160,345124,321916,274598,269994,275579,205254,232560,187353,188921,192384,Upgrade
3,Cash Growth,46.10%,41.93%,50.01%,46.81%,32.92%,33.31%,19.43%,6.07%,29.53%,34.14%,25.24%,56.84%,18.08%,44.11%,45.87%,6.69%,8.27%,0.19%,-26.24%,-6.30%,Upgrade
4,Accounts Receivable,141576,176942,175040,174280,142538,133965,145631,119379,102744,130591,142776,115591,97484,103165,129969,131089,102820,119128,95592,93805,Upgrade
5,Other Receivables,7066,5351,10913,2345,7614,5143,8303,4416,3428,1939,4132,1710,1816,2956,1290,1203,1044,1350,907.71,852.54,Upgrade
6,Receivables,148642,182293,185953,176626,150153,139108,153934,123795,106172,132531,146908,117301,99300,106121,131259,132292,103864,120478,96499,94658,Upgrade
7,Inventory,1741,1222,737.72,546.82,810.82,825.93,834.87,1064,1477,918.87,1270,591.83,597.14,599.41,535.34,577.69,682.49,1552,1638,1245,Upgrade
8,Prepaid Expenses,397.72,390.17,744.23,1109,1145,222.77,518.46,800.74,1051,126.46,240.46,349.39,488.85,148.09,228.48,338.61,477.68,174.88,247.55,359.53,Upgrade
9,Other Current Assets,1542,8283,4849,2642,3058,3941,6772,4815,3066,7220,5415,7186,3431,3886,18700,10491,3930,2979,13920,4114,Upgrade
10,Total Current Assets,843072,877385,810585,682202,627952,626879,574232,471929,467451,502956,498958,447345,378415,380748,426302,348953,341514,312536,301226,292760,Upgrade
11,"Property, Plant & Equipment",587106,593824,602207,612087,620670,629862,642880,645260,657929,654149,642132,646167,648199,653237,584405,578498,558069,562780,544436,543103,Upgrade
12,Long-Term Investments,70965,70965,70965,70965,62565,62565,62565,62565,62565,62565,62565,62565,62565,62565,62565,62565,62565,62565,62565,22165,Upgrade
13,Other Intangible Assets,3362,2002,2172,2368,2476,2543,2732,2922,3111,3308,3509,3676,3880,3847,3925,4102,4237,4357,4527,4517,Upgrade
14,Other Long-Term Assets,44306,44595,44851,45244,45642,46425,46426,46803,47200,47595,47991,48390,48789,48694,48928,49302,49680,50077,50476,50568,Upgrade
15,Total Assets,1548811,1588771,1530779,1412866,1359306,1368273,1328835,1229478,1238256,1270573,1255156,1208142,1141848,1149090,1126125,1043420,1016066,992315,963230,913113,Upgrade
