,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,2558,2187,2535,2565,2991,-,2606,2057,1897,3757,-,616.98,-,-,-
1,Trading Asset Securities,-,2219,2285,2052,2022,1640,-,1541,2103,2001,160.39,-,200.54,-,-,-
2,Cash & Short-Term Investments,4777,4777,4472,4587,4587,4631,-,4147,4160,3898,3917,817.53,817.53,-,-,421.55
3,Cash Growth,4.14%,3.15%,-,10.61%,10.25%,18.81%,-,407.23%,408.89%,-,-,93.93%,-,-,-,-
4,Accounts Receivable,-,712.41,709.3,671.14,487.91,596.28,-,427.97,438.88,303.76,274.01,-,97.31,-,-,-
5,Other Receivables,-,19.68,45.66,30.3,8.15,14.61,-,23.76,8.49,15.64,12.07,-,3.79,-,-,-
6,Receivables,-,732.09,754.96,701.43,496.06,610.89,-,451.73,447.37,319.4,286.08,-,101.1,-,-,-
7,Inventory,-,3312,3080,2732,2415,2280,-,2305,2361,2254,1954,-,1476,-,-,-
8,Other Current Assets,-,236.15,218.53,192.03,186.86,125.84,-,132.52,153.55,151.4,131.14,-,66.29,-,-,-
9,Total Current Assets,-,9057,8525,8212,7685,7648,-,7036,7122,6623,6289,-,2460,-,-,-
10,"Property, Plant & Equipment",-,1230,1139,966.33,899.15,789.82,-,576.25,553.47,534.67,517.79,-,432.18,-,-,-
11,Long-Term Investments,-,310.53,309.08,169.75,144.09,125.83,-,58.91,4.91,14.94,14.94,-,14.98,-,-,-
12,Other Intangible Assets,-,59.61,62.54,63.81,67.83,69,-,74.77,76.5,78.1,80,-,84.01,-,-,-
13,Long-Term Deferred Tax Assets,-,27.61,23.48,15.47,15.47,14.31,-,8.86,8.86,3.56,2.82,-,2.46,-,-,-
14,Long-Term Deferred Charges,-,7.74,4.5,3.01,0.02,0.02,-,0.03,0.04,0.04,0.05,-,0.06,-,-,-
15,Other Long-Term Assets,-,245.56,230.13,287.69,305.75,66.15,-,43.08,60.52,41.5,11.99,-,34,-,-,-
16,Total Assets,-,10938,10294,9718,9117,8713,-,7798,7827,7296,6916,-,3028,-,-,-
17,Accounts Payable,-,1739,1618,1312,890.47,815.41,-,715.86,1002,980.43,801.7,-,655.45,-,-,-
18,Accrued Expenses,-,82.67,98.99,43.1,94.49,70.85,-,29.58,78.74,26.94,63.82,-,42.12,-,-,-
19,Current Portion of Long-Term Debt,-,92.05,166.71,135.7,210.37,172.76,-,9.33,18.67,18.67,18.67,-,37.28,-,-,-
20,Current Income Taxes Payable,-,53.6,39.84,65.53,26.51,33.2,-,47.02,22.17,25.31,13.97,-,-,-,-,-
21,Current Unearned Revenue,-,1505,1342,1226,1328,1273,-,1334,1304,1064,1003,-,778.93,-,-,-
22,Other Current Liabilities,-,181.28,143.53,121.33,85.81,53.13,-,57.31,51.27,26,12.7,-,119.69,-,-,-
23,Total Current Liabilities,-,3654,3409,2904,2635,2418,-,2193,2476,2141,1914,-,1633,-,-,-
24,Long-Term Debt,-,416.65,416.65,472.74,472.73,506.3,-,211.87,179.85,179.84,189.17,-,258.89,-,-,-
25,Long-Term Unearned Revenue,-,563.21,462.36,485.29,389.89,352.59,-,317.88,302.8,267.5,268.4,-,287.61,-,-,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,2.35,-,4.13,4.13,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,-,139.53,124.93,111.93,101.51,100.63,-,86.64,72.88,65.22,60.58,-,39.92,-,-,-
28,Total Liabilities,-,4773,4413,3973,3600,3380,-,2813,3036,2654,2432,-,2220,-,-,-
29,Common Stock,-,236.72,158.93,158.93,158.93,158.93,-,106.67,106.67,106.67,106.67,-,80,-,-,-
30,Additional Paid-In Capital,-,3882,3934,3909,3884,3859,-,3888,3888,3887,3887,-,423.31,-,-,-
31,Retained Earnings,-,2110,1822,1679,1477,1317,-,1000,806.52,647.82,490.63,-,304.92,-,-,-
32,Treasury Stock,-,-59.91,-29.98,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-,-4.01,-3.88,-3,-2.24,-2.15,-,-10.09,-10.09,-0.06,-0.06,-,-0.02,-,-,-
34,Shareholders' Equity,6165,6165,5881,5744,5518,5333,-,4985,4791,4642,4484,808.21,808.21,-,-,608.39
35,Total Liabilities & Equity,-,10938,10294,9718,9117,8713,-,7798,7827,7296,6916,-,3028,-,-,-
36,Total Debt,508.7,508.7,583.36,608.44,683.11,679.07,-,221.2,198.52,198.51,207.84,296.18,296.18,-,-,132.73
37,Net Cash (Debt),4268,4268,3888,3978,3904,3952,-,3926,3962,3699,3709,521.35,521.35,-,-,288.81
38,Net Cash Growth,9.33%,8.00%,-,1.34%,-1.47%,6.83%,-,652.96%,659.91%,-,-,80.51%,-,-,-,-
39,Net Cash Per Share,18.10,17.99,16.42,16.77,16.40,16.71,-,16.58,28.36,11.05,12.56,2.93,2.95,-,-,1.62
40,Filing Date Shares Outstanding,235.81,237.21,236.55,236.81,236.81,236.81,237.61,236.81,236.81,236.81,236.81,177.67,176.51,177.55,177.96,177.96
41,Total Common Shares Outstanding,235.81,237.21,236.55,236.81,236.81,236.81,237.61,236.81,236.81,236.81,236.81,177.67,176.51,177.55,177.96,177.96
42,Working Capital,-,5403,5117,5308,5050,5230,-,4844,4646,4482,4375,-,826.95,-,-,-
43,Book Value Per Share,25.99,25.99,24.86,24.26,23.30,22.52,-,21.05,20.23,19.60,18.94,4.58,4.58,-,-,3.43
44,Tangible Book Value,6105,6105,5819,5680,5450,5264,-,4910,4714,4564,4404,724.2,724.2,-,-,530.89
45,Tangible Book Value Per Share,25.74,25.74,24.60,23.99,23.01,22.23,-,20.73,19.91,19.27,18.60,4.10,4.10,-,-,2.99
46,Buildings,-,-,267.15,-,265.74,-,-,-,264.49,-,258.82,-,0.52,-,-,-
47,Machinery,-,-,648.58,-,563.98,-,-,-,359.54,-,308.99,-,471.55,-,-,-
48,Construction In Progress,-,-,390.14,-,200.11,-,-,-,-,-,0.07,-,-,-,-,-
