,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,37848,38555,38290,30131,27654,29832,30436,40059,33792,23952,35430,26496,-,-,-,-,-
1,Market Cap Growth,29.24%,29.24%,25.81%,-24.78%,-18.16%,24.55%,-14.10%,51.19%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,33580,34287,34402,26152,23703,25880,26485,36134,30093,20253,31721,26207,-,-,-,-,-
3,Last Close Price,160.00,162.99,161.87,126.86,116.44,125.60,128.15,168.67,142.06,100.70,148.95,111.39,-,-,-,-,-
4,PE Ratio,37.12,37.78,43.49,38.52,37.78,41.22,42.12,58.06,55.93,47.75,90.15,84.53,-,-,-,-,-
5,Forward PE,26.71,29.16,34.90,28.43,27.05,33.68,37.73,49.52,43.10,38.55,69.74,59.68,-,-,-,-,-
6,PS Ratio,11.10,11.29,12.28,10.88,10.75,11.89,12.92,18.49,17.63,14.53,25.41,21.57,-,-,-,-,-
7,PB Ratio,6.16,6.25,6.21,5.12,4.81,5.41,5.71,-,6.78,5.00,7.63,5.91,-,-,-,-,-
8,P/TBV Ratio,6.32,6.32,6.27,5.18,4.87,5.47,5.78,-,6.88,5.08,7.76,6.02,-,-,-,-,-
9,P/FCF Ratio,-,-,50.69,77.46,74.53,95.19,92.55,135.53,685.96,-159.94,-134.20,-,-,-,-,-,-
10,P/OCF Ratio,-,-,33.07,39.83,36.88,45.69,55.21,84.92,205.79,954.16,-379.30,-,-,-,-,-,-
11,PEG Ratio,0.86,0.94,1.19,0.78,0.74,0.93,-,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,9.84,10.04,11.03,9.44,9.22,10.32,11.24,16.68,15.70,12.28,22.75,21.33,-,-,-,-,-
13,EV/EBITDA Ratio,28.42,28.94,36.77,34.80,32.58,37.04,38.61,54.17,50.28,40.80,82.43,94.48,-,-,-,-,-
14,EV/EBIT Ratio,30.15,30.79,39.79,38.22,35.67,40.46,41.97,58.48,54.31,44.24,90.11,106.42,-,-,-,-,-
15,EV/FCF Ratio,-,-,45.55,67.23,63.88,82.58,80.54,122.25,610.86,-135.24,-120.15,-,-,-,-,-,-
16,Debt / Equity Ratio,0.08,0.08,0.08,0.10,0.11,0.12,0.13,-,0.04,0.04,0.04,0.05,0.37,0.37,-,-,0.22
17,Debt / EBITDA Ratio,0.43,0.37,0.32,0.70,0.64,1.80,0.81,-,0.26,0.61,0.26,0.45,0.69,-,-,-,0.87
18,Debt / FCF Ratio,-,-,0.67,1.50,1.64,2.18,2.06,-,4.49,-1.33,-0.75,-,-,1.37,-,-,2.25
19,Asset Turnover,-,0.36,0.33,0.29,-,-,-,0.32,0.27,-,-,-,-,-,-,-,
20,Inventory Turnover,-,-,0.64,0.64,0.55,-,-,-,0.56,0.48,-,-,-,-,-,-,-
21,Quick Ratio,-,-,1.51,1.53,1.82,1.93,2.17,-,2.10,1.86,1.97,2.20,-,0.56,-,-,-
22,Current Ratio,-,-,2.48,2.50,2.83,2.92,3.16,-,3.21,2.88,3.09,3.29,-,1.51,-,-,-
23,Return on Equity (ROE),19.45%,19.13%,15.86%,14.36%,-,-,-,15.86%,13.46%,-,14.28%,45.15%,-,-,-,-,
24,Return on Assets (ROA),-,8.90%,4.71%,5.88%,-,-,-,6.30%,2.24%,-,-,-,-,-,-,-,
25,Return on Capital (ROIC),12.19%,14.39%,7.35%,8.83%,-,-,-,9.65%,3.45%,-,9.03%,22.76%,-,-,-,-,
26,Return on Capital Employed (ROCE),-,-,11.87%,9.94%,9.75%,9.87%,10.02%,-,9.88%,8.56%,6.83%,4.92%,-,-,-,-,-
27,Earnings Yield,2.70%,2.65%,2.30%,2.60%,2.65%,2.43%,2.37%,1.72%,1.79%,2.09%,1.11%,1.18%,-,-,-,-,-
28,FCF Yield,-,1.97%,1.29%,1.34%,1.05%,1.08%,0.74%,0.15%,-0.63%,-0.75%,-0.77%,-,-,-,-,-,
29,Dividend Yield,0.22%,-,-,-,-,0.29%,-,-,-,0.22%,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,1.00%,39.35%,1.79%,2.36%,1.79%,30.45%,0.52%,0.63%,0.66%,1.85%,2.00%,3.38%,1.95%,3.24%,3.24%
31,Buyback Yield / Dilution,0.11%,0.91%,-0.32%,0.33%,-0.17%,-70.32%,29.37%,19.55%,-33.26%,20.84%,-88.55%,-65.97%,0.16%,-,-,-,-
32,Total Shareholder Return,0.33%,0.91%,-0.32%,0.33%,-0.17%,-70.03%,29.37%,19.55%,-33.26%,21.07%,-88.55%,-65.97%,0.16%,-,-,-,-
