,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,962.21,955.02,816.27,680.25,667.72,605.85,618.26,616.16,515.44,416.2,368.82,348.38,261.03,250.24,146.81,146.81
1,Revenue Growth (YoY),44.10%,57.63%,32.03%,10.40%,29.54%,45.57%,67.63%,76.87%,97.46%,66.32%,151.23%,137.31%,-,-,-,-
2,Cost of Revenue,-1328,512.47,461.53,354.24,391.58,316.68,339.98,328.69,274.7,215.38,196.43,183.49,143.2,135.94,85.96,85.96
3,Gross Profit,2290,442.56,354.74,326.01,276.13,289.16,278.28,287.48,240.74,200.81,172.39,164.88,117.83,114.29,60.85,60.85
4,"Selling, General & Admin",-273.64,102.97,88.35,82.32,75.39,70.17,70.63,57.38,57.9,41.43,56.14,41.26,43.73,35.92,26.15,26.15
5,Research & Development,-255.51,84.63,93.44,77.44,90.19,75.04,73.97,64.74,74.23,57.78,51.74,32.85,43.68,32.67,18.86,18.86
6,Other Operating Expenses,2509,-128.63,-20.18,-59.94,32.3,-55.8,-41.09,-32.93,40.23,-84.55,-39.52,-10.38,68.37,-32.6,-16.98,-16.98
7,Operating Expenses,1965,64.45,166.36,104.4,199.74,91.22,109.81,90.65,172.98,15.95,67.73,64.35,155.85,35.2,28.19,28.19
8,Operating Income,325.53,378.11,188.38,221.6,76.4,197.94,168.47,196.82,67.77,184.86,104.66,100.53,-38.01,79.09,32.66,32.66
9,Interest Expense,-54.24,-2.85,-3.31,-3.57,-3.81,-3.55,-1.66,-1.03,-1.02,-1.04,-,-1.82,-1.78,-1.54,-0.29,-0.29
10,Interest & Investment Income,9.73,15.83,17.05,21.36,36.18,30.38,18.08,11.78,18.97,13.66,2.38,3.17,3.86,3.27,2,2
11,Currency Exchange Gain (Loss),-,-3.69,3.69,-,0.78,-2.19,2.19,-,0.74,-4.93,-,-,2.69,-1.2,0.6,0.6
12,Other Non Operating Income (Expenses),1.98,-1.52,-1.15,0.94,-2.24,1.95,-1.26,1.27,-5.36,5.15,1.39,2.7,-1.44,1.32,0.05,0.05
13,EBT Excluding Unusual Items,283.01,385.89,204.66,240.33,107.31,224.53,185.82,208.84,81.11,197.71,108.42,104.58,-34.69,80.94,35.02,35.02
